QUADAS-3 row-wise quality assessment for keratoconus AI diagnostic studies,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
S28,Syta et al.,2025,Keratoconus vs healthy controls,Random Forest using Pentacam-derived anterior-segment parameters,Clinical examination plus tomography/topography criteria,High,High,Low,Low,High,High,Unclear,Low,Low,Clear KC vs healthy definition based on clinical and tomographic criteria.,"Healthy controls are appropriate, but the pilot sample is small and clinically enriched.",Single-center outpatient pilot screening / diagnostic support using Pentacam-derived features.,High,Unclear,"Small single-center pilot with 80/20 split, no external validation, and a very high-dimensional feature set creates substantial overfitting risk despite cross-validation.","Applicable to KC-vs-healthy screening, but limited sample size and absence of external validation reduce generalizability. Review-team decision: Primary KC-vs-normal MA eligible, with small-study caution."
S04,Abdelmotaal et al.,2024,Established keratoconus vs normal,DenseNet121 on processed Corvis ST dynamic corneal deformation videos,Clinical/tomographic diagnosis with blinded expert review,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Low,Primary outcome was established KC versus normal; no subclinical endpoint,Normal refractive surgery candidates versus clinically evident KC,AI diagnostic support using standalone Corvis ST videos,Unclear,Low,Retrospective design and derived 2×2 from rounded confusion matrix for the main CNN row; subclinical cases excluded.,"Good external validation across two continents, but target population is established KC rather than early disease. Review-team decision: Primary KC-vs-normal MA eligible."
S36,Alió Del Barrio et al.,2024,KC vs Normal,MLP ANN (backpropagation),3 independent corneal experts; majority vote,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Low,Low,No major concerns identified,Auto-assessed from extracted data. Design: multicenter cross-sectional. Ref: 3 independent corneal experts; majority vote. Test n: 1887.
S39,Jiang et al.,2024,PKC vs Normal,EfficientNet-b0,"2 experts: CLEK for KC, KSS for PKC",Unclear,Low,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,"Auto-assessed from extracted data. Design: retrospective multi-center. Ref: 2 experts: clek for kc, kss for pkc. Test n: 900."
S40,Mourgoues et al.,2024,FFKC vs Normal (LR),Logistic Regression + Random Forest,2 expert physicians per Rabinowitz + slit-lamp,High,Unclear,Low,Unclear,Low,High,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,case-control spectrum bias; very small sample (n=0); cross-validation (no held-out test); small dataset for AI model,Auto-assessed from extracted data. Design: retrospective single-center. Ref: 2 expert physicians per rabinowitz + slit-lamp. Test n: 5-fold CV.
S38,Quanchareonsap et al.,2024,KC vs rest,EfficientNet-B7 ensemble,3 corneal specialists + 2015 Global Consensus,Unclear,Low,Low,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,small dataset for AI model,Auto-assessed from extracted data. Design: retrospective single-center. Ref: 3 corneal specialists + 2015 global consensus. Test n: 62.
S37,Zhang et al.,2024,Normal vs KC,CorNet (residual CNN),Slit-lamp signs + Rabinowitz criteria,Unclear,Low,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective single-center. Ref: slit-lamp signs + rabinowitz criteria. Test n: 534.
S43,Agharezaei et al.,2023,KCN vs Normal,VGG16,3 corneal specialists,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective. Ref: 3 corneal specialists. Test n: 800.
S44,Al-Timemy et al.,2023,KCN vs Normal (external Iraq),Xception + InceptionResNetV2 fusion,2 corneal specialists + 3rd adjudicator,Unclear,Low,Low,Unclear,Unclear,Low,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective with external validation. Ref: 2 corneal specialists + 3rd adjudicator. Test n: 213.
S46,Ambrósio et al.,2023,VAE-NT vs Normal,"Random forest (TBIv2, 156 trees, 18 features)",Fellowship-trained corneal specialist,Unclear,Unclear,Low,Unclear,Low,Unclear,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,cross-validation (no held-out test),Auto-assessed from extracted data. Design: multicenter retrospective (25 centers). Ref: fellowship-trained corneal specialist. Test n: 3886.
S45,Chen et al.,2023,Early KC vs Normal (external),Ensemble (10 feedforward NNs + voting),2 senior ophthalmologists: slit-lamp + tomography,Unclear,Low,Low,Unclear,Low,Low,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Low,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective with external validation. Ref: 2 senior ophthalmologists: slit-lamp + tomography. Test n: 115.
S47,Kundu et al.,2023,KC vs Healthy,Random forest,Experienced surgeon clinical diagnosis,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective with 5-fold cv. Ref: experienced surgeon clinical diagnosis. Test n: 1125.
S41,Lu et al.,2023,FFKC vs Normal,Random forest + neural network,3 doctors: slit-lamp + Scheimpflug criteria,Unclear,Low,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective. Ref: 3 doctors: slit-lamp + scheimpflug criteria. Test n: 142.
S42,Prakash et al.,2023,KC vs Normal,Random Forest,2 independent corneal specialists + TKC,High,Low,Low,Unclear,Unclear,Unclear,High,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,High,case-control spectrum bias,Auto-assessed from extracted data. Design: retrospective case-control. Ref: 2 independent corneal specialists + tkc. Test n: 228.
S55,Cohen et al.,2022,KC+suspect vs Normal,Random Forest,Corneal specialist classification,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective single-center. Ref: corneal specialist classification. Test n: 1200.
S49,Firat et al.,2022,KC vs Normal,AlexNet + ReliefF + SVM,Ophthalmologist: Pentacam + slit-lamp,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective. Ref: ophthalmologist: pentacam + slit-lamp. Test n: 204.
S53,Gairola et al.,2022,KC vs Non-KC (SmartKC),Dual-head CNN (ResNet34),Senior ophthalmologist (SmartKC data),Unclear,Low,Low,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,small dataset for AI model,Auto-assessed from extracted data. Design: retrospective with transfer learning. Ref: senior ophthalmologist (smartkc data). Test n: 57.
S54,Gao et al.,2022,Sub-KC vs rest (3-class DPAC),KeratoScreen ANN (4-layer),Slit-lamp + keratometric criteria,Unclear,Low,Low,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,small dataset for AI model,Auto-assessed from extracted data. Design: retrospective. Ref: slit-lamp + keratometric criteria. Test n: 62.
S22,Lucena et al.,2022,Keratoconus vs non-keratoconus topographic patterns (spherical / regular / irregular),Custom CNN (TopEye iOS app) on smartphone-captured topography printouts,Expert physician topographic pattern labels,Unclear,Unclear,Unclear,Low,"Concern — single 80/20 split, no cross-validation","Concern — 4-class classifier, binary KC performance derived from confusion matrix",Unclear,High,Unclear,Low,Unclear,Low,High,Low,High RoB — manual contouring step introduces reviewer variability; small test set,Comparator is non-keratoconus topographic patterns rather than strictly healthy controls; retain for narrative context only. Review-team decision: Narrative only; comparator spectrum is non-keratoconus patterns rather than healthy controls.
S50,Mohammadpour et al.,2022,SKCN vs non-SKCN (Phoenix),Sirius Phoenix (device NN),2-3 expert examiners: slit-lamp + retinoscopy,Low,Low,Low,Low,Low,Unclear,Low,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Low,Low,No major concerns identified,Auto-assessed from extracted data. Design: prospective. Ref: 2-3 expert examiners: slit-lamp + retinoscopy. Test n: 212.
S51,Song et al.,2022,SKC vs Normal (ext val),CART decision tree,TKC>0 + slit-lamp signs; masked cross-center review,Unclear,Low,Low,Low,Unclear,Low,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Low,Unclear,small dataset for AI model,Auto-assessed from extracted data. Design: double-center with external validation. Ref: tkc>0 + slit-lamp signs; masked cross-center review. Test n: 66.
S48,Tan et al.,2022,KC vs Normal (10-fold CV),5-layer feedforward NN,Rabinowitz criteria: clinical signs + topography,Unclear,Unclear,Low,Unclear,Low,Low,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,cross-validation (no held-out test),Auto-assessed from extracted data. Design: retrospective with external validation. Ref: rabinowitz criteria: clinical signs + topography. Test n: 276.
S52,Xu et al.,2022,AKC vs Normal (3-class),KerNet CNN,CLEK criteria: slit-lamp + keratometry,Unclear,Low,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective with ext val. Ref: clek criteria: slit-lamp + keratometry. Test n: 222.
S21e,Elsawy and Abdel-Mottaleb,2021,"Healthy controls, FED, and keratoconus",Multi-resolution OCT network with parallel VGG16 encoders,Corneal specialist scan labels,Low,Low,Low,Low,Moderate,Moderate,Unclear,Low,Unclear,The model is multidisease and direct KCN-vs-normal inference is secondary,"Healthy, KCN, and FED scans",Direct OCT-based corneal disease diagnosis,Unclear,Low,"No external validation, multidisease design, and reconstructed binary KCN-versus-normal counts from normalized matrices.","Strong technical paper using direct OCT images, but evidence for binary screening endpoint is indirect. Review-team decision: Use only in sensitivity analyses because the binary endpoint is indirect and based on cross-validation."
S57,de Almeida et al.,2021,CG vs VAE-NTG,"SVM (RBF kernel, paraconsistent engineering)",Slit-lamp signs + KISA>100; VAE-NTG=fellow eye,Unclear,Low,Low,Unclear,Unclear,Unclear,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,Subclinical KC defined as fellow eye of unilateral KC patient,Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective with ext val. Ref: slit-lamp signs + kisa>100; vae-ntg=fellow eye. Test n: 389.
S61,Cao et al.,2021,SubKC vs Control,"Random Forest (PCA, 15 components)",Optometrist + KC specialists: abnormal tomography without slit-lamp signs,Unclear,Low,Low,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Unclear,small dataset for AI model,Auto-assessed from extracted data. Design: retrospective single-center. Ref: optometrist + kc specialists: abnormal tomography without slit-lamp signs. Test n: 81.
S60,Castro-Luna et al.,2021,SCKC vs Normal,Random Forest,"SCKC: minor topographic signs, no slit-lamp signs, contralateral KC",High,Low,Low,Unclear,Low,High,Unclear,Low,Low,Established keratoconus vs normal,Subclinical KC defined as fellow eye of unilateral KC patient,Ophthalmology/refractive surgery clinical setting,High,Unclear,case-control spectrum bias; very small sample (n=28); small dataset for AI model,"Auto-assessed from extracted data. Design: retrospective single-center. Ref: sckc: minor topographic signs, no slit-lamp signs, contralateral kc. Test n: 28."
S21a,Chen et al.,2021,Healthy versus keratoconus / stage 1 keratoconus,VGG16-based CNN on Pentacam colour-coded maps,Clinical/tomographic classification using Amsler-Krumeich staging and healthy BAD-D threshold,High,Low,Unclear,Low,Low,Moderate,Unclear,Low,Unclear,Study provides both all-stage KC and stage-1 analyses; stage 1 used as early-endpoint proxy,Multicentre healthy controls and keratoconus stages 1–4,AI screening / staging from Scheimpflug maps,Unclear,Unclear,Case-control-style retrospective dataset with stage imbalance; external validation lacked enough reported 2×2 detail for direct inclusion.,"Strong multicentre design and external validation, but early endpoint is stage 1 rather than true suspect/subclinical disease. Review-team decision: Primary KC-vs-normal MA eligible for the all-KC row; keep the stage-1 row exploratory only."
S21b,Elsawy et al.,2021,Keratoconus versus healthy within a multidisease corneal classifier,VGG19-based multidisease deep learning diagnostic network on AS-OCT images,Masked cornea-specialist clinical diagnosis / ICD-10 labels,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Low,"Primary model was multidisease (DES, FED, healthy, KCN); binary KCN extraction is indirect",Healthy controls plus three corneal disease groups,Autonomous multidisease corneal screening from AS-OCT,Unclear,Low,Pairwise KCN-versus-healthy 2×2 had to be derived from a four-class confusion matrix; same institution/device for development and test.,"Strong consecutive independent test set, but direct binary reporting for keratoconus was limited. Review-team decision: Primary KC-vs-normal MA eligible, with caution because the binary 2x2 is derived from a multidisease classifier."
S21f,Gandhi et al.,2021,Healthy vs moderate/severe keratoconus,ANN/CNN/VGG16 on ATLAS topographic images and edge/mask variants,Clinical diagnosis/topography labels,High,Low,Unclear,Low,High,Moderate,High,Low,Unclear,Only established moderate/severe KC included; no early/suspect disease,Healthy and clinically diagnosed KC,Topography-based detection research,High,Unclear,Conference paper; no external validation; no direct independent confusion matrix for best model; forme fruste omitted.,"Good comparative engineering study, but evidence is conference-level and centered on established KC with no direct early/suspect endpoint. Review-team decision: Use only in sensitivity analyses because this is a conference paper with approximate cross-validation-derived 2x2 values."
S63,Ghaderi et al.,2021,KC vs Normal,Ensemble MLP + ANFIS + NB,Ophthalmologist: topography + clinical exam,Low,Unclear,Low,Unclear,Low,Unclear,Low,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Low,cross-validation (no held-out test),Auto-assessed from extracted data. Design: retrospective cross-sectional. Ref: ophthalmologist: topography + clinical exam. Test n: 450.
S21d,Kamiya et al.,2021,Normal vs grade 1-4 keratoconus,Deep learning using a single Placido topography color-coded map,Corneal specialist diagnosis and Amsler-Krumeich grading,Low,Low,Low,Low,Moderate,Moderate,Low,Low,Unclear,Primary interest for this review is screening and grade 1 subgroup,Normal controls and established KC grades 1-4; no subclinical/forme fruste group,Placido topography screening and staging support,Unclear,Unclear,No external validation and no subclinical cases; cross-validation only.,"Well-characterized conventional topography study with grade analysis, yet it lacks true subclinical/forme fruste cases and external validation. Review-team decision: Use only in sensitivity analyses; the grade-1 row is not a true subclinical/suspect endpoint."
S21,Mahmoud et al.,2021,Keratoconus vs normal (with KC severity staging),Custom 3D CNN on reconstructed 3D cornea from 2D frontal+lateral images,Harvard Dataverse physician labels (ground truth from CASIA OCT),High,Unclear,Unclear,Unclear,Concern — reported sens/spec do not reconcile with confusion matrix (Table 5 vs Table 6); unusual sensitivity definition,"Concern — 10-fold CV only, no external validation, overfitting risk",High,Unclear,Unclear,Unclear,High,High,High,High,"High RoB — metric inconsistencies, no external validation, non-standard imaging",Binary row is derived from a 4-class confusion matrix. Paper-reported sensitivity is omitted from analytic extraction because it uses a non-standard formula; the workbook uses only the conventional confusion-matrix-derived binary sensitivity. Review-team decision: Use only in sensitivity analyses because the paper’s reported sensitivity is non-standard and the imaging pipeline is outside the core clinical imaging pool.
S56,Tian et al.,2021,FFKC vs TNC,BP neural network (3-layer),Slit-lamp signs + keratometry; FFKC=fellow eye,High,Low,Low,Unclear,Low,High,Unclear,Low,Low,Early/subclinical/suspect keratoconus vs normal,Subclinical KC defined as fellow eye of unilateral KC patient,Ophthalmology/refractive surgery clinical setting,High,Unclear,case-control spectrum bias; very small sample (n=45); small dataset for AI model,Auto-assessed from extracted data. Design: retrospective single-center. Ref: slit-lamp signs + keratometry; ffkc=fellow eye. Test n: 45.
S21c,Wan Zaki et al.,2021,Keratoconus vs normal from smartphone lateral segment images,VGGNet-16 transfer learning on lateral segment photographed images,Optometrist topography-based validation,High,High,Unclear,Low,High,High,High,High,Unclear,No tomography-derived target variable in the input; smartphone side-view image classification only,Healthy versus clinically validated KC,Mobile low-cost screening aid,High,High,Image-level split from only 125 subjects; potential leakage across subjects/videos; external validation absent.,"Promising low-cost screening approach, but subject-level independence and direct clinical applicability are limited by image-level LSPI design. Review-team decision: Use only in sensitivity analyses because the index test is smartphone LSPI and subject-level independence is not well established."
S20a,Abdelmotaal et al.,2020,Normal vs keratoconus / subclinical keratoconus,Custom CNN on four-map Pentacam display images,Corneal specialist diagnosis with adjudication,High,Low,Unclear,Low,High,Moderate,Unclear,Low,Unclear,"Primary interest includes subclinical KC, but independent test-set reporting is limited","Normal, subclinical KC, and established KC",Topography-based AI triage for refractive surgery screening,High,Unclear,"Single-center retrospective dataset, no external validation, and apparent confusion-matrix reporting mainly on training/validation averages.","Very relevant for subclinical KC review framing, but the currently available confusion-matrix reporting is mainly training/validation based. Review-team decision: Use only in sensitivity analyses because the available binary rows come from training/validation summaries rather than an independent test set."
S10,Kuo et al.,2020,Keratoconus vs normal,VGG16 / InceptionV3 / ResNet152 on color-coded corneal topography maps,Clinical diagnosis by corneal specialists,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Low,Low,Low,Low,Low,Low,Unclear,Low,"Retrospective single-center topography study; primary pooled endpoint is manifest KC vs normal, while subclinical analysis is separate and not pooled.","Held-out test set is clean for manifest KC vs normal (36 KC, 36 normal). Subclinical cases should remain outside the primary pooled binary row. Review-team decision: Primary KC-vs-normal MA eligible; the subclinical images remain outside the primary pooled endpoint."
S65,Shi et al.,2020,SubKC vs Normal,Neural network (feedforward),2 cornea experts: slit-lamp + keratometry,Low,Low,Low,Low,Unclear,High,Low,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,High,Low,small dataset for AI model,Auto-assessed from extracted data. Design: cross-sectional. Ref: 2 cornea experts: slit-lamp + keratometry. Test n: 83.
S23,Zéboulon et al.,2020,Keratoconus vs normal vs history of refractive surgery,Custom CNN on raw Orbscan tomography numeric matrices (4 maps stacked),Expert corneal tomography specialist (>=5 years) review of electronic patient files,Low,Low,Low,Low,"Low — 10-fold CV + independent 300-image test set; 2,000-iteration bootstrap for CIs",Low — class activation mapping provides explainability; test set independent,Low,Low,Low,Low,Low,Low,Low,Low,"Low RoB across all domains — robust methodology, expert reference, independent test set",Independent 3-class test set supports the KC-vs-normal binary subset cleanly; RS misclassifications do not affect the binary extraction. Review-team decision: Primary KC-vs-normal MA eligible based on the independent test-set binary subset.
S67,Issarti et al.,2019,Suspect KC vs Normal,CAD: FFN + Grossberg-RK2,Ophthalmologist + optometrist,Low,Low,Low,Unclear,Unclear,Unclear,Low,Low,Low,Early/subclinical/suspect keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Low,No major concerns identified,Auto-assessed from extracted data. Design: retrospective cross-sectional. Ref: ophthalmologist + optometrist. Test n: 402.
S02,Kamiya et al.,2019,Keratoconus vs normal (with Amsler-Krumeich staging),ResNet-18 CNN on 6 AS-OCT color-coded maps (arithmetic mean output),Corneal specialist clinical diagnosis + slit-lamp findings + Amsler-Krumeich classification,Low,Low,Low,Low,Low — 5-fold cross-validation,"Low concern — 5-fold CV, no external validation; excluded forme fruste and subclinical KC",Low,Low,Low,Low,Low,Low,Low,Low,Low RoB — rigorous single-center DTA study; limitation is no external validation and exclusion of subclinical KC,Single-center Japanese AS-OCT study with clear class counts and a usable derived KC-vs-normal 2x2 from Table 2. Review-team decision: Use only in sensitivity analyses because the binary extraction is derived from a multiclass cross-validation study.
S72,Lopes et al.,2018,All ectasia vs Stable (independent test),Random forest (PRFI),Corneal specialist: topography + slit-lamp + CDVA,Unclear,Unclear,Low,Unclear,Low,Unclear,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Unclear,Unclear,cross-validation (no held-out test),Auto-assessed from extracted data. Design: multicenter retrospective. Ref: corneal specialist: topography + slit-lamp + cdva. Test n: 674.
S73,Hidalgo et al.,2017,KC vs N (external validation vs UZA),"SVM (Keratoconus Assistant, KA)",Two independent centers: Pentacam-based + Orbscan+slit-lamp,Unclear,Low,Low,Unclear,Low,Low,Unclear,Low,Low,Established keratoconus vs normal,KC vs normal controls (clinical spectrum),Ophthalmology/refractive surgery clinical setting,Low,Unclear,No major concerns identified,Auto-assessed from extracted data. Design: retrospective external validation. Ref: two independent centers: pentacam-based + orbscan+slit-lamp. Test n: 98.
