study_id,first_author,year,n_arms,ai_systems,RoB_PatientSelection,RoB_IndexTest,RoB_ReferenceStandard,RoB_FlowTiming,App_PatientSelection,App_IndexTest,App_ReferenceStandard,App_FlowTiming,AI_ProspectiveValidation,AI_LockedVersion,AI_ExternalDataset,AI_NoTrainingOverlap,AI_TRIPOD_AI_Reporting,Notes,Reviewer,Assessed_at
Bauer_2025,Bauer FM,2025,2.0,OphtAI · RetCAD,Low,Low,High,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,Prospective consecutive recruitment in diabetes outpatient clinic with locked commercial AI versions; reference = single ophthalmologist with no adjudication or explicit masking (High RoB reference).,claude-opus-auto,2026-05-17T16:56:59
Burlina_2024,Burlina S,2024,1.0,Retmarker,Low,Low,High,Low,Low,Low,Low,Low,No,Yes,Yes,Unclear,No,Retrospective consecutive enrollment with blinded AI vs ophthalmologist; authors note 'main limitation is the use of only one ophthalmologist as a human grader' — single-grader reference standard.,claude-opus-auto,2026-05-17T16:57:23
Doan_2024,Doğan ME,2024,1.0,EyeCheckup,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,No,Unclear,No,"Pre-registered (NCT04805541) consecutive endocrinology cohort, 3-specialist masked consensus on 4-widefield images, version-locked EyeCheckup; but training used same-site Akdeniz images — no explicit test/train separation.",claude-opus-auto,2026-05-17T16:57:46
Grzybowski et al. (2025),Grzybowski A,2025,2.0,IDx-DR · RetCAD,High,Low,Unclear,High,Low,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Retrospective; consecutive DM patients but 'all images analyzed in this study were taken from encounters deemed as sufficient by the IDx-DR quality check', biasing flow and selection; split Polish/Indian grader teams limit reference consist",claude-opus-auto,2026-05-17T16:58:13
Grzybowski_2023,Grzybowski A,2023,2.0,IDx-DR · Medios AI,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Retrospective consecutive 811 diabetic-clinic patients in Poland; 3 graders/side masked to AI, consensus reference; commercial locked AI (IDx-DR, Medios); STARD diagram presented.",claude-opus-auto,2026-05-17T16:58:26
Grzybowski_2025b,Grzybowski A,2025,2.0,IDx-DR · MONA DR,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Yes,Yes,"Retrospective consecutive screening cohort (750 pts), 3 masked expert graders with majority consensus; MONA DR v1.0.0 trained on EyePACS (US) with patient-level split, tested externally on Polish screening data.",claude-opus-auto,2026-05-17T16:58:34
Grzybowski_Brona_2021,Grzybowski A,2021,2.0,IDx-DR · Retinalyze,High,Low,High,Unclear,High,Low,High,Low,No,Yes,Yes,Unclear,No,Retrospective non-representative sample (60 rDR+ / 110 rDR-) with ungradable images excluded; reference was a single ophthalmologist with 'basic experience' — authors themselves flag selection bias and weak ground truth.,claude-opus-auto,2026-05-17T16:58:46
Heydon et al. (2021),Heydon P,2021,1.0,EyeArt,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,Yes,"Prospective evaluation of locked CE-marked EyeArt v2.1.0 on 30,405 consecutive UK DESP episodes; multi-grader NHS protocol with arbitration as reference; AI masked to human grade.",claude-opus-auto,2026-05-17T16:58:55
Kemp_2023,Kemp O,2023,1.0,Medios AI,Low,Low,High,Low,Low,Low,High,Low,Yes,Yes,Yes,Unclear,No,"Consecutive prospective enrollment, locked Medios NM App V.2.0 read masked; reference was a single 'field grader' (ophthalmic technician), not an ophthalmologist/retinal specialist — PICO mismatch.",claude-opus-auto,2026-05-17T16:59:11
Kim_2020,Kim TN,2020,1.0,EyeArt,High,Low,High,Low,High,High,Low,Low,Yes,Yes,Yes,Unclear,No,"Tertiary retina-clinic convenience sample (RWDR 73.9%) — not a screening cohort; single retina-specialist reference; EyeArt v2.0 trained on traditional, not smartphone, images.",claude-opus-auto,2026-05-17T16:59:35
Mehra_2022,Mehra A,2022,1.0,IDx-DR,Low,Low,High,Low,Low,Low,Low,Low,No,Yes,Yes,Unclear,No,"Retrospective consecutive cohort; FDA-locked IDx-DR vs single ophthalmologist/optometrist overread 'not masked to the original grading, which may have introduced bias'.",claude-opus-auto,2026-05-17T16:59:47
Meredith_2023,Meredith S,2023,1.0,RetCAD,Low,Low,High,Low,Low,Low,High,Low,Yes,Yes,Yes,Yes,Yes,"Consecutive DESP screening cohort with RetCAD v2.1.0 (locked, externally trained: 'None of the images used in this study were used to train'); reference is DESP manual grade, not retinal-specialist adjudication.",claude-opus-auto,2026-05-17T16:59:56
Musetti_2025,Musetti D,2025,2.0,EyeArt · IDx-DR,Unclear,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Prospective single-center Genoa cohort May-Sep 2019, EyeArt v2.0 + IDx-DR vs two masked retina specialists with consensus; enrollment described as 'recruited or referred' — consecutiveness not stated.",claude-opus-auto,2026-05-17T17:00:15
Piatti_2023,Piatti A,2023,1.0,Retmarker,Low,Low,High,Low,Low,Low,Low,Low,Yes,Yes,Yes,Yes,No,Consecutive enrollment with locked CE-marked Retmarker (trained in Portugal 2015/2018) validated in Italian cohort; key limitation is single ophthalmologist grader — 'use of only one ophthalmologist as human grader'.,claude-opus-auto,2026-05-17T17:00:35
Poschkamp_2025,Poschkamp B,2025,2.0,IDx-DR · RetCAD,Low,High,High,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Consecutive prospective enrollment with locked commercial AI, but 'Greifswald modification' threshold derived post-hoc via Youden Index on same test set and reference was single ophthalmologist per patient.",claude-opus-auto,2026-05-17T17:01:14
Riotto et al. (2024),Riotto E,2024,1.0,IDx-DR,Low,Low,Unclear,High,Unclear,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Consecutive screening at tertiary eye hospital; 418/2700 'insufficient quality' images excluded and grader masking to IDx-DR output not stated; IDx-DR v2.3 locked, external to training.",claude-opus-auto,2026-05-17T17:01:46
Rudnicka_2025,Rudnicka A,2025,8.0,Artelus DRISTi · EyeArt · EyeCheckup · MONA DR · NEC · OphtAI · Remidio AI · Retmarker,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Yes,Yes,All consecutive NEL DESP encounters (2021-2022) processed by 8 CE-marked ARIAS; reference = up to 3 masked NHS graders; 'this real-life dataset...has not been used to develop or train any ARIAS'.,claude-opus-auto,2026-05-17T17:01:58
Sosale_2020b,Sosale B,2020,1.0,Medios AI,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Unclear,Yes,Yes,"Prospective consecutive enrollment, 5 masked retina specialists with majority adjudication; explicit statement that 'images used for training and internal validation of the AI do not overlap with those captured for the SMART study.'",claude-opus-auto,2026-05-17T17:02:05
Vaghefi et al. (2022),Vaghefi E,2022,1.0,THEIA,High,Low,Low,Unclear,Low,Low,Low,Low,Yes,Yes,No,Unclear,Unclear,Consecutive enrollment but non-diseased arm down-sampled by random selection (804→657) creating artificial case mix; 3 masked graders with adjudication; THEIA trained on same Auckland DHB population.,claude-opus-auto,2026-05-17T17:02:29
Yang et al. (2022),Yang Y,2022,1.0,AIDRScreening,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Unclear,Unclear,Yes,"Prospective multicenter consecutive enrollment, masked 2-grader ZIRC adjudication, pre-specified threshold, STARD-followed; training/validation source overlap not explicitly excluded.",claude-opus-auto,2026-05-17T17:02:38
doi_10.1097_IAE.0000000000004826,Lin C-C,2026,1.0,VeriSee DR,Low,Low,Low,Low,Unclear,Low,Low,Low,Yes,Yes,Yes,Unclear,No,Consecutive OPD diabetic patients; two masked VR specialists with adjudication as ground truth; commercial Medios AI; mydriatic 3-field imaging at tertiary diabetes centre limits screening applicability.,claude-opus-auto,2026-05-17T17:03:06
doi_10.1177_15209156251369886,Huhtinen P,2025,1.0,Aireen,High,Low,Low,Low,High,Low,High,Low,Yes,Unclear,Yes,Unclear,No,"Enriched with '50 patients with more severe DR' on top of 106 consecutive screenees (two-gate); target was any-DR vs non-DR, not referable DR per PICO.",claude-opus-auto,2026-05-17T17:03:28
doi_10.2337_db19-51-OR,Sosale B,2020,1.0,Medios AI,Low,Low,Low,Low,Unclear,Low,Low,Low,Yes,Unclear,Yes,Unclear,No,Consecutive OPD enrollment at tertiary diabetes center with 3-field mydriatic imaging; two masked VR specialists adjudicated (κ=0.89); training set (EyePACS/camps) distinct from test site but overlap not explicitly excluded.,claude-opus-auto,2026-05-17T17:03:53
van et al. (2018),van der Heijden A,2018,1.0,IDx-DR,Low,Low,Low,Unclear,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,Yes,"Consecutive T2DM screening cohort; IDx-DR 2.0 with pre-specified thresholds masked to 3 adjudicated retinal specialists; ~35% excluded for image quality, no per-patient flow detail.",claude-opus-auto,2026-05-17T17:04:01
Tufail_2017,Tufail,2017,,,Low,Low,Low,Unclear,Low,Low,High,Low,Yes,Yes,Unclear,No,Yes,20258 consecutive NHS DESP patients; reference = accredited screening graders (not retinal specialists) with Doheny arbitration only on discrepancies + random subset (differential verification); vendors given 2500 Homerton images to 'optimi,claude-opus-auto,2026-05-17T17:52:33
Chia_2023,Chia,2024,,,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Retrospective external validation in Indigenous Australians using consecutive images, CE-marked DLS with thresholds 'locked prior to the commencement of this study,' 3-person adjudicated reference, STARD-reported.",claude-opus-auto,2026-05-17T17:52:44
Hsieh_2021,Hsieh,2021,,,Unclear,High,Low,Low,Low,Low,Low,Low,No,Unclear,No,Yes,No,Retrospective NTUH-only split; threshold chosen at 'optimal operating point' on the validation set (post-hoc); 2-grader + senior retina adjudication reference standard; no external validation.,claude-opus-auto,2026-05-17T17:53:06
Piatti_2024,Piatti,2025,,,Low,Low,High,Low,Low,Low,High,Low,Yes,Yes,Yes,Unclear,No,Consecutive real-world DR screening with locked RetCAD v2.0.2; reference standard was a single general ophthalmologist — authors acknowledge this as 'primary limitation'.,claude-opus-auto,2026-05-17T17:53:15
Sarao_2020,Sarao,2020,,,Low,Low,Low,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Consecutive recruitment with masked 2+1 adjudication and locked EyeArt v2.1, but ambulatory-clinic Caucasian-only sample with R2 prevalence 'higher than what typically reported in a screening programme' limits applicability.",claude-opus-auto,2026-05-17T17:53:36
Lee_2021,Lee,2021,,,Low,Low,Low,Low,High,Low,Low,High,No,Yes,Yes,Yes,Unclear,"Locked algorithms masked to double-arbitrated retina-specialist reference; but 94.68% male veterans (applicability) and referable-DR threshold = any DR (ICDR 1-4), not mtmDR; retrospective 2006-2018 images.",claude-opus-auto,2026-05-17T17:54:12
Taylor_2024,Taylor,2025,,,High,Low,Low,Low,High,Low,Low,Low,No,Yes,Yes,Unclear,No,"Retrospective case-enriched sample of patients with 'pre-existing diagnosis of DR (any) or AMD (any)'—authors concede 'a biased sample'; not a screening cohort, so selection and applicability are High.",claude-opus-auto,2026-05-17T17:54:34
GonzlezGonzalo_2019,González-Gonzalo,2020,,,High,High,High,Low,High,Low,Low,Low,No,Yes,Yes,Yes,Unclear,Case-enriched 'random selection of 600 images' from pre-graded clinical pool (not consecutive DM screening); single ophthalmologist RS without adjudication; post-hoc 'optimal operating point' selected on ROC.,claude-opus-auto,2026-05-17T17:55:06
35080640.0,Paul,2022,,,Low,Low,High,Low,Unclear,Low,Low,Low,Yes,Yes,Yes,Unclear,No,Consecutive 503 pts at tertiary diabetes clinic; fundoscopy by single ophthalmologist (1 of 4) 'ohne Kenntnis des Ergebnisses' der IDx-DR — no multi-grader adjudication; age range 9-92 (incl. peds).,claude-opus-auto,2026-05-17T17:55:37
Tsai_2022,Tsai,2022,,,High,Low,Low,Unclear,High,Low,Low,Low,Unclear,Yes,Yes,Unclear,No,"Cross-camera validation of VeriSee DR on images pre-filtered as 'gradable' by one ophthalmologist; convenience sample from 3 clinics, not consecutive screening cohort; 3-grader majority vote reference.",claude-opus-auto,2026-05-17T17:55:44
Wintergerst et al. (2021),Wintergerst,2022,,,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,Prospective GP-based recruitment with locked EyeArt v2.1.0; double-grading with adjudication masked to AI; small N=75 and only 6 DED cases limit precision but methodology is sound.,claude-opus-auto,2026-05-17T17:55:53
37847478,Vought,2023,,,High,Low,High,Low,High,Low,Low,Low,No,Yes,Yes,Unclear,No,"Retrospective convenience sample of 62 patients (32% denied T2DM, 23% unknown); single off-site retina specialist as reference; small N=124 eyes from community screening.",claude-opus-auto,2026-05-17T17:56:12
Ipp et al. (2021),Ipp,2021,,,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,Yes,Preregistered prospective multicenter pivotal trial of locked EyeArt v2.1.0; FPRC ETDRS reference by 2 masked graders + adjudication; enrichment corrected; STARD-compliant.,claude-opus-auto,2026-05-17T17:56:26
36003071,Rao,2022,,,Low,Low,Low,High,High,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Post-hoc analysis of 135 consecutive diabetic patients at tertiary eye hospital (not screening setting); 63/233 eyes excluded as ungradable; Medios AI vs 2-expert consensus + adjudication, masked.",claude-opus-auto,2026-05-17T17:56:35
36345378.0,Lim,2023,,,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Yes,Yes,Prospective multicenter pivotal trial; FDA-cleared locked EyeArt; 2 masked WFPRC graders with adjudication on 4-wide-field ETDRS stereo as reference; STARD chart reported.,claude-opus-auto,2026-05-17T17:56:54
40649184,Karabeg,2025,,,Unclear,Low,Low,Low,Low,Low,Unclear,Low,Yes,Yes,Yes,Unclear,No,Convenience recruitment via ads+GP referrals (not consecutive); MC reference included non-specialist graders without certified reading centre; CLARUS camera not yet validated for EyeArt v2.1.0.,claude-opus-auto,2026-05-17T17:57:27
38783384.0,Karabeg,2024,,,High,Low,Unclear,Low,High,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Single-day convenience pilot of 33 minority women (64 eyes, only 12 DR+); two retina specialists graded but adjudication/masking unspecified; locked EyeArt v2.1.0 (CE-marked), EyeNuk co-author conflict.",claude-opus-auto,2026-05-17T17:57:52
41814043.0,Pazo,2026,,,High,Low,Low,Low,Low,High,Low,Low,Yes,Yes,Yes,Yes,Yes,"Balanced case-control sampling (52 rDR + 52 randomly selected non-rDR 'primarily myopia') = high selection RoB; in-house EfficientNet-B4, not commercial/regulator-approved AI, so index-test applicability is high.",claude-opus-auto,2026-05-17T17:58:18
Zhang et al. (2022),Zhang,2022,,,High,Low,Low,Low,High,Low,Low,Low,Yes,Yes,Unclear,Unclear,Unclear,"Prospective 3-center double-masked trial with 3-grader+PI consensus reference, but sample engineered to ~70% positives ('positive data in this study accounted for 68.14%'), inflating prevalence vs real screening.",claude-opus-auto,2026-05-17T17:58:47
Ruamviboonsuk_2019,Raumviboonsuk,2019,,,Low,Low,Low,High,Low,Unclear,Low,Low,No,Yes,Yes,Unclear,Yes,"Differential verification: adjudication only for disagreement cases plus 5% of agreement cases — 'may overestimate the accuracy of both deep learning and human graders'; Google research algorithm, not yet regulator-approved.",claude-opus-auto,2026-05-17T17:59:16
41991402.0,Alcalá-Millán,2026,,,Low,Low,High,High,Low,Low,Low,Low,No,Yes,Yes,Unclear,Yes,"Consecutive T2D cohort, locked EyeArt v3.0.0, STARD-adherent and blinded, but reference was a single retinal specialist with no adjudication and analytic cohort restricted to gradable eyes.",claude-opus-auto,2026-05-17T17:59:39
37372815,Teoh,2023,,,Unclear,High,Low,Low,Low,High,Low,Low,No,Unclear,Unclear,Unclear,No,Retrospective 200-image set; CSIRO research software (not commercial/regulator-approved); thresholds derived post-hoc via Youden's index — 'optimal cutoffs were derived from the Youden's index'.,claude-opus-auto,2026-05-17T17:59:55
Rio et al. (2022),Nunez do Rio,2022,,,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Yes,No,"Prospective house-to-house SMART India cohort; SERI-trained, Zeiss VISUHEALTH-AI v1.8 (locked) externally validated on non-mydriatic handheld images; 2-grader+arbitration reference masked to AI; no TRIPOD-AI.",claude-opus-auto,2026-05-17T18:00:14
34435963.0,Noriega,2021,,,High,Low,Low,Low,High,High,Low,Low,No,Yes,Yes,Unclear,No,"Case-control selection of 50 referable/50 nonreferable hospital images (mostly advanced DR) — non-commercial in-house ARIA, EyePACS-trained, Mexican-hospital tested; 3-specialist majority gold standard.",claude-opus-auto,2026-05-17T18:00:30
Li_2021b,Li,2021,,,Low,Low,Low,High,Low,Low,Low,Low,Yes,Yes,Yes,Unclear,No,"Consecutive T2DM screening at VGHTC with TFDA-approved VeriSee vs 3 masked ophthalmologists (adjudicated); ~30-35% poor-quality images excluded, no training-overlap statement.",claude-opus-auto,2026-05-17T18:00:39
doi_10.3390_diagnostics14171992,Baget-Bernaldiz,2024,,,Unclear,Low,Unclear,Low,Low,High,Low,Low,No,Yes,Yes,Yes,No,"In-house MIRA CNN (only SAFE CREATIVE copyright code, not FDA/CE) — mismatches PICO's 'commercial/regulator-approved'; retrospective testing; 4 masked retina experts but no adjudication described.",claude-opus-auto,2026-05-17T18:00:59
doi_10.2337_dci21-0007,Lee,2021,,,Low,Low,Low,Low,High,Low,Low,Low,No,Yes,Yes,Yes,Yes,Retrospective VA validation of 7 locked commercial AI algorithms vs double-masked arbitrated expert grading; 'None of the images had been used previously to train' algorithms; cohort 94.68% male veterans limits applicability.,claude-opus-auto,2026-05-17T18:01:26
Tufail et al. (2016),Tufail,2016,,,Low,Low,Low,Low,Low,Low,Low,Low,No,Yes,Yes,Unclear,No,"Retrospective measurement-comparison in 20,258 'consecutive diabetic patients' at NHS DESP; manual grade modified by masked reading-centre arbitration as reference; locked CE-marked ARIAS versions; pre-TRIPOD-AI.",claude-opus-auto,2026-05-17T18:01:40
40925861.0,Duggal,2025,,,Low,Low,Low,Low,Low,Low,Low,Low,Yes,Yes,Yes,Yes,Yes,"Prospective public-health screening, masked dual-grader RS with senior adjudication, STARD-reported; AI retrained between phases but 'did not undergo additional training during the implementation period.'",claude-opus-auto,2026-05-17T18:02:17
37541766,Whitestone,2024,,,Low,Low,High,Low,Low,Low,High,Low,Yes,Yes,Yes,Unclear,No,"Consecutive enrollment at 4 Rwandan diabetes clinics with prospective AI screening (Cybersight AI), but reference was a single UK NHS-certified grader, not ≥2 adjudicated experts.",claude-opus-auto,2026-05-17T18:02:25
41248228,Parravano,2026,,,Low,Low,Unclear,Low,Low,Low,Unclear,Low,Yes,Yes,Yes,Unclear,No,"Prospective single-center study using CE-marked RetCAD vs external Reading Center (NHS DESP); RC grader number/masking not specified, and ICDR↔NHS scale mapping introduces reference-standard uncertainty.",claude-opus-auto,2026-05-17T18:02:35
ArenasCavalli_2021,Arenas-Cavalli,2022,,,Low,Low,High,Low,Low,Low,Unclear,Low,No,Yes,Unclear,Unclear,No,"Consecutive primary-care sampling with pre-specified threshold (0.0166), but reference was a single teleophthalmologist — authors concede 'assess each case by more than one physician' is needed; retrospective design.",claude-opus-auto,2026-05-17T18:02:56
