id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
11,Singh (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Singh (2021).pdf,04_fulltext/pdfs/Singh (2021).pdf,AI-only,31,4,3,32,35,35,image,fundus,DRIONS-DB ground truth labels,Asia,internal,retrospective,no,any,any,n/r,n/r,"ANN (proposed) — DRIONS-DB, 50/50 train/test split",claude_opus_v4,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"ANN (proposed) — DRIONS-DB, 50/50 train/test split",AI-only,Singh (2021),0.8857,0.7405,0.9546,0.9143,0.7762,0.9704,2020-24,small,Asia,internal,dataset_label,unclear,Singh (2021),11,1,AI-only,AI-vs-Reader,35,35,classical ML
12,Tabei (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Tabei (2025).pdf,04_fulltext/Tabei (2025).pdf,AI-only,286,10,13,711,296,724,image,fundus,"Clinical diagnosis based on optic nerve head appearance, RNFL defects, IOP, and ISNT rule compliance (G1020 dataset labels)",North America,internal,retrospective,no,any,any,n/r,n/r,Proposed CIE LAB + stereo depth mapping + SVM,codex_v2,North America,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed CIE LAB + stereo depth mapping + SVM,AI-only,Tabei (2025),0.9662,0.9389,0.9815,0.9820,0.9695,0.9895,2025+,large,non-Asia,internal,dataset_label,unclear,Tabei (2025),12,1,AI-only,AI-vs-Reader,296,724,classical ML
13,Bhuiyan (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhuiyan (2021).pdf,04_fulltext/pdfs/Bhuiyan (2021).pdf,AI-only,149,37,68,384,186,452,image,fundus,"Manual vertical CDR grading using the CDR annotator by two trained graders, with adjudication of disagreements; glaucoma suspect defined as vertical CDR > 0.5 and nonsuspect as vertical CDR <= 0.5",mixed,both,retrospective,yes,other,any,n/r,n/r,Ensemble DL + Logistic Model Tree (ORIGA-light external validation),claude_opus_v4,mixed,both,retrospective,yes,other,n/r,n/r,n/r,fundus,n/r,Ensemble DL + Logistic Model Tree (ORIGA-light external validation),AI-only,Bhuiyan (2021),0.8011,0.7379,0.8521,0.8496,0.8137,0.8796,2020-24,medium,mixed,n/r,dataset_label,unclear,Bhuiyan (2021),13,1,AI-only,AI-vs-Reader,186,452,deep learning
14,Cao (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Cao (2023).pdf,04_fulltext/pdfs/Cao (2023).pdf,AI-only,36,19,38,544,55,582,image,fundus,expert ophthalmologist,Asia,external,cross-sectional,yes,referable,mixed,48.18,0.0863,AI fundus screening system (Kangrui),claude_pdf,Asia,external,cross-sectional,yes,referable,n/r,n/r,n/r,fundus,n/r,AI fundus screening system (Kangrui),AI-only,Cao (2023),0.6545,0.5225,0.7664,0.9347,0.9117,0.9521,2020-24,medium,Asia,external,expert_clinical,unclear,Cao (2023),14,1,AI-only,AI-vs-Reader,55,582,deep learning
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,AI-only,836,187,331,1200,1023,1531,image,fundus,Clinical diagnosis from hospital case reports at Beijing Tongren Hospital,Asia,internal,retrospective,no,any,any,n/r,n/r,MB-NN_2 (MB-NN without domain knowledge features) — D5,claude_opus_v4,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,MB-NN_2 (MB-NN without domain knowledge features) — D5,AI-only,Chai (2018),0.8172,0.7923,0.8397,0.7838,0.7625,0.8037,2015-19,large,Asia,internal,other,unclear,Chai (2018),15,1,AI-only,AI-vs-Reader,1023,1531,deep learning
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,AI-only,121,48,41,104,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,Automated System (cascade-forward neural network),claude_pdf,Asia,external,cross-sectional,no,referable,n/r,n/r,n/r,fundus,n/r,Automated System (cascade-forward neural network),AI-only,Chakrabarty (2016),0.7160,0.6438,0.7786,0.7172,0.6391,0.7842,2015-19,medium,Asia,external,expert_clinical,unclear,Chakrabarty (2016),16,1,AI-only,AI-vs-Reader,169,145,deep learning
17,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,Human-only,117,52,22,123,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Specialist-A (glaucoma specialist, image-based grading)",claude_pdf,Asia,external,cross-sectional,no,referable,n/r,n/r,n/r,fundus,n/r,"Specialist-A (glaucoma specialist, image-based grading)",Human-only,Chakrabarty (2016),0.6923,0.6191,0.7570,0.8483,0.7810,0.8976,2015-19,medium,Asia,external,expert_clinical,unclear,Chakrabarty (2016),16,2,Human-only,AI-vs-Reader,169,145,human reader
18,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,AI-only,27,13,8,352,40,360,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,TVGH-Original - Refuge external dataset,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,TVGH-Original - Refuge external dataset,AI-only,Chen (2025),0.6750,0.5202,0.7992,0.9778,0.9568,0.9887,2025+,medium,mixed,internal,expert_clinical,unclear,Chen (2025),17,1,AI-only,AI-vs-Reader,40,360,deep learning
19,Cho (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Cho (2024).pdf,04_fulltext/pdfs/Cho (2024).pdf,AI-only,70,2,10,62,72,72,image,fundus,expert ophthalmologist,Asia,internal,cross-sectional,no,confirmed,unspecified,n/r,0.5,Attention-based multi-input CNN (ResU-Net + Hough),claude_pdf,Asia,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,fundus,n/r,Attention-based multi-input CNN (ResU-Net + Hough),AI-only,Cho (2024),0.9722,0.9043,0.9923,0.8611,0.7629,0.9228,2020-24,small,Asia,internal,expert_clinical,unclear,Cho (2024),18,1,AI-only,AI-vs-Reader,72,72,deep learning
20,Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,AI-only,700,259,180,486,959,666,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Proposed 3D CNN - Hong Kong external dataset (scan-level),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Proposed 3D CNN - Hong Kong external dataset (scan-level),AI-only,Noury (2022),0.7299,0.7009,0.7571,0.7297,0.6948,0.7621,2020-24,large,mixed,internal,expert_clinical,unclear,Noury (2022),19,1,AI-only,AI-vs-Reader,959,666,deep learning
21,Chuter (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Chuter (2026).pdf,04_fulltext/pdfs/Chuter (2026).pdf,AI-only,8170,3501,376,7149,11671,7525,image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,RETFound multimodal CFP+OCT,claude_pdf,North America,internal,retrospective,no,confirmed,n/r,n/r,n/r,combined,n/r,RETFound multimodal CFP+OCT,AI-only,Chuter (2026),0.7000,0.6916,0.7083,0.9500,0.9449,0.9547,2025+,very large,non-Asia,internal,expert_clinical,unclear,Chuter (2026),20,1,AI-only,AI-vs-Reader,11671,7525,deep learning
22,Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,AI-only,104,20,48,407,124,455,image,fundus,"Dataset labels/reference standards: RIM-ONE and DRISHTI-GS used the datasets' clinical expert/specialist classifications; ESPERANZA images received double ophthalmologist evaluation, and disagreements were resolved by consensus of two glaucoma experts.",mixed,internal,cross-sectional,no,any,any,n/r,n/r,"Ensemble VGG19 (full + TL, full test set)",claude_opus_v4,mixed,internal,cross-sectional,no,any,n/r,n/r,n/r,fundus,n/r,"Ensemble VGG19 (full + TL, full test set)",AI-only,Gomez-Valverde (2019),0.8387,0.7640,0.8931,0.8945,0.8629,0.9195,2015-19,medium,mixed,internal,expert_clinical,unclear,Gomez-Valverde (2019),21,1,AI-only,AI-vs-Reader,124,455,deep learning
23,Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,Human-only,123,37,188,1547,160,1735,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,Expert ophthalmologists (>5 yrs experience),claude_pdf,Europe,internal,retrospective,no,screening,n/r,n/r,n/r,fundus,n/r,Expert ophthalmologists (>5 yrs experience),Human-only,Gomez-Valverde (2019),0.7688,0.6976,0.8273,0.8916,0.8761,0.9054,2015-19,large,non-Asia,internal,expert_clinical,unclear,Gomez-Valverde (2019),21,2,Human-only,AI-vs-Reader,160,1735,human reader
24,Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,AI-only,283,180,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,VGG-16 Texture-based en face image,claude_pdf,North America,internal,cross-sectional,no,confirmed,n/r,n/r,n/r,OCT,n/r,VGG-16 Texture-based en face image,AI-only,Bowd (2023),0.6112,0.5661,0.6545,0.9538,0.9030,0.9787,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,Bowd (2023),22,1,AI-only,AI-vs-Reader,463,130,deep learning
25,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/Elangovan (2022).pdf,AI-only,1180,10,2,928,1190,930,image,fundus,"diagnostic labels from public retinal image databases: DRISHTI-GS1, ORIGA, RIM-ONE2, LAG, and ACRIMA",mixed,internal,retrospective,no,glaucomatous optic neuropathy,any,n/r,n/r,En-ConvNet proposed ensemble - ACRIMA-R,codex_v2,mixed,internal,retrospective,no,glaucomatous optic neuropathy,n/r,n/r,n/r,fundus,n/r,En-ConvNet proposed ensemble - ACRIMA-R,AI-only,Elangovan (2022),0.9916,0.9846,0.9954,0.9978,0.9922,0.9994,2020-24,large,mixed,internal,dataset_label,unclear,Elangovan (2022),23,1,AI-only,AI-vs-Reader,1190,930,deep learning
26,Sivakumar (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sivakumar (2025).pdf,04_fulltext/pdfs/Sivakumar (2025).pdf,AI-only,1034,90,262,1488,1124,1750,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,ViT + ResNet50,claude_pdf,mixed,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,ViT + ResNet50,AI-only,Sivakumar (2025),0.9199,0.9026,0.9344,0.8503,0.8328,0.8662,2025+,large,mixed,internal,other,unclear,Sivakumar (2025),24,1,AI-only,AI-vs-Reader,1124,1750,deep learning
27,Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,AI-only,393,32,72,968,425,1040,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,FRCNN,claude_pdf,Europe,internal,retrospective,no,screening,n/r,n/r,n/r,fundus,n/r,FRCNN,AI-only,Eswari (2024),0.9247,0.8956,0.9462,0.9308,0.9137,0.9447,2020-24,large,non-Asia,internal,other,unclear,Eswari (2024),25,1,AI-only,AI-vs-Reader,425,1040,deep learning
28,Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,AI-only,360,146,321,6529,506,6850,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"POAGNet, trained on OHTS and tested on OHTS+SIG",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"POAGNet, trained on OHTS and tested on OHTS+SIG",AI-only,Lin (2022)b,0.7115,0.6705,0.7492,0.9531,0.9479,0.9579,2020-24,very large,mixed,internal,expert_clinical,unclear,Lin (2022)b,26,1,AI-only,AI-vs-Reader,506,6850,deep learning
29,Camacho-Garcia-Forment (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/pdfs/Camacho-Garcia-Forment (2025).pdf,AI-only,47,24,33,238,71,271,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"AI retinIA without optic-disc image-quality assessment, all ground-truth CDR values",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"AI retinIA without optic-disc image-quality assessment, all ground-truth CDR values",AI-only,Camacho-Garcia-Forment (2025),0.6620,0.5462,0.7612,0.8782,0.8339,0.9120,2025+,medium,mixed,internal,expert_clinical,unclear,Camacho-Garcia-Forment (2025),27,1,AI-only,AI-vs-Reader,71,271,deep learning
30,Camacho-Garcia-Forment (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/pdfs/Camacho-Garcia-Forment (2025).pdf,Human-only,23,23,19,180,46,199,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,First-year ophthalmology residents,claude_pdf,North America,external,prospective,yes,screening,n/r,n/r,n/r,fundus,n/r,First-year ophthalmology residents,Human-only,Camacho-Garcia-Forment (2025),0.5000,0.3612,0.6388,0.9045,0.8557,0.9380,2025+,medium,non-Asia,external,expert_clinical,unclear,Camacho-Garcia-Forment (2025),27,2,Human-only,AI-vs-Reader,46,199,human reader
31,Gaddipati (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2021).pdf,04_fulltext/pdfs/Gaddipati (2021).pdf,AI-only,154,16,49,349,170,398,image,fundus,eye/image-level glaucoma diagnosis for private dataset; public dataset labels; ICD-9 CDR rule for CDR-based comparison,Asia,both,retrospective,no,any,any,n/r,n/r,Fefu model (proposed) — Combined test set,claude_opus_v4,Asia,both,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Fefu model (proposed) — Combined test set,AI-only,Gaddipati (2021),0.9059,0.8526,0.9412,0.8769,0.8410,0.9056,2020-24,medium,Asia,n/r,dataset_label,unclear,Gaddipati (2021),28,1,AI-only,AI-vs-Reader,170,398,deep learning
32,Govindharaj (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Govindharaj (2025).pdf,04_fulltext/Govindharaj (2025).pdf,AI-only,158,10,28,454,168,482,image,fundus,ORIGA dataset labels/ground truth; clinical diagnostic reference standard n/r,Asia,internal,retrospective,no,any,any,n/r,n/r,GWOA-UNet++ + CapsNet proposed model,codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,GWOA-UNet++ + CapsNet proposed model,AI-only,Govindharaj (2025),0.9405,0.8939,0.9673,0.9419,0.9173,0.9595,2025+,medium,Asia,internal,dataset_label,unclear,Govindharaj (2025),29,1,AI-only,AI-vs-Reader,168,482,deep learning
33,Sangeethaa (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Sangeethaa (2023).pdf,04_fulltext/pdfs/Sangeethaa (2023).pdf,AI-only,285,81,213,621,366,834,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (REFUGE),claude_pdf,Asia,internal,retrospective,no,confirmed,n/r,n/r,n/r,fundus,n/r,Hybrid PolyNet (REFUGE),AI-only,Sangeethaa (2023),0.7787,0.7334,0.8182,0.7446,0.7139,0.7730,2020-24,large,Asia,internal,expert_clinical,unclear,Sangeethaa (2023),30,1,AI-only,AI-vs-Reader,366,834,deep learning
34,Hassan (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Hassan (2019).pdf,04_fulltext/pdfs/Hassan (2019).pdf,AI-only,146,19,8,47,165,55,image,fundus,ophthalmologist labeling at Samsung Medical Center,Asia,both,retrospective,no,glaucomatous optic neuropathy / glaucoma in fundus images,any,n/r,n/r,"VGG-16-B (Dataset-C, internal testing)",claude_opus_v4,Asia,both,retrospective,no,glaucomatous optic neuropathy / glaucoma in fundus images,n/r,n/r,n/r,fundus,n/r,"VGG-16-B (Dataset-C, internal testing)",AI-only,Hassan (2019),0.8848,0.8272,0.9250,0.8545,0.7384,0.9244,2015-19,medium,Asia,n/r,expert_clinical,unclear,Hassan (2019),31,1,AI-only,AI-vs-Reader,165,55,deep learning
35,Bajwa (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Bajwa (2019).pdf,04_fulltext/Bajwa (2019).pdf,AI-only,73,95,39,443,168,482,image,fundus,ORIGA dataset glaucoma/healthy labels with manual optic disc/cup segmentation and CDR annotations,Asia,internal,retrospective,no,any,any,n/r,n/r,"Proposed DCNN, 10-fold cross-validation, classification threshold",codex_v2,Asia,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"Proposed DCNN, 10-fold cross-validation, classification threshold",AI-only,Bajwa (2019),0.4345,0.3619,0.5101,0.9191,0.8913,0.9402,2015-19,medium,Asia,internal,dataset_label,unclear,Bajwa (2019),32,1,AI-only,AI-vs-Reader,168,482,rule-based (percentile/CDR)
36,Hemelings (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2020).pdf,04_fulltext/Hemelings (2020).pdf,AI-only,1011,42,47,324,1053,371,image,fundus,"Full ophthalmologic examination including OCT (Spectralis) or confocal scanning laser ophthalmoscopy (HRT), Goldmann applanation tonometry, and visual field testing (Humphrey/Octopus); ICD-standard glaucoma diagnosis by glaucoma experts at UZ Leuven",Europe,internal,retrospective,no,any,any,n/r,n/r,"Uncertainty sampling ResNet-50, image level",codex_v2,Europe,internal,retrospective,no,any,n/r,n/r,n/r,fundus,n/r,"Uncertainty sampling ResNet-50, image level",AI-only,Hemelings (2020),0.9601,0.9465,0.9704,0.8733,0.8356,0.9034,2020-24,large,non-Asia,internal,expert_clinical,unclear,Hemelings (2020),33,1,AI-only,AI-vs-Reader,1053,371,deep learning
