Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Chakrabarty (2016),2016,India,Asia,hospital,cross-sectional,314,169,145,,,fundus,Automated CAD system using optic nerve head topographic features with a cascade-forward neural network classifier,"Consensus of 2 independent glaucoma specialists based on clinical examination (slit-lamp, IOP, gonioscopy, visual field, with OCT/HRT when needed)",external,no,"Glaucoma versus normal, with glaucoma suspect and confirmed glaucomatous eyes merged into the glaucoma category for evaluation",53.8
Chang (2023),2023,Taiwan,Asia,hospital,retrospective,430,283,147,,,fundus,GAN (fundus-to-OCT generator) + VGG19 classifier with transfer/incremental learning,Two glaucoma physicians at Chang Gung Memorial Hospital judged the images and labeled them as glaucoma or not.,internal,unclear,any,65.8
Chen (2025),2025,Taiwan,Asia,hospital,retrospective,2634,852,1782,,,fundus,"Stepwise AI pipeline using green-channel preprocessing, CLAHE and unsharp masking, DeepLabV3+ with MobileNet-V2 ROI segmentation, and EfficientNetV2-M glaucoma classifier; reported variants: TVGH-Original, TVGH-Green Channel, TVGH-Preprocessing, TVGH-Segmentation, TVGH-Weighted","Expert consensus based on characteristic ONH changes (elevated CDR, neuroretinal rim thinning/notches) with reproducible visual field defects (Humphrey 24-2 SITA) and RNFL Cirrus HD-OCT for TVGH/CHGH; majority expert opinion for open datasets",both,no,glaucomatous optic neuropathy,32.35
Cho (2024),2024,China,Asia,hospital,retrospective,64,32,32,,,fundus,"Attention mechanism-based multi-input CNN using preprocessed fundus images, ResU-Net retinal vessel extraction, and Hough Circle Transform optic disc extraction",ODIR dataset labels diagnosed by ophthalmologists with trained reader annotations and quality control,internal,no,any,50
Christopher (2020),2020,United States; Japan; Spain,mixed,mixed,mixed,1950,921,1029,subgroup means 51.7-78.7 years; ACRIMA n/r,subgroup means 45.1-68.4; ACRIMA n/r,fundus,"UCSD ResNet50 and UTokyo ResNet34 deep learning classifiers; ImageNet pretrained; original, sequential, and combined training strategies","Expert grader consensus on stereo fundus photographs for DIGS/ADAGES; unanimous agreement of three glaucoma specialists/ophthalmologists reviewing fundus plus OCT imaging for MRCH, Iinan, and Hiroshima; single experienced glaucoma expert fundus-photo review for ACRIMA",both,yes,glaucomatous optic neuropathy,47.2
Thakoor (2021),2021,USA,North America,clinical,cross-sectional,1770,602,1168,GS median 53 +/- 16; DS median 57 +/- 13,,OCT,CNN A (ResNet18 + Random Forest) for RNFL probability maps; CNN B (custom 3-conv-block CNN trained from scratch) and CNN C (ResNet50 + Random Forest) for circumpapillary b-scans,Expert ratings of OCT reports/images and/or visual field information on a 0%-100% glaucoma probability scale; glaucomatous >50%. Main RS included RS1 report-based single expert ratings and RS4 consensus of multiple experts using OCT plus visual field.,external (independent dataset),yes,glaucomatous optic neuropathy,34.0
Noury (2022),2022,USA; Hong Kong; India; Nepal,mixed,hospital,retrospective,3371,2095,1276,"n/r overall; glaucoma cases reported by dataset: training 69.41±14.70, validation 70.09±10.37, Stanford test 69.82±16.15, Hong Kong 65.90±9.30, India 63.84±11.72, Nepal 45.34±17.08","n/r overall; female:male reported as training 55:45, Hong Kong 67:33, India 40:60, Nepal 40:60",OCT,"3D convolutional neural network (DenseNet-like architecture, similar to De Fauw et al.)",Glaucoma specialist/chart-review multimodal diagnosis: glaucomatous disc changes on fundus examination plus localized OCT RNFL/GCIPL defects correlating with Hodapp-Anderson-Parrish visual field defects and IOP-lowering treatment; external datasets were labeled by glaucoma specialists using similar clinical criteria.,both,yes,confirmed,62.15
Chuter (2026),2026,USA,North America,research,retrospective,1098,668,430,60.3,58.8,multimodal,"RETFound; unimodal CFP RETFound, unimodal OCT RETFound, multimodal CFP + OCT RETFound","CFP-based glaucomatous optic neuropathy determined from masked color fundus photograph review by 2 experienced graders, with disagreements resolved by adjudication or consensus; this CFP status alone classified eyes as glaucomatous versus nonglaucomatous.",internal,unclear,glaucomatous optic neuropathy,60.8
Gomez-Valverde (2019),2019,Spain; India,mixed,mixed,cross-sectional,2313,494,1819,,,fundus,"CNNs: Standard CNN, VGG19, ResNet50, GoogLeNet, DENet/DENet Disc, with full-training and transfer-learning/fine-tuning variants; also a VGG19-based image-plus-clinical-data fusion experiment.","Dataset labels/reference standards: RIM-ONE and DRISHTI-GS used the datasets' clinical expert/specialist classifications; ESPERANZA images received double ophthalmologist evaluation, and disagreements were resolved by consensus of two glaucoma experts.",internal,no,any,21.36
Bowd (2023),2023,USA,North America,research,cross-sectional,593,463,130,"67.1 calculated from group means; healthy 52.1, glaucoma 71.3","55.3 calculated from group percentages; healthy 62.1, glaucoma 53.4",OCT,"VGG-16 multimodal CNN combining texture-based en face images, RNFL thickness maps, and SLO/cSLO images","DIGS conventional standard: glaucomatous visual field loss with corresponding optic disc/parapapillary damage on stereophotographs graded by masked trained observers with adjudication; healthy controls required normal IOP, normal optic discs/RNFL, and normal reliable visual fields",internal,yes,POAG,78.1
Elangovan (2022),2022,"Spain | India | China | Singapore | mixed (public databases: DRISHTI-GS1 India, RIM-ONE2 Spain, ORIGA Singapore, ACRIMA Spain, LAG China)",mixed,research,retrospective,23171,11753,11418,,,fundus,En-ConvNet ensemble of pre-trained CNNs with probability averaging and SVM final classifier,"diagnostic labels from public retinal image databases: DRISHTI-GS1, ORIGA, RIM-ONE2, LAG, and ACRIMA",internal,no,glaucomatous optic neuropathy,63.34
Sivakumar (2025),2025,mixed public datasets,mixed,research,retrospective,2874,1120,1754,,,fundus,Swin Transformer + ResNet50 (also ViT+ResNet50 and OWL-ViT+ResNet50); clinical biomarkers via Random Forest fused at feature level,dataset-provided labels (SMDG-19 compiled public datasets; PAPILA clinical labels),internal,no,any,39.0
Eswari (2024),2024,Germany; Japan; n/r,mixed,research,retrospective,1465,296,724,,,fundus,TernausNet + FRCNN; AFRCNN (adaptive gradient optimizer FRCNN); AAASVM (artificial algae algorithm-optimized SVM replacing Softmax),public dataset labels; n/r,both,no,any,29.02
Lin (2022)b,2022,USA; China,mixed,research,retrospective,"37,304 image pairs",3986 images,37236 images,,,fundus,POAGNet (Siamese DenseNet-201),"OHTS Optic Disc Reading Center grading by masked certified readers, with senior adjudication for disagreement; SIG binary glaucoma labels based on retinal nerve fiber layer defect, rim loss, or optic disc hemorrhage",both,no,POAG,6.5%
Camacho-Garcia-Forment (2025),2025,Mexico,North America,hospital,prospective,245,46,199,59.1,66.0,fundus,retinIA v3.3.1 (Inception V3 multi-output classifier + U-Net optic disc/cup segmentation for CDR),Average CDR annotated by three ophthalmologists on LinkedAI platform; glaucoma suspect defined as CDR ≥ 0.6 or interocular CDR difference > 0.2 (Harizman criteria),external,yes,glaucomatous optic neuropathy,18.8
Fu (2018),2018,Singapore,Asia,population-based,cross-sectional,7459,159,7300,,,fundus,Disc-aware Ensemble Network (DENet),Dataset glaucoma labels from SCES and SINDI; diagnostic criteria not reported,external,yes,any,2.13
Gaddipati (2021),2022,India,Asia,research,retrospective,2168,170,398,,,fundus,Fefu model (Fundus-to-OCT feature space mapping; Capsule network + CGAN + fine-tuned VGG-19),eye/image-level glaucoma diagnosis for private dataset; public dataset labels; ICD-9 CDR rule for CDR-based comparison,both,no,any,42.76
Sharma (2025),2025,Japan,Asia,mixed,retrospective,8370,4185,4185,Miyagi cohort: normal 54.08 +/- 15.06; glaucoma 61.87 +/- 10.36; other cohorts n/r,Miyagi cohort: normal 44.4; glaucoma 47.8; other cohorts n/r,fundus,AI-GS network; MTL_LWBNA-unet; cupping parameter FFCN; DH and RNFLD LWBNA classifiers; DH mask-assisted classifier,"Clinical diagnosis by ophthalmologists using OCT, fundus photography, visual field, and IOP measurements for the Tohoku University Hospital dataset; screening ophthalmologist labeling for the Miyagi dataset.",both,yes,any,50.0
Garcia (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13,circ-DB-1: 57.47; circ-DB-2: 56.78; vol-DB-3: 55.50,OCT,RAGNet-VGG16 + LSTM + Sequential-Weighting Module (SWM),"Expert ophthalmologist diagnosis using European guideline-based glaucoma assessment including IOP, gonioscopy, optic nerve head assessment, visual field testing, OCT RNFL/GCIPL assessment; glaucoma visual field defects considered sufficient when repeatable",both,no,any,43.25
Govindharaj (2025),2025,India,Asia,research,retrospective,650,168,482,,,fundus,Grey Wolf Optimization optimized U-Net++ segmentation with Capsule Network classifier (GWOA-UNet++ + CapsNet),ORIGA dataset labels/ground truth; clinical diagnostic reference standard n/r,internal,no,any,25.8
Guo (2022),2022,China; Singapore; India; Spain; multi-source RIGA,mixed,research,retrospective,9043,4211,4071,,,fundus,"DSLN dual-tutor student learning network (CycleGAN inter-image tutor, EMA intra-image tutor, modified ResNet50 backbone with Faster R-CNN optic disc localization)",Public dataset glaucoma labels/gold standards from ophthalmologists or qualified glaucoma experts,external,no,any,50.85 among labeled normal/glaucoma images; RIGA unlabeled excluded
Sangeethaa (2023),2023,India,Asia,mixed,retrospective,2937,897,2040,,,fundus,U-Net segmentation with proposed hybrid PolyNet classifier,Ophthalmologist labels for normal/glaucomatous images and glaucoma severity; manual OD/OC masks by ophthalmologists,internal (same-source split),no,any,30.5
Haider (2022),2022,mixed,Asia,research,retrospective,,,,,,fundus,SLSR-Net (separable linked segmentation residual network); SLS-Net; ResNet-18; ResNet-50,"expert annotations from public dataset ground truth (Drishti-GS, REFUGE, Rim-One-r3, Drions-DB)",both,no,screening,
Juneja (2022),2022,India,Asia,research,retrospective,1110,847,263,,,OCT,"Fused framework using k-NN, SVM, Random Forest, 3D-CNN, major voting and weighted decision fusion",public OCT dataset labels for normal vs POAG; specific clinical reference standard n/r,internal,no,POAG,76.3
Hassan (2019),2019,South Korea,Asia,hospital,retrospective,220,165,55,,,fundus,"VGG-16, ResNet-152, and Inception-v4 CNN models; ResNet-152-M was the best-performing model",ophthalmologist labeling at Samsung Medical Center,both,no,glaucomatous optic neuropathy / glaucoma in fundus images,75.0
Bajwa (2019),2019,Singapore,Asia,research,retrospective,650,168,482,,,fundus,Two-stage faster RCNN (optic disc localization) + Deep CNN (4 conv + 3 FC layers) for glaucoma classification,ORIGA dataset glaucoma/healthy labels with manual optic disc/cup segmentation and CDR annotations,internal,no,any,25.8
Hemelings (2020),2020,Belgium,Europe,mixed,retrospective,1775 patients / 7038 images,254,491 individuals / 1782 images before QC; test set 102 patients,,,fundus,ResNet-50 CNN with transfer learning and active learning (uncertainty sampling),"Full ophthalmologic examination including OCT (Spectralis) or confocal scanning laser ophthalmoscopy (HRT), Goldmann applanation tonometry, and visual field testing (Humphrey/Octopus); ICD-standard glaucoma diagnosis by glaucoma experts at UZ Leuven",internal,no,any,71.75%
Pascal (2022),2022,France,Europe,research,retrospective,1200,120,1080,,,fundus,MTL-IO multi-task U-Net / VGG-16-based deep learning model,"REFUGE Challenge expert annotations for glaucoma diagnosis, optic disc/cup segmentation, and fovea localization",internal,no,any,10
Hung (2022),2022,Taiwan,Asia,hospital,cross-sectional retrospective,421,131,290,Healthy 48.33; GON binary 61.22; NTG 60.1; HTG 61.87,Healthy 50.9%; NTG 50.0%; HTG 44.2%,fundus,"CNN with EfficientNet-b0 pre-trained on ImageNet, trained using the AutoDL API of MAIA software","Anderson's visual field criteria (cupping, RNFL defect on colour/red-free fundus or OCT, and glaucomatous VF defect)",internal,yes,glaucomatous optic neuropathy,31.1
Hwang (2023),2023,"mixed (India, Spain, Singapore, China)",mixed,research,retrospective,3142,988,2154,,,fundus,Vision Transformer (ViT) and ResNet-50 CNN,"Dataset-provided ground truth labels for glaucomatous optic neuropathy/control; expert labeling/clinical annotations for most datasets, ORIGA algorithm-based, sjchoi86-HRF unknown",internal,no,glaucomatous optic neuropathy,31.4
Singh (2023),2023,India,Asia,research,retrospective,1850,,,,,fundus,"Handcrafted structural and non-structural fundus features with PSO, ABC, BCS, or PSO-ABC feature selection and RF/SVM/ensemble classifiers",ORIGA and REFUGE benchmark dataset labels; exact diagnostic adjudication not reported,internal,no,any,
Akter (2022),2022,Australia,Oceania,research,retrospective,255,125,130,normal 55.11; glaucoma 55.42,normal 51%; glaucoma 31%; overall 43.2%,OCT,"Custom deep learning (4-layer sequential NN on 4 features: MD, PSD, RNFL, CDR); Logistic regression; Proposed CNN (24-layer) on segmented ONH cup B-scans; ResNet18; VGG16","clinical glaucoma diagnosis/stage labeling according to Mills et al. criteria using standard clinical tests including tonometry, fundoscopy, perimetry/visual fields, pachymetry and OCT scans",internal,no,POAG,49.0
Al-Aswad (2019),2019,Singapore,Asia,research,retrospective,100,50,50,58,,fundus,Pegasus (Visulytix Ltd; ResNet-50 CNN optic disc abnormality classifier),"Original SiMES clinical diagnosis using Goldmann applanation tonometry, visual field tests, slit-lamp biomicroscopy, optic disc imaging, and digital lens photography; glaucoma defined as VCDR >=0.7 with associated functional visual loss on perimetry or VCDR >=0.6 with a disc notch",external,yes,glaucomatous optic neuropathy,50
Jan (2024),2024,UK,Europe,research,retrospective,900,294,606,,,fundus,Convolutional neural network based on Inception-v3 architecture,"Consensus grade by two Australian board-certified glaucoma specialists, with discrepancies adjudicated by a third glaucoma specialist.",external,no,glaucomatous optic neuropathy,32.7
Jan (2025),2025,Australia,Oceania,screening,prospective,277,15,257,64.8,44.4,fundus,AI Workstation using automated non-mydriatic fundus photography and Inception-v3 deep learning glaucoma algorithm,Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication,external,yes,glaucomatous optic neuropathy,7.2
Sun (2021),2021,Japan,Asia,hospital,retrospective,954,798,156,,,OCT,"VGG-16 CNN with hierarchical classification and hierarchy transfer learning (HC & HTL), using a stacking ensemble across projection, en face, disc H B-scan, and disc V B-scan OCT inputs","Labels by two glaucoma specialists, with discordant cases excluded; glaucomatous eyes were subclassified using Nicolela optic disc morphology classification",internal,yes,glaucomatous optic neuropathy,83.6
Hernandez (2026),2026,Spain,Europe,hospital,retrospective,739,,,,,fundus,ViT-B/16; SPiT; SpxViT_fix; SpxViT_var,"Ophthalmology specialist diagnosis using clinical criteria, primarily cup-to-disc ratio >0.7 plus findings including elevated intraocular pressure, visual field defects, and structural optic nerve head abnormalities; disc/cup segmentations by glaucoma specialists for explainability analysis",internal,no,screening,49.3
Kanwar (2026),2026,India,Asia,research,retrospective,212,80,132,,,fundus,Refined blur map with Energy Mask R-CNN optic disc/cup segmentation and cyclic code-based LSTM classification,public dataset labels/expert optic disc and cup annotations; exact clinical diagnostic reference standard n/r,both,no,any,37.7
Sanghavi (2024),2024,mixed,mixed,research,retrospective,3115,1151,1964,,,fundus,"SLIC + normalized graph cut optic disc segmentation with 13-layer CNN classifier; comparison models VGG19, InceptionV3, ResNet50V2",public dataset ground-truth labels for normal vs glaucomatous images,internal,no,any,36.95
Zheng (2020),2019,China,Asia,hospital,prospective,102,50,52,"Testing: normal 53.57, glaucoma 50.70; training: normal 41.84, glaucoma 49.54",Testing: 39.2%; training: 45.7%,OCT,Inception-V3 CNN transfer learning model,"Clinical diagnosis: glaucomatous optic nerve head appearance on color fundus photographs (cupping, peripapillary atrophy, neuroretinal rim notching, RNFL wedge defects, disc hemorrhage), regardless of presence or absence of glaucomatous visual field defects",internal,no,glaucomatous optic neuropathy,49.0
Kim (2020),2020,South Korea,Asia,hospital,retrospective,2602,2058,544,58.0,,OCT,VGG-19 CNN deep learning system using SD-OCT RNFL/GCIPL thickness and deviation maps; ResNet-34 was only a comparator reported for RNFL thickness-map performance.,Consensus diagnosis by two glaucoma specialists based on optic disc and RNFL photographs and visual fields.,both,no,POAG,79.1
Ko (2022),2022,Taiwan,mixed,hospital,retrospective,1658,827,831,58.00,,fundus,"EfficientNet B3 CNN (TVGH core model; DRISHTI-GS1-, RIM-ONE r2-, CHGH-specific fine-tuned models; integrated model)","TVGH POAG was diagnosed from characteristic optic nerve head changes plus reproducible visual field defects with normal open angle on gonioscopy, with Humphrey 24-2 visual field testing and Cirrus HD-OCT RNFL assessment; ground truth was majority expert opinion for DRISHTI-GS1 and RIM-ONE r2, and consensus of two experts after detailed clinical review for TVGH and CHGH.",both,no,glaucomatous optic neuropathy,49.9
Kulkarni (2025),2025,India,Asia,research,retrospective,20000,,,,,fundus,"OGFA+CNN (Optimized Graph Filter Augmentation plus CNN/HCNN); comparator CNN, LSTM, Ensemble CNN, OGFA, and Proposed+OGFA models",dataset ground-truth labels for 11 fundus/DR disease classes; glaucoma-specific clinical reference standard n/r,internal,no,other,
Lau (2025),2025,USA,North America,mixed,retrospective,629,233,396,Clear G 59.8; Pattern ON-G 68.5; H-test 46.2,Clear G 54; Pattern ON-G 57; H-test 57,OCT,ImageNet-pretrained ResNet-50 DLM fine-tuned on wide-field OCT Hood reports; DLM Index was averaged over five model runs,"OCT reading center (Hood report) labels by OCT experts for Pattern ON-G; clinical diagnosis by clinicians using OCT, 24-2 visual fields, fundus photos, and clinical exam for Clear-G; commercial normative RDB (visual fields, fundus photos, history, clinical exam) for H-test",both,yes,glaucomatous optic neuropathy,37.0
El-Nimri (2023),2023,USA,North America,research,cross-sectional,476,382,94,70.8 (calculated from stratified participant means),56.7,OCT,Spectralis OCT (Heidelberg) Glaucoma Module Premium Edition reference-database percentile criteria for RNFLT and BMO-MRW,"Glaucoma: glaucomatous visual field damage on at least 2 consecutive reliable abnormal Humphrey 24-2 VF tests with PSD outside 95% normal limits or GHT outside 99% normal limit. Controls: normal-appearing optic discs/rims, IOP <=21 mm Hg, no elevated IOP history, and at least 2 reliable normal 24-2 VF results.",external,yes,glaucomatous optic neuropathy,80.3
Qiu (2025),2025,China,Asia,hospital,retrospective,1054,509,545,,,multimodal,"Multidimensional imaging CNN ensemble (Swin_base_patch4_window7_224_in22k, Inception ResNet V2, Inception V3, Xception) combining fundus photographs, RNFL/GCIPL deviation maps and RNFL/GCIPL thickness maps with back-end mean fusion","POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history, requiring glaucomatous optic nerve damage and reproducible visual field abnormalities with open angles and no alternative explanation",internal,no,POAG,48.3
Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,61,49,60.8,58.2,fundus,"ResNet (18-layer deep residual learning); comparators: VGG16-like CNN, Support Vector Machine, Random Forest",Independent diagnosis by three glaucoma specialists using fundus photographs and OCT images; cases excluded if specialists did not agree,both,yes,Glaucoma screening from fundus photographs,55.5
Rogers (2019),2019,Netherlands,Europe,hospital,retrospective,94,48,46,,,fundus,"Pegasus v1.0, Visulytix Ltd.; CNN-based system including ResNet-50 classifier","Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects, with clinical information including intraocular pressure and family history; healthy controls and ocular hypertension classified as non-glaucoma",external,yes,glaucomatous optic neuropathy,51.1
Wang (2020),2020,"Hong Kong, China; USA",mixed,hospital,retrospective,6108,3732,2376,,,OCT,2D-ResNet-SEMT semi-supervised multi-task learning network; comparator CNN/ResNet models,consensus diagnosis by two glaucoma specialists (>10y experience) using VF test results and clinical records; senior expert adjudicated disagreements,both,no,glaucomatous optic neuropathy,61.1
Li (2021),2021,China and Japan,Asia,mixed,retrospective,10590,4269,17910,55.8 (weighted from reported dataset means),48.5,fundus,"Deep learning system using InceptionResNetV2 CNN, ImageNet-pretrained, TensorFlow","Consensus label by three board-certified glaucoma specialists (5/7/8 years experience); disputed images arbitrated by a senior glaucoma specialist with >20 years experience. Referable GON defined by VCDR >=0.7, rim width <=0.1 disc diameter, RNFL defect/localised notches, or disc splinter haemorrhage",both,yes,glaucomatous optic neuropathy,19%
Li (2022),2022,China,Asia,hospital,prospective,1585,368,1217,53.19,43.22,fundus,Automated fundus screening algorithm / automated fundus screening software,"Two certified ophthalmologists (6 and 10 years) independently grading fundus images, arbitrated by senior ophthalmologist with 19 years when disagreement",external (independent dataset),yes,glaucoma suspect (GCS),23.2
