study_id,title,patient_selection_judgment,patient_selection_support,index_test_judgment,index_test_support,reference_standard_judgment,reference_standard_support,flow_timing_judgment,flow_timing_support,analysis_data_handling_judgment,analysis_data_handling_support,applicability_patients,applicability_index_test,applicability_reference_standard,overall_bias,overall_applicability,reviewer,assessment_date,notes
ST053,Leveraging Mask Autoencoder and Crossover Binary Sand Cat Algorithm for Early Detection of Glaucoma,High,"Public Kaggle datasets (RDC, SMDG-19, AIROGS-light). No demographics. No enrollment criteria.",High,No predefined threshold. Results interpreted with knowledge of labels during development.,High,Kaggle repository labels. No detail on ground truth establishment. Unclear if expert grading used.,High,No patient flow described. Unclear train/test overlap. No time interval.,High,Best dataset metrics only. No cross-validation. No CIs.,High,Low,High,High,High,N/A - excluded (final review),2026-04-15,MA-CBSC on Kaggle datasets. Acc 98.3%. India. All QUADAS domains High risk.
ST038,Equitable artificial intelligence for glaucoma screening with fair identity normalization,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,PDF checked 2026-04-15: fairness-focused RNFLT/3D OCT B-scan study; AUC/AUPRC-centered report without extractable 2x2.
ST009,A novel eye disease segmentation and classification model using advanced deep learning network,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,PDF checked 2026-04-15: broad eye-disease segmentation/classification paper using dataset labels; not an eligible glaucoma diagnostic accuracy study.
ST007,A deep learning model integrating domain-specific features for enhanced glaucoma diagnosis,High,Highly selected: glaucoma vs physiologic large cups ONLY (not vs normal). n=126 images. Single center Beijing Tongren.,Low,Deep learning model with domain features (DLMDF). Automated fundus image classification.,Unclear,Single ophthalmologist labels. No inter-observer agreement reported. Diagnostic criteria for glaucoma vs large cup not detailed.,Low,All subjects received both fundus imaging and clinical assessment.,High,Internal validation. Novel domain feature integration but limited external validation.,High,Low,High,High,High,N/A - excluded (no 2x2),2026-04-15,"PDF checked 2026-04-15: glaucoma vs physiologic large cups only; accuracy/precision/recall reported, but no extractable 2x2."
ST036,Dual-stage deep-learning method for glaucoma severity classification basedon multiscale feature fusion,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST034,Diagnosis of early glaucoma likely combined with high myopia by integrating OCT thickness map and standard automated and Pulsar perimetries,High,Hospital-based patients with high myopia + early glaucoma. Highly selected population.,Low,Integrated OCT thickness map and automated perimetry (standard + Pulsar). Automated classification.,Low,Clinical diagnosis combining OCT and VF assessment by specialists.,Low,All subjects received both imaging modalities and clinical assessment.,High,Niche population (high myopia + glaucoma). Limited sample likely. Internal validation.,High,Low,Low,High,High,N/A - excluded (no 2x2),2026-04-15,PDF checked 2026-04-15: OMEGA-Net integrates OCT thickness maps with standard automated and Pulsar perimetry; mixed modality and no separable OCT-only extractable 2x2.
ST010,A three-tier AI solution for equitable glaucoma diagnosis across Chinas hierarchical healthcare system,Unclear,"Large EMR cohort (27,255 initial -> 3545 after exclusions). Not consecutive screening. Extensive exclusions for comorbidities.",Low,"Multi-Glau three-tier AI system: screening (no imaging), pre-diagnosis (incomplete data), definitive (OCT). Automated.",Low,Clinical diagnosis at tertiary hospitals with comprehensive evaluation. Glaucoma severity grading.,Unclear,Retrospective EMR. High exclusion rate. Most recent visit retained.,Low,"Multicenter external validation. AUC 0.9254 screening, 0.8650 pre-diagnosis, 0.9516 definitive. Handles missing data.",Low,Low,Low,Low,Low,N/A - excluded (scope),2026-04-15,Exclude: Screening module uses clinical data only (no imaging). Pre-diagnosis/definitive modules use imaging but not separable for meta-analysis.
ST004,A Deep Learning Model for Glaucoma Detection Outperforms Standard Metrics,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST006,A comparison of foundation and supervised learning models for automated detection of referable glaucoma from fundus photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: abstract only.
ST015,Advancements in Glaucoma Detection through Fine-Tuning of Vision Language Models,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,"Excluded: abstract only, no full-text available."
ST025,Artificial Intelligence Assisted Diagnosis for Glaucomatous and Non-Glaucomatous Optic Neuropathy,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,"Excluded: abstract only, no full-text available."
ST045,Glaucoma Detection and Feature Identification via GPT-4V Fundus Image Analysis,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,"PDF checked 2026-04-15: GPT-4V benchmark on ACRIMA, ORIGA, and RIM-ONE versus dataset/expert labels; excluded for non-target reference standard."
ST046,Glaucoma Screening with Optical Coherence Tomography-Based Risk Score and Hood Report in Primary Eyecare Population,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,"Excluded: abstract only, no full-text available."
ST063,Utility of a Retinal Image Foundation Model for Improving the Detection of Glaucomatous Visual Field Defects using Optical Coherence Tomography,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,"Excluded: abstract only, no full-text available."
ST024,Are Macula or Optic Nerve Head Structures Better at Diagnosing Glaucoma? An Answer Using Artificial Intelligence and Wide-Field Optical Coherence Tomography,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,PDF checked 2026-04-15: wide-field OCT study reports AUCs only via cross-validation; no fixed-threshold 2x2 extractable.
ST103,Automated ONH Hemoglobin Measurements vs General Ophthalmologists,High,Case-control: 40 glaucoma vs 40 large physiological cupping (LPC). Highly selected population comparing only difficult diagnostic scenarios. Small sample.,Low,Laguna ONhE software (automated ONH hemoglobin measurement from color retinography). Fully automated GDF index. Also compared with 20 general ophthalmologists.,Low,Glaucoma specialist diagnosis with comprehensive exam including VF (Humphrey) and OCT. Standard glaucoma diagnostic workup.,Low,All 80 patients evaluated by both automated software and ophthalmologists. Same image set used for all comparisons.,Low,"Clear study design with pre-specified 4 groups (CR only, CR+VF, CR+OCT, CR+VF+OCT). Kappa agreement reported. All patients accounted for.",High,Low,Low,High,High,N/A - excluded (final review),2026-04-15,Laguna ONhE vs general ophthalmologists for glaucoma vs LPC. Brazil multi-center. n=80. AI sens 90-100% vs ophth 59-86.5%.
ST029,Comparative Evaluation of Fundus Image Interpretation Accuracy in Glaucoma Screening Among Different Physician Groups,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST033,Development of a deep learning system to detect glaucoma using macular vertical optical coherence tomography scans of myopic eyes,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST042,External validation of a deep learning detection system for glaucomatous optic neuropathy: a real-world multicentre study,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST019,Analysis of the Asymmetry between Both Eyes in Early Diagnosis of Glaucoma Combining Features Extracted from Retinal Images and OCTs into Classification Models,High,"Hospital-based sample from single center (Hospital General Universitario Reina Sofia, Murcia). 208 patients (161 healthy, 47 glaucoma). Case-control design.",Low,"Automated ML classifiers (decision trees, SVM) using asymmetry features from fundus images and OCT. No human interpretation in classification.",Low,Ophthalmologist diagnosis as reference standard. Clinical examination-based glaucoma diagnosis.,Low,All patients received both retinal imaging/OCT and clinical assessment. Cross-sectional design.,Low,"Asymmetry features between both eyes clearly defined. Multiple ML models compared. Performance metrics well-reported (sens 80.9%, spec 88.2% for OCT).",High,Low,Low,High,High,N/A - excluded (final review),2026-04-15,"Asymmetry-based ML classifiers. OCT best: sens 80.9%, spec 88.2%. Spain, single center. n=208."
ST008,A fast and fully automated system for glaucoma detection using color fundus photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST020,Analysis of volumetric 3D reconstruction of lamina cribrosa images from swept-source optical coherence tomography in glaucomatous and healthy subjects,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST051,Glaucoma diagnosis using multi‑feature analysis and a deep learning technique,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST023,Application of a deep learning system in glaucoma screening and further classification with colour fundus photographs: a case control study,High,"Case-control from tertiary referral hospital. Only 222 patients. Pre-perimetric glaucoma excluded. Significant age difference (48 vs 61 years, p<0.001).",Low,Fully automated EfficientNet-b0 CNN. Standardized image preprocessing. No human interpretation in classification.,Low,"Clinical diagnosis at tertiary hospital including IOP, optic nerve, RNFL, and VF assessment. Standard glaucoma diagnostic criteria.",Low,All enrolled patients received both fundus imaging and clinical assessment. No differential verification.,High,Multiple images per eye (~4.4 images/eye) with unclear eye-level leakage prevention. Best model chosen by F1 from 5-fold CV - potential optimistic bias. Small test set (70 eyes).,High,Low,Low,High,High,N/A - excluded (final review),2026-04-15,"EfficientNet-b0. AUC=0.98 eye-based. Taiwan, single center, 222 patients. HTG/NTG subclassification attempted."
ST058,PaPILa: Dataset with fundus images and clinical data of both eyes of the same patient for glaucoma assessment,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST059,Performance evaluation of various deep learning based models for effective glaucoma evaluation using optical coherence tomography images,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST056,Multimodal Machine Learning Using Visual Fields and Peripapillary Circular OCT Scans in Detection of Glaucomatous OpticNeuropathy,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST048,Glaucoma detection in Latino population through OCT’s RNFL thickness map using transfer learning,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST017,An Artificial Intelligence-Based Smart System for Early Glaucoma Recognition Using OCT Images,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST018,An enhanced deep image model for glaucoma diagnosis using feature-based detection in retinal fundus,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST021,Anterior chamber angle classification in anterior segment optical coherence tomography images using hybrid attention based pyramidal convolutional network,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST076,Anterior chamber angle classification in AS-OCT using hybrid attention CNN,Unclear,2636 ACA images from Zhongshan Ophthalmic Center (only public ACG dataset). Selection criteria for this dataset not fully described in paper.,Low,Hybrid attention-based pyramidal convolutional network for AS-OCT classification. Fully automated 3-class classification (closed/narrowed/open angle).,High,"Reference standard is ophthalmologist annotation of AS-OCT images only. No independent clinical verification (gonioscopy, IOP, VF testing). Tri-class labels added post-hoc by separate ophthalmologists. Inter-observer agreement not reported.",Low,All images in the dataset received automated classification and had reference labels. Standard train/test split.,High,Data augmentation only for minority classes. No external validation. Severe class imbalance (1536 open vs 146 narrowed). Image-level analysis without patient-level accounting.,High,Low,High,High,High,N/A - excluded (scope),2026-04-15,Exclude: AS-OCT angle classification. Not standard posterior OCT for glaucoma detection.
ST062,The appropriateness of digital diabetic retinopathy screening images for a computer-aided glaucoma screening system,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST011,AGE challenge: Angle Closure Glaucoma Evaluation in Anterior Segment Optical Coherence Tomography,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST043,GLAUCOMA DETECTION FROM RAW CIRCUMPAPILLARY OCT IMAGES USING FULLY CONVOLUTIONAL NEURAL NETWORKS,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST013,Accurate prediction of glaucoma from colour fundus images with a convolutional neural network that relies on active and transfer learning,High,"Class imbalance >70% glaucomatous images, far from real-life prevalence. Hospital glaucoma clinic predominant source. Intermediate/late stage overrepresented. 16.5% images excluded for quality.",Low,Fully automated ResNet-50 CNN. Patient-level split ensures no data leakage. Active learning and test-time augmentation clearly described.,Low,"Comprehensive clinical exam including tonometry, OCT/HRT, VF at specialized glaucoma clinic. Screening images independently assessed by 2 glaucoma experts.",Low,Retrospective - all patients received both fundus imaging and clinical assessment. Patient-level allocation to train/val/test sets.,Low,Patient-based splitting prevents leakage. Test set fully independent. Active learning subset selection clearly described. 16.5% exclusion transparent.,High,Low,Low,High,High,N/A - excluded (final review),2026-04-15,"ResNet-50 with active learning. AUC=0.995 patient-level. Mainly Caucasian, single-vendor camera, Belgium. 1775 patients."
ST002,A 3D Deep Learning System for Detecting Referable Glaucoma Using Full OCT Macular Cube Scans,High,"38% of eyes excluded (comorbid retinal/optic nerve pathologies). Case-control enrichment. External validation on 2 sets (HK AUC 0.78, India AUC 0.95).",Low,Fully 3D CNN on OCT macular cubes. Automated with layer segmentation homogenization. No human interpretation.,Low,"Referable glaucoma based on qualitative fundus photos, VFs, OCT reports, clinical exams including IOP and treatment history.",Low,All eyes received both OCT and clinical assessment. Two external validation sets used.,Low,"External validation on 2 independent datasets. AUROC 0.88 development, tested on separate cohorts.",Low,Low,Low,Low,Low,N/A - excluded (no 2x2),2026-04-15,"3D CNN on OCT macular cubes. AUROC 0.88 dev, 0.78 HK, 0.95 India. Stanford+HK+India. Large exclusion rate."
ST041,"Evaluation of deep convolutional neural networks for glaucoma 
detection",TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST039,Evaluation of a Deep Learning System For Identifying Glaucomatous Optic Neuropathy Based on Color Fundus Photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST032,Deep learning-based automated detection of glaucomatous optic neuropathy on color fundus photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST040,Evaluation of an AI system for the automated detection of glaucoma from stereoscopic optic disc photographs: the European Optic Disc Assessment Study,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST012,Accuracy of computer-assisted vertical cup-to-disk ratio grading for glaucoma screening,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST005,A Deep Learning-Based Algorithm Identifies Glaucomatous Discs Using Monoscopic Fundus Photographs,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST087,Automated Detection of Retinal Nerve Fiber Layer by Texture-Based Analysis,High,"Very small dataset: 40 test images, 160 training sub-images. Selection criteria for images not described. Hospital-based.",Low,Automated RNFL detection using texture-based co-occurrence matrix features and backpropagation neural network. Fully automated pipeline.,Unclear,Reference standard for RNFL loss labeling not clearly described. Appears to be expert annotation of fundus image sub-regions.,Unclear,RNFL detection task rather than patient-level glaucoma diagnosis. Flow details for image acquisition not described.,High,"Very small sample (40 test images). Sub-image level analysis rather than patient/eye level. Training data 160 sub-images (80 normal, 80 RNFL loss).",High,Low,High,High,High,N/A - excluded (scope),2026-04-15,"Exclude: RNFL texture detection task (sub-image level), not patient/eye-level glaucoma classification."
ST102,Automated imaging technologies for diagnosis of glaucoma: GATE study,Low,Prospective consecutive referrals from community optometrists to hospital eye services; within-patient comparative design reduces selection bias.,Low,"Fully automated algorithms (HRT-GPS, HRT-MRA, GDx, OCT); no human interpretation bias. Index test conducted independently of reference standard.",Low,Clinical examination by consultant ophthalmologist with glaucoma expertise including VF testing and IOP measurement. Comprehensive gold standard.,Low,Within-patient comparative design; all 943 patients received both index tests and reference standard during same visit.,Low,Pre-specified analysis plan. All patients accounted for. NIHR HTA-funded study with prospective protocol.,Low,Low,Low,Low,Low,N/A - excluded (final review),2026-04-15,GATE study; NIHR HTA-funded prospective multi-center UK study. n=943. Some fields from abstract only - full text not locally synced.
ST028,"Automated imaging technologies for the diagnosis of glaucoma: a comparative diagnostic study for the evaluation of the diagnostic accuracy, performance as triage tests and cost-effectiveness (GATE stu",Low,Prospective consecutive referrals from community optometrists to hospital eye services; within-patient comparative design reduces selection bias.,Low,"Fully automated algorithms (HRT-GPS, HRT-MRA, GDx, OCT); no human interpretation bias. Index test conducted independently of reference standard.",Low,Clinical examination by consultant ophthalmologist with glaucoma expertise including VF testing and IOP measurement. Comprehensive gold standard.,Low,Within-patient comparative design; all 943 patients received both index tests and reference standard during same visit.,Low,Pre-specified analysis plan. All patients accounted for. NIHR HTA-funded study with prospective protocol.,Low,Low,Low,Low,Low,AI-draft (Claude),2026-04-15,GATE study; NIHR HTA-funded prospective multi-center UK study. n=943. Some fields from abstract only - full text not locally synced.
ST026,Artificial Neural Network Approach for Differentiating Open-Angle Glaucoma From Glaucoma Suspect Without a Visual Field Test,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST096,Automated analysis of HRT optic disc images by Glaucoma Probability Score,High,"Case-control design (121 glaucoma, 95 controls). Significant age difference between groups (median 70.2 vs 59.7 years). Single hospital clinic selection.",Low,GPS and MRA are fully automated algorithms embedded in HRT device; no human interpretation bias.,Unclear,Reference standard not explicitly described in extracted text. Likely clinical diagnosis with VF. Blinding status unknown.,Unclear,GPS failed classification in 7% of glaucoma and 11% of controls - these may have been excluded. Interval not specified.,High,GPS failures excluded from analysis (7-11%). Strong disc-size dependency (~30% GPS variance from disc area). Large discs produce false positives.,High,Low,Unclear,High,High,N/A - excluded (scope),2026-04-15,Exclude: HRT device only (not OCT/fundus). Confocal scanning laser outside scope.
ST061,The ability of the GDx nerve fibre analyser neural network to diagnose glaucoma,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,Excluded: no full-text PDF available.
ST067,The ability of the GDx nerve fibre analyser neural network to diagnose glaucoma,High,"Case-control design: 101 normals, 102 OHT, 105 NPG from Moorfields Eye Hospital glaucoma clinic. Hospital-based, not representative of screening population.",Low,GDx neural network is fully automated device-embedded algorithm. Back-propagation network with 128 input neurons. No human interpretation required.,Unclear,"Groups defined by clinical diagnosis (normal controls, OHT, NPG) but exact criteria for classification not fully detailed in extractable text.",Low,All subjects in each group received GDx scanning. Cross-sectional design with concurrent assessment.,Low,Clear group definitions. GDx number compared across groups with appropriate statistical tests. Correlation with RNFL thickness and VF MD reported.,High,Low,Unclear,High,High,N/A - excluded (scope),2026-04-15,Exclude: GDx SLP device (not OCT/fundus). Scanning laser polarimetry outside scope.
ST097,Automated analysis of normal and glaucomatous optic nerve head topography images,High,Case-control: 100 normal volunteers (33% with family history of glaucoma) and 100 glaucoma patients from one clinician's files. 8-year age gap. Not representative of screening population.,Low,Fully automated ONH topography analysis using 2D surface model with 10 free parameters. No manual disc outlining required (key innovation). Least-squares fitting.,Low,Glaucomatous visual field damage confirmed. Normal volunteers presumably had normal VF. HRT imaging used for topographic analysis.,Low,All 200 subjects received HRT imaging and VF assessment. 87% confidently classified with P(G)<0.3 or P(G)>0.7.,Unclear,Leave-one-out cross-validation (accuracy dropped 89% to 86%). No truly external validation. Parameter selection and threshold development used same dataset. 33% of normals had family history of glaucoma.,High,Low,Low,High,High,N/A - excluded (scope),2026-04-15,Exclude: HRT/SLO device only (not OCT/fundus). Confocal scanning laser outside scope.
ST095,Automated algorithms combining structure and function outperform general ophthalmologists,TBD,,TBD,,TBD,,TBD,,TBD,,TBD,TBD,TBD,TBD,TBD,N/A - excluded,2026-04-15,PDF reviewed 2026-04-15: structure-function glaucoma algorithm combining OCT and SAP. Excluded because the represented index test is mixed modality and no clean eligible OCT-only row is retained in the workbook.
ST035,Diagnostic Accuracy of 3D Deep Learning Classifiers for Glaucoma Detection: A Comparison of Cross-Domain and Device-Specific Models,Low,Multi-site dataset for training and external validation. Cross-domain and device-specific models tested.,Low,3D deep learning classifiers on OCT volumes. Automated. Multiple model architectures compared.,Low,Clinical diagnosis at participating sites with comprehensive evaluation.,Low,All eyes received both 3D OCT and clinical assessment. Cross-domain validation performed.,Low,Cross-domain and device-specific models compared. External validation across different OCT devices.,Low,Low,Low,Low,Low,N/A - excluded (no 2x2),2026-04-16,3D DL classifiers with cross-domain + device-specific validation. Multi-site. TVST 2025. Excluded on 2026-04-16: No extractable 2x2 confusion matrix from PDF; AUROC/accuracy/precision reported without raw TP/FN/TN/FP.
