Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Gonzalez-Hernandez (2021),2021,Spain,Europe,hospital,cross-sectional,810,333,477,n/r,57.7,fundus,Laguna ONhE (ResNet50-based deep learning classifier),"Clinical diagnosis: glaucomatous visual field loss on standard automated perimetry (PSD or MD <5%) plus glaucomatous neuropathy (Laguna ONhE GDF or OCT-rim area <5%); suspects defined by IOP >21 mmHg, family history, dubious optic disc, or borderline visual fields",internal,yes,POAG,41.1
Singh (2021),2021,n/r,n/r,research,retrospective,140,70,70,n/r,n/r,fundus,"ANN (MLP, 20-12-2); SVM; KNN; Naive Bayes",DRIONS-DB public dataset ground truth (optic disc),internal,no,any,50
Bhuiyan (2021),2021,"USA, Singapore, Spain",mixed,research,retrospective,1546,489,1057,n/r,n/r,fundus,"Ensemble of Xception (71x71), Xception (250x250), Inception-ResNet-V2 (200x200), NasNet (150x150), Inception-V3 (299x299) with Logistic Model Tree classifier (iPredict-glaucoma)","Manual vertical CDR grading by two trained graders using proprietary CDR annotator software, with CDR>0.5 defined as glaucoma suspect",both,yes,other,31.6
Tabei (2025),2025,n/r,n/r,research,retrospective,1020,296,724,n/r,n/r,fundus,"SVM classifier with CIE LAB segmentation and stereo disparity depth mapping (RBF kernel, C=1.0, gamma=0.01)","Clinical diagnosis using optic nerve head appearance, retinal nerve fiber layer (RNFL) defects, intraocular pressure (IOP), and ISNT rule compliance (G1020 dataset labels)",internal,no,any,29.0
Buisson (2021) SR,2021,"multiple (USA, Japan, Australia)",mixed,mixed,mixed,1392,684,708,63,51.5,fundus,Pegasus; ResNet18/34/50; VGG-16; Inception-V3,"mixed (glaucoma specialists, ORIGA, RIM-ONE, OCT + repeatable visual fields, Duke glaucoma repository)",both,unclear,GON,48
Thiry (2023),2023,Singapore,Asia,hospital,cross-sectional,2773,477,2296,58.7 (nonglaucoma) / 65.9 (glaucoma),39 (nonglaucoma) / 51 (glaucoma),OCT,PointNet (geometric deep learning); 3D CNN (Maetschke et al.); RNFL thickness,"Glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mm Hg, healthy optic discs, and normal visual fields",internal,yes,GON,17.2
Cao (2023),2023,China,Asia,mixed,cross-sectional,637,55,582,48.18,51.68,fundus,Kangrui Intelligent Technology AI-based fundus screening system (transfer learning) integrated with RetiCam 3100,Consensus of two ophthalmic chief clinicians with >20 years of clinical experience per international diagnostic criteria; third chief clinician adjudicated disagreements,external,yes,other,8.63
Chai (2018),2018,China,Asia,hospital,retrospective,2554,1023,1531,n/r,n/r,fundus,MB-NN (Multi-Branch Neural Network),Clinical diagnosis from Beijing Tongren Hospital case reports,internal,no,any,40.05
Chakrabarty (2016),2016,India,Asia,hospital,cross-sectional,314,169,145,n/r,n/r,fundus,"Cascade-forward neural network with topographic ONH features (CDR, cup-to-disc area ratio, PPA, RNFL defect, optic disc changes, cup symmetry)","Consensus clinical diagnosis by 2 independent glaucoma specialists (slit-lamp, IOP, gonioscopy, visual field HFA 24-2/10-2, ancillary OCT/HRT when needed)",external,no,any,53.8
Chang (2023),2023,Taiwan,Asia,hospital,retrospective,441,283,147,n/r,n/r,multimodal,GAN (custom U-Net-based generator + Markovian PatchGAN discriminator) for fundus-to-OCT synthesis + VGG19 classifier with transfer/incremental learning,Labels assigned by two glaucoma physicians at Chang Gung Memorial Hospital,internal,no,any,65.8
Chen (2025),2025,Taiwan (training/CHGH); India; China; Austria (external),mixed,hospital,retrospective,2634,852,1782,n/r,n/r,fundus,"TVGH model (DeepLabV3+ with MobileNet-V2 backbone for ROI segmentation + EfficientNetV2-M classifier); variants: TVGH-Original, TVGH-Green Channel, TVGH-Preprocessing, TVGH-Segmentation, TVGH-Weighted","TVGH: glaucomatous ONH changes (elevated CDR, neuroretinal rim thinning/notches) + reproducible visual field defects on Humphrey 24-2 SITA + Cirrus HD-OCT RNFL; external datasets: expert majority/consensus labels",both,no,GON,32.3
Cho (2024),2024,China,Asia,hospital,retrospective,64,32,32,n/r,n/r,fundus,Attention-based multi-input CNN (ResU-Net vessel segmentation + Hough Circle Transform optic disc + CNN classifier with attention),ophthalmologist diagnostic labels from ODIR dataset,internal,no,any,50
Thakoor (2021)a,2021,USA,North America,hospital,retrospective,1770,610,1160,57,n/r,OCT,CNN A (ResNet18 + Random Forest); CNN B (custom 3-conv-block CNN); CNN C (ResNet50 + Random Forest),Expert OCT grader rating (Hood report / cpRNFL report / OCT+VF consensus); binary cutoff >50% = glaucomatous,external,yes,any,34.5
Christopher (2020),2020,"USA, Japan, Spain",mixed,hospital,mixed,n/r,n/r,n/r,n/r,n/r,fundus,"UCSD ResNet50 and UTokyo ResNet34 deep learning models (original, sequential, combined training strategies)","Expert grader review of stereoscopic fundus photographs (DIGS/ADAGES: two graders + consensus/adjudication); fundus + OCT review by three glaucoma specialists with unanimous agreement (MRCH, Iinan, Hiroshima); single expert grader review (ACRIMA)",both,yes,GON,n/r
Chuter (2026),2026,USA,North America,research,retrospective,1098,668,430,60.3,58.8,multimodal,RETFound (self-supervised foundation model),CFP-based glaucomatous optic neuropathy by 2 expert reviewers with adjudication,internal,no,GON,60.8
Noury (2022),2022,"USA, Hong Kong, India, Nepal",mixed,hospital,retrospective,5138,3259,1879,69.41 (Stanford glaucoma training); 65.90 HK; 63.84 India; 45.34 Nepal,55 (Stanford); 67 (HK); 40 (India); 40 (Nepal),OCT,"3D convolutional neural network (DenseNet-style, based on De Fauw et al. architecture); DiagFind cropping algorithm",Multimodal clinical diagnosis: glaucomatous disc changes on fundus exam + localized OCT RNFL/GCIPL defects correlating with visual field defect meeting Hodapp-Anderson-Parrish criteria + IOP-lowering treatment per chart review,both,yes,any,63.4
Gomez-Valverde (2019),2019,Spain; India,mixed,mixed,cross-sectional,2313,494,1819,n/r,n/r,fundus,Standard CNN; VGG19; VGG19 TL; GoogLeNet; GoogLeNet TL; ResNet50; ResNet50 TL; DENet Disc; DENet Disc TL,"Consensus classification by expert ophthalmologists (≥2 graders, with adjudication by 2 glaucoma experts in case of disagreement for ESPERANZA); expert labels for RIM-ONE and DRISHTI-GS",internal,no,any,21.4
Bowd (2023),2023,USA,North America,research,cross-sectional,593,463,130,67.2,55.3,OCT,Multimodal VGG-16 CNN (texture en face + RNFL thickness map + cSLO),"Glaucomatous VF loss (PSD <95% CI or GHT outside normal limits) with corresponding stereophotograph-based optic disc/parapapillary damage (consensus of 2 graders, adjudicated by senior consultant)",internal,no,POAG,78.1
Elangovan (2022),2022,India; Spain; Singapore; China,mixed,research,retrospective,6765,2564,4201,n/r,n/r,fundus,En-ConvNet (stacking ensemble of three best pre-trained CNNs with SVM meta-classifier),"public database ground-truth labels (DRISHTI-GS1, ORIGA, RIM-ONE2, ACRIMA, LAG)",internal,no,GON,37.9
Sivakumar (2025),2025,mixed,mixed,research,retrospective,12316,4817,7499,n/r,n/r,fundus,ViT+ResNet50; OWL-ViT+ResNet50; Swin Transformer+ResNet50 (with Random Forest on clinical biomarkers),dataset labels from 19 consolidated public fundus datasets (SMDG-19) and PAPILA clinical diagnosis,internal,no,any,39.1
Eswari (2024),2024,Germany,mixed,research,retrospective,1465,296,724,n/r,n/r,fundus,TernausNet + FRCNN / AFRCNN / SVM / AAASVM,n/r,both,no,any,29.0
Lin (2022)b,2022,China,Asia,research,cross-sectional,3837,153,3684,n/r,n/r,fundus,POAGNet (Siamese network with DenseNet-201 backbone),"Structural glaucomatous criteria (retinal nerve fiber layer defect, rim loss, or optic disc hemorrhage)",internal,no,POAG,3.99
Camacho-Garcia-Forment (2025),2025,Mexico,North America,hospital,prospective,435,46,199,59.1,66.0,fundus,retinIA (v3.3.1) — Inception V3 multi-output CNN for retinal disease; U-Net for optic disc/cup segmentation and CDR,Expert ophthalmologist annotation (average CDR from 3 ophthalmologists); glaucoma suspect defined as CDR ≥0.6 or inter-eye CDR difference >0.2 (Harizman criteria),external,yes,other,18.8
Fu (2018),2018,Singapore,Asia,screening,cross-sectional,7459,159,7300,n/r,n/r,fundus,DENet (Disc-aware Ensemble Network),n/r,external,unclear,any,2.13
Gaddipati (2021),2021,India,Asia,mixed,retrospective,2168,970,1198,n/r,n/r,multimodal,Fefu model (Ff-o + Ff fusion; VGG-19 + 3D Capsule network + CGAN),expert/clinical diagnosis labels from source datasets,both,no,any,44.7
Garcia (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13,55.50,OCT,"RAGNet (Residual Attention Glaucoma Network, VGG16-based) + LSTM + Sequential-Weighting Module (SWM)","European Glaucoma Society guideline diagnosis (IOP/Goldmann tonometry, central corneal thickness, gonioscopy, slit-lamp ONH assessment, Octopus standard automated perimetry, RNFL/GCL thickness by OCT+HRT)",internal,no,POAG,45.0
Sharma (2025),2025,"Japan (+ multi-country public datasets: Netherlands/Rotterdam, China, India)",mixed,mixed,retrospective,19666,4714,14952,"54.08 (normal), 61.87 (glaucoma) in Miyagi screening; n/r overall","n/r (Miyagi M:F 1.25 normal, 1.09 glaucoma)",fundus,"AI-GS network (six lightweight DL models based on LWBNA-unet: MTL_LWBNA-unet, cupping FFCN, DH segmentation, DH classification, RNFLD classification, final FFCN)","Clinical diagnosis by ophthalmologists using OCT, fundus photography, visual field, and IOP (THU dataset); ICO guideline-based grading (AIROGS); screening ophthalmologist labeling (Miyagi)",both,yes,any,4.68 (Miyagi real-world); 50.0 (balanced testing set)
Govindharaj (2025),2025,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,GWOA-optimized U-Net++ (segmentation) + Capsule Network (CapsNet) (classification),ORIGA dataset reference labels,internal,no,any,25.85
Sangeethaa (2023),2023,India,Asia,mixed,retrospective,2937,897,2040,n/r,n/r,fundus,Hybrid PolyNet (with U-Net for blood vessel segmentation),ophthalmologist labels (expert manual annotation),internal,no,any,30.5
Guo (2022)a,2022,"China, Singapore, India, Spain",mixed,research,retrospective,9043,4211,4071,n/r,n/r,fundus,DSLN (Dual-tutor Student Learning Network) with modified ResNet50 backbone; CycleGAN inter-image tutor + EMA intra-image tutor; Faster R-CNN for optic disc localization,Image-level glaucoma labels provided in public datasets (ophthalmologist annotations),both,no,any,50.8
Haider (2022),2022,"mixed (India, China, Spain)",mixed,research,retrospective,1570,n/r,n/r,n/r,n/r,fundus,"SLS-Net, SLSR-Net (segmentation-based); ResNet-18, ResNet-50 (classification)",expert-annotated ground-truth OD/OC masks (and dataset-provided glaucoma labels for classification),internal,no,any,n/r
Juneja (2022),2022,India,Asia,research,retrospective,1110,847,263,n/r,n/r,OCT,Fused framework (SVM + k-NN + RF + 3D-CNN) using Major Voting and Weighted Decision Fusion,n/r,internal,no,POAG,76.3
Bajwa (2019),2019,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,"Two-stage framework: Faster RCNN (VGG16) for optic disc localization + custom Deep CNN (4 conv + 3 FC layers, AlexNet-inspired) for glaucoma classification",ORIGA expert-annotated glaucoma labels (Singapore Eye Research Institute clinical ground truth),internal,no,any,25.85
Hassan (2019),2019,South Korea,Asia,hospital,retrospective,2123,1528,595,n/r,n/r,fundus,"VGG-16, ResNet-152, Inception-v4 (baseline and modified variants); best: ResNet-152-M (Medinoid)",ophthalmologist labeling at Samsung Medical Center glaucoma clinic,both,no,any,71.9
Hemelings (2020),2020,Belgium,Europe,mixed,retrospective,8433,6651,1782,n/r,n/r,fundus,ResNet-50 CNN with transfer learning + active (uncertainty) sampling,"Full ophthalmologic examination by glaucoma experts (OCT [Spectralis] or HRT, Goldmann tonometry, Humphrey/Octopus visual field testing); ICD-coded glaucoma diagnosis",internal,no,any,78.9
Pascal (2022),2022,mixed,mixed,research,retrospective,1200,120,1080,n/r,n/r,fundus,"MTL-IO (U-Net with VGG-16 backbone, multi-task learning with independent optimizers)",Expert human annotations (REFUGE challenge ground truth),internal,no,any,10
Hung (2022),2022,Taiwan,Asia,hospital,cross-sectional,1851,644,1207,53.5,50,fundus,"EfficientNet-b0 CNN via AutoDL API (MAIA, Muen Biomedical)",Anderson's visual field criteria with corroborating optic disc/RNFL/OCT findings,internal,yes,GON,34.8
Hwang (2023),2023,"mixed (India, Spain, Singapore, China)",mixed,mixed,retrospective,3142,988,2154,n/r,n/r,fundus,Vision Transformer (ViT) and ResNet-50 CNN,"expert labeling / clinical annotations (varies by dataset; ORIGA algorithm-based, sjchoi86-HRF unknown)",internal,no,GON,31.4
Akter (2022),2022,Australia,Oceania,research,retrospective,255,125,130,55.3,41,OCT,Logistic regression; 4-layer sequential deep neural network; custom 24-layer CNN; ResNet18; VGG16,"Clinical diagnosis based on standard glaucoma work-up (tonometry, funduscopy, perimetry, pachymetry, OCT) with glaucoma staging per Mills et al. criteria",internal,no,POAG,49.0
Singh (2023),2023,India,Asia,research,retrospective,1850,168,482,n/r,n/r,fundus,"PSO, ABC, BCS, and two-layered PSO-ABC feature selection combined with Random Forest, SVM, and Ensemble (RF+SVM+LR) classifiers; 65 handcrafted features (structural: CDR, DDLS, RIM, cup/disc diameter; GLCM; GLRM; FoS; wavelet)",Public benchmark dataset labels (ORIGA and REFUGE ground-truth annotations),internal,no,any,25.85
Al-Aswad (2019),2019,Singapore,Asia,research,retrospective,100,50,50,58,n/r,fundus,Pegasus (Visulytix Ltd),"SiMES clinical diagnosis (Goldmann applanation tonometry, visual field tests, slit lamp biomicroscopy, optic disc imaging, digital lens photography)",external,yes,GON,50
Jan (2024),2024,United Kingdom,Europe,research,retrospective,900,294,606,n/r,n/r,fundus,Inception-v3 CNN (Li et al. 2018),"Consensus grading by panel of two board-certified, fellowship-trained glaucoma specialists, with third specialist adjudication for discrepancies",external,no,GON,32.7
Jan (2025),2025,Australia,Oceania,community,prospective,277,15,257,64.8,44.4,fundus,Inception-v3 based deep learning system (Eyetelligence),Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication (ISGEO category 2 criteria),external,yes,GON,5.4
Sun (2021),2021,South Korea,Asia,hospital,retrospective,777,462,315,n/r,n/r,OCT,DICNN (VGG16-based dual-input CNN); VGG16 (RNFL); VGG16 (GCIPL); Ensemble (VGG16 RNFL + VGG16 GCIPL),"Expert ophthalmologist diagnosis of POAG based on SDP, red-free RNFL photography, open angle on gonioscopy, and HVF",internal,unclear,POAG,59.46
Kanwar (2026),2026,India,Asia,research,retrospective,2870,n/r,n/r,n/r,n/r,fundus,Energy Mask R-CNN + Cyclic Code-based LSTM (CC-LSTM),"Expert-annotated ground truth (ORIGA, REFUGE, G1020 dataset labels)",internal,no,any,n/r
Hernandez (2026),2026,Spain,Europe,mixed,retrospective,739,n/r,n/r,n/r,n/r,fundus,"SpxViT (SpxViT_fix, SpxViT_var), ViT-B/16, SPiT","Ophthalmology specialist diagnosis based on cup-to-disc ratio >0.7, IOP >22 mmHg, visual field defects, and optic nerve head structural abnormalities",internal,no,any,n/r
Sanghavi (2024),2024,India,mixed,research,retrospective,3115,1151,1964,n/r,n/r,fundus,Proposed 13-layer CNN; VGG19; InceptionV3; ResNet50V2,n/r,internal,no,any,36.95
Kim (2020),2020,South Korea,Asia,hospital,retrospective,2602,2058,544,58.7,n/r,OCT,VGG-19 deep CNN,Consensus diagnosis by two experienced glaucoma specialists based on disc/RNFL photographs and visual field tests,both,no,POAG,79.1
Zheng (2020),2020,China,Asia,hospital,prospective,1603,740,863,45.3,45.8,OCT,"Inception-V3 CNN (transfer learning, ImageNet pre-trained)",Glaucomatous optic nerve head appearance on color fundus photographs (with/without glaucomatous VF defects on Humphrey Field Analyzer),internal,no,GON,46.2
Chaurasia (2025),2025,"multiple (Germany, Czech Republic, Spain, China, Saudi Arabia, France, Singapore, Pakistan, Bangladesh, India, Korea, USA)",mixed,mixed,retrospective,18468,7568,10900,n/r,n/r,fundus,"vgg19_bn (VGG19 with batch normalisation, ImageNet pre-trained, Fastai/PyTorch); selected from 20 pre-trained CNNs","dataset-provided labels (clinical examination for ACRIMA, REFUGE1, LAG, KEH, PAPILA; fundus-image-based labels for remaining datasets); Drishti-GS labelled by 4 experts with 3-20 yrs experience",both,no,any,41.0
Ko (2022),2022,Taiwan; India; Spain,mixed,mixed,retrospective,1658,827,831,n/r,n/r,fundus,"EfficientNet B3 CNN classifier (TVGH core model, dataset-specific fine-tuned models, integrated model)","Expert consensus with clinical assessment (ONH changes, reproducible VF defects on Humphrey 24-2, RNFL on Cirrus HD-OCT) for TVGH/CHGH; majority expert opinion for DRISHTI-GS1 and RIM-ONE r2",both,no,POAG,49.9
Kulkarni (2025),2025,India,Asia,research,retrospective,20000,n/r,n/r,n/r,n/r,fundus,OGFA+CNN (Optimized Graph Filter Augmentation + Hierarchical CNN),n/r,internal,no,other,n/r
Lau (2025),2025,USA,North America,mixed,retrospective,5768,440,5328,n/r,56,OCT,ImageNet-pretrained ResNet-50 fine-tuned on Hood OCT wide-field reports (DLM Index),"OCT-based reading center labeling by two OCT experts (Hood report); test cohorts additionally adjudicated with visual fields, fundus photos, history and clinical examinations",both,yes,GON,7.6
El-Nimri (2023),2023,USA,North America,research,cross-sectional,476,382,94,"74.5 (ED glaucoma), 69.6 (AD glaucoma), 58.0 (ED healthy), 63.0 (AD healthy)",56.7,OCT,Spectralis OCT Glaucoma Module Premium Edition (GMPE) reference database classification (global/sectoral RNFLT and BMO-MRW vs 1st/5th percentile),Glaucomatous visual field damage on Humphrey 24-2 SITA (≥2 reliable abnormal VFs with PSD outside 95% normal limits or GHT outside 99% normal limits),internal,unclear,any,80.3
Qiu (2025),2025,China,Asia,hospital,retrospective,1054,509,545,n/r,n/r,multimodal,"Multidimensional imaging model (ensemble of Swin_base_patch4_window7_224_in22k, Inception ResNet V2, Inception V3, Xception)","POAG diagnosis based on fundus photography, OCT, standard automated perimetry (SAP) and medical history per AAO PPP criteria",internal,no,POAG,48.3
Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,60,50,60.8,58.2,fundus,"ResNet (18-layer deep residual learning); comparators: VGG16-like CNN, SVM, Random Forest",Consensus diagnosis by three glaucoma specialists using fundus photographs and spectral-domain OCT (cpRNFLT and macular inner retinal thickness),both,yes,POAG,54.5
Rogers (2019),2019,Netherlands,Europe,hospital,retrospective,94,48,46,n/r,n/r,fundus,Pegasus v1.0 (Visulytix Ltd.),"Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects, with consideration of IOP and family history",external,yes,GON,51.1
Wang (2020),2020,Hong Kong; USA,mixed,hospital,retrospective,6108,3732,2376,n/r,n/r,OCT,2D-ResNet-SEMT (semi-supervised multi-task ResNet18 with VF surrogate-driven function regression),"Consensus label by two glaucoma specialists (>10y experience, CUHK Glaucoma Fellowship) using OCT, VF (Humphrey Field Analyzer II SITA-standard/SITA-fast) and other clinical records; senior glaucoma expert adjudicated disagreements",both,no,any,60.0
Li (2022),2022,China,Asia,hospital,prospective,1585,368,1217,53.19,43.22,fundus,Baidu automated fundus screening algorithm (DenseNet-121 + bilinear pooling),Two IRC ophthalmologists (6 and 10 years' experience) grading fundus images independently; disagreements arbitrated by senior ophthalmologist with 19 years' experience,external,yes,GON,23.2
Li (2021),2021,"China, Japan",Asia,mixed,retrospective,22179,4269,17910,55.8,48.5,fundus,InceptionResNetV2,"Consensus of 3 board-certified glaucoma specialists (5, 7, 8 yrs experience); disputed images arbitrated by senior glaucoma specialist (>20 yrs); referable GON defined by VCDR ≥0.7, rim width ≤0.1 disc diameter, RNFL defect/localised notches, or disc splinter haemorrhages",both,yes,GON,19.2
Wei (2025),2025,China,Asia,hospital,retrospective,6152,296,5856,45,50.4,fundus,CARE (Comprehensive AI Retinal Expert),Consensus of two associate chief ophthalmologists specializing in retinal diseases; third chief ophthalmologist for disagreements,internal,unclear,GON,4.8
Liao (2020),2020,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,EAMNet (ResBlock backbone + Multi-Layers Average Pooling + Evidence Activation Mapping),Clinical glaucoma diagnoses with manual labelled optic disc mask (ORIGA dataset ground truth),internal,no,any,25.8
Hemelings (2023),2023,"multinational (Belgium training; Australia, Germany, USA, Singapore, China, Spain testing)",mixed,mixed,retrospective,149455,n/r,n/r,n/r,n/r,fundus,"G-RISK (ResNet-50 regression CNN, VCDR-based risk score)","dataset-specific (multimodal clinical diagnosis incl. VCDR, IOP, VF, OCT; ISGEO criteria for GHS; expert-defined VCDR threshold for BMES)",external,yes,any,1.08–56.17 (varies by dataset)
Xu (2021)b,2021,China,Asia,hospital,retrospective,10056,4378,5678,52.4,51.0,fundus,Hierarchical Deep Learning System (HDLS),"Consensus of 2 senior glaucoma specialists (>10 years' experience) grading referable glaucomatous optic neuropathy (GON) on fundus images, with initial database label informed by fundus, visual field, and IOP",both,yes,GON,42.4
Lin (2022)a,2022,USA and China,mixed,mixed,retrospective,42254,4032,38162,n/r,n/r,fundus,GlaucomaNet (DenseNet-201 + ResNet-152 joint fusion),"OHTS Optic Disc Reading Center adjudicated grading (two certified readers + senior adjudicator) and Visual Field Reading Center; LAG glaucoma specialist diagnosis using IOP, visual field, and optic disc assessment",internal,no,POAG,9.5
Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,60,50,60.5,58.2,fundus,"ResNet (18 convolutional layers); compared with VGG16-like CNN, SVM, Random Forest",Consensus diagnosis by three glaucoma specialists based on fundus photographs and spectral-domain OCT (cpRNFLT and mIRT) per Japan Glaucoma Society Guidelines,both,yes,POAG,54.5
MacCormick (2019),2019,Singapore; Spain,mixed,mixed,retrospective,809,188,586,n/r,n/r,fundus,Spatial probabilistic hierarchical model of 24-direction cup/disc ratio profile (pCDR) with empirical Bayes decision rule; DenseNet-based fully convolutional network for automated optic disc/cup segmentation,Clinical glaucoma diagnosis labels from ORIGA (SiMES) and RIM-ONE datasets,both,no,any,23.2
Thakoor (2021)b,2021,USA,North America,research,retrospective,872,n/r,n/r,n/r,n/r,OCT,"InceptionV3+FC, ResNet-18+FC, VGG-16+FC, DenseNet-121+FC, CNN Ensemble","Single OCT expert (D.C.H.) grading of full OCT reports (0-100 scale, binarized at 50 as glaucomatous vs non-glaucomatous)",both,no,GON,n/r
Bisneto (2020),2020,India; Spain,mixed,research,retrospective,556,270,286,n/r,n/r,fundus,"Conditional GAN (Pix2pix, U-Net generator + PatchGAN discriminator) for OD segmentation + taxonomic diversity/distinction indexes as texture features, classified by MLP, SMO, and Random Forest (WEKA)",Expert manual OD markings and dataset-provided glaucoma labels (Drishti-GS: 4 expert markings; RIM-ONE v2: specialist analysis),internal,no,any,48.6
Maetschke (2021),2021,Spain,Europe,hospital,retrospective,320,144,176,50.13,55.50,OCT,RAGNet (VGG16 + residual + attention) + LSTM + Sequential-Weighting Module (SWM),"Expert ophthalmologist diagnosis per European Glaucoma Society guideline (IOP, gonioscopy, slit-lamp ONH assessment, standard automated perimetry with Octopus, RNFL/GCL thickness on OCT+HRT; glaucomatous visual field defect required)",internal,no,any,45.0
Bisneto (2020),2020,India; Spain,mixed,hospital,retrospective,556,270,286,n/r,50,fundus,"Conditional GAN (Pix2pix; U-Net generator + PatchGAN discriminator) for OD segmentation + taxonomic diversity/distinction texture features classified by MLP, SMO, or Random Forest",Expert manual markings (ground-truth labels from public datasets Drishti-GS and RIM-ONE v2),internal,no,any,48.6
Mariottoni (2021),2021,USA,North America,hospital,retrospective,2118,305,280,57.9,59.0,fundus,ResNet50 deep learning algorithm,Objective SDOCT (peripapillary RNFL) + SAP (24-2 SITA) structural-functional criteria for GON,internal,no,GON,52.1
Vali (2023),2023,Iran; Thailand; USA,mixed,hospital,cross-sectional,2183,828,1355,n/r,n/r,fundus,"DenseNet121 (also VGG16, ResNet18, InceptionV3, MobileNet, Vision Transformer); modified U-Net for OD segmentation","Consensus diagnosis by 3 neuro-ophthalmologists and 2 glaucoma specialists from medical records (Hodapp-Parrish-Anderson criteria for GON; IOP, visual field, optic disc appearance)",both,no,GON,37.93
