Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Reader_age,Reader_sex_female_pct,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Hussein (2026),2026,KNN,ResNet50 features + handcrafted + mRMR + KNN,n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
Hussein (2026),2026,Decision Tree,ResNet50 features + handcrafted + mRMR + DT,n/r,n/r,n/r,n/r,internal,Dataset ground-truth labels,n/r,image,fundus,ONH
Aljohani (2024),2024,Hybrid framework (ensemble),ResNet50 + VGG-16 + Random Forest with 2/3 majority voting post-processing rule,n/r,n/r,n/r,n/r,internal,"Public dataset labels (ACRIMA, G1020, ORIGA, REFUGE)",≥2 of 3 base models predict glaucoma,image,fundus,ONH
Aljohani (2024),2024,Random Forest,"Random Forest on GLCM texture features (dissimilarity, correlation, homogeneity, contrast, ASM, energy)",n/r,n/r,n/r,n/r,internal,"Public dataset labels (ACRIMA, G1020, ORIGA, REFUGE)",n/r,image,fundus,ONH
Aljohani (2024),2024,ResNet50,"ResNet50 (50-layer CNN, Adam optimizer, 50 epochs, batch size 32, 224×224×3 grayscale input)",n/r,n/r,n/r,n/r,internal,"Public dataset labels (ACRIMA, G1020, ORIGA, REFUGE)",n/r,image,fundus,ONH
Aljohani (2024),2024,VGG-16,"VGG-16 (16-layer CNN, Adam optimizer, 50 epochs, batch size 32, 224×224×3 grayscale input)",n/r,n/r,n/r,n/r,internal,"Public dataset labels (ACRIMA, G1020, ORIGA, REFUGE)",n/r,image,fundus,ONH
Sun (2021),2021,DICNN (RNFL+GCIPL),VGG16-based dual-input CNN with fully connected layers 120-64-16,n/r,n/r,n/r,n/r,internal,"Clinical POAG diagnosis (SDP + red-free RNFL photography, open angles)",softmax/logit output (operating point n/r),eye,SD-OCT (Cirrus HD-OCT),RNFL thickness map (ONH) + GCIPL thickness map (macula)
Sun (2021),2021,VGG16 (RNFL),VGG16 CNN,n/r,n/r,n/r,n/r,internal,"Clinical POAG diagnosis (SDP + red-free RNFL photography, open angles)",softmax/logit output (operating point n/r),eye,SD-OCT (Cirrus HD-OCT),Peripapillary RNFL thickness map (ONH)
Sun (2021),2021,VGG16 (GCIPL),VGG16 CNN,n/r,n/r,n/r,n/r,internal,"Clinical POAG diagnosis (SDP + red-free RNFL photography, open angles)",softmax/logit output (operating point n/r),eye,SD-OCT (Cirrus HD-OCT),Macular GCIPL thickness map
Sun (2021),2021,Ensemble (VGG16 RNFL + VGG16 GCIPL fused output),Fused-output ensemble of two VGG16 CNNs,n/r,n/r,n/r,n/r,internal,"Clinical POAG diagnosis (SDP + red-free RNFL photography, open angles)",fused softmax output (operating point n/r),eye,SD-OCT (Cirrus HD-OCT),RNFL (ONH) + GCIPL (macula) thickness maps
An (2019),2019,CNN #1 — disc fundus image (green channel),VGG19 (transfer learning from ImageNet),n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists (GON + VF defect + cpRNFLT reduction + open angle),n/r,eye,fundus,ONH
An (2019),2019,CNN #2 — disc RNFL thickness map,VGG19 (transfer learning from ImageNet),n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,RNFL (disc)
An (2019),2019,CNN #3 — macular GCC thickness map,VGG19 (transfer learning from ImageNet),n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,macula (GCC)
An (2019),2019,CNN #4 — disc RNFL deviation map,VGG19 (transfer learning from ImageNet),n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,RNFL (disc)
An (2019),2019,CNN #5 — macular GCC deviation map,VGG19 (transfer learning from ImageNet),n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,macula (GCC)
An (2019),2019,RF #6 — disc OCT (RNFL thickness + RNFL deviation),"Random Forest (n_trees=10,000) over VGG19 feature vectors",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,ONH (RNFL)
An (2019),2019,RF #7 — macular OCT (GCC thickness + GCC deviation),"Random Forest (n_trees=10,000) over VGG19 feature vectors",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,macula (GCC)
An (2019),2019,RF #8 — disc OCT + fundus image,"Random Forest (n_trees=10,000) over VGG19 feature vectors",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,multimodal,ONH + RNFL
An (2019),2019,RF #9 — fundus + disc RNFL thickness + macular GCC thickness (no centered detection),"Random Forest (n_trees=10,000) over VGG19 feature vectors",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,multimodal,ONH + macula
An (2019),2019,RF #10 — all OCT images (disc + macular thickness and deviation),"Random Forest (n_trees=10,000) over VGG19 feature vectors",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,OCT,ONH + macula (RNFL + GCC)
An (2019),2019,RF #11 — combination of all 5 images (headline model),"Random Forest (n_trees=10,000) over 5 VGG19 feature vectors (4096-d each)",n/r,n/r,n/r,n/r,internal,Unanimous diagnosis by 3 ophthalmologists,n/r,eye,multimodal,ONH + macula + RNFL + GCC
Mrad (2022),2022,Proposed SVM method - DRISHTI-GS,"SVM with RBF kernel (gamma=0.1, C=1) on 4 vessel-centroid features",n/r,n/r,n/r,n/r,internal,DRISHTI-GS expert ground truth,n/r,image,fundus,ONH
Mrad (2022),2022,Proposed SVM method - DRIONS-DB,"SVM with RBF kernel (gamma=0.1, C=1) on 4 vessel-centroid features",n/r,n/r,n/r,n/r,internal,DRIONS-DB expert ground truth,n/r,image,fundus,ONH
Mrad (2022),2022,Proposed SVM method - RIAMP standard (Topcon retinograph),"SVM with RBF kernel (gamma=0.1, C=1) on 4 vessel-centroid features",1,n/r,n/r,n/r,internal,Ophthalmologist diagnosis on Topcon fundus image (Dr. Aymen Daldoul),n/r,image,fundus,ONH
Mrad (2022),2022,Proposed SVM method - RIAMP mobile (iExaminer + iPhone 4S),"SVM with RBF kernel (gamma=0.1, C=1) on 4 vessel-centroid features",1,n/r,n/r,n/r,internal,Ophthalmologist diagnosis on paired Topcon fundus image,n/r,image,fundus,ONH
Lee (2020),2020,Ensemble training model (GCIPL+RNFL thickness+deviation maps),NASNet-A (large) feature extractor + 4 fully-connected hidden layers (4000/2000/1000/1000) + softmax,3,n/r,n/r,n/r,internal,Stereo disc photography + red-free RNFL photography adjudicated by 3 glaucoma specialists,Youden-index optimum (probability 0.5 used for FP/FN analysis),image,SD-OCT (Cirrus HD-OCT),ONH (RNFL) + macula (GCIPL)
Lee (2020),2020,"Deep learning, GCIPL thickness map only",NASNet-A bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography + red-free RNFL photography adjudicated by 3 glaucoma specialists,Youden-index optimum,image,SD-OCT (Cirrus HD-OCT),macula (GCIPL)
Lee (2020),2020,"Deep learning, GCIPL deviation map only",NASNet-A bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography + red-free RNFL photography adjudicated by 3 glaucoma specialists,Youden-index optimum,image,SD-OCT (Cirrus HD-OCT),macula (GCIPL)
Lee (2020),2020,"Deep learning, RNFL thickness map only",NASNet-A bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography + red-free RNFL photography adjudicated by 3 glaucoma specialists,Youden-index optimum,image,SD-OCT (Cirrus HD-OCT),ONH (peripapillary RNFL)
Lee (2020),2020,"Deep learning, RNFL deviation map only",NASNet-A bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography + red-free RNFL photography adjudicated by 3 glaucoma specialists,Youden-index optimum,image,SD-OCT (Cirrus HD-OCT),ONH (peripapillary RNFL)
Gonzalez-Hernandez (2021),2021,Laguna ONhE GDF (deep learning),"ResNet50 (transfer learning, ImageNet pre-trained) combined with U-Net for ONH segmentation; GDF index integrates DL classifier (45%) with haemoglobin/cup-disc variables (55%)",n/r,n/r,n/r,n/r,internal,Clinical diagnosis: perimetric PSD/MD <5% plus Laguna ONhE GDF or OCT-rim area <5% for confirmed glaucoma; suspects per IOP/family history/disc/borderline VF criteria,"99% specificity (sensitivity 94.5% confirmed, 45.9% suspected); 95% specificity also reported",eye,fundus,ONH
Singh (2021),2021,ANN (proposed),"Multilayer perceptron ANN (20 input, 12 hidden, 2 output; Bayesian regularization / Levenberg-Marquardt)",n/r,n/r,n/r,n/r,internal,DRIONS-DB ground truth,n/r,image,fundus,ONH (optic disc and optic cup)
Singh (2021),2021,SVM,Support Vector Machine on 20 handcrafted features,n/r,n/r,n/r,n/r,internal,DRIONS-DB ground truth,n/r,image,fundus,ONH (optic disc and optic cup)
Singh (2021),2021,KNN,K-Nearest Neighbors (Euclidean distance) on 20 handcrafted features,n/r,n/r,n/r,n/r,internal,DRIONS-DB ground truth,n/r,image,fundus,ONH (optic disc and optic cup)
Singh (2021),2021,Naive Bayes,Naive Bayes classifier on 20 handcrafted features,n/r,n/r,n/r,n/r,internal,DRIONS-DB ground truth,n/r,image,fundus,ONH (optic disc and optic cup)
Bhuiyan (2021),2021,Ensemble DL + Logistic Model Tree (internal test),"Ensemble of Xception, Inception-ResNet-V2, NasNet, Inception-V3 + Logistic Model Tree",n/r,n/r,n/r,n/r,internal,Manual vertical CDR grading (CDR>0.5 = glaucoma suspect) by two trained graders,vertical CDR > 0.5,image,fundus,ONH
Bhuiyan (2021),2021,Ensemble DL + Logistic Model Tree (external ORIGA-light),"Ensemble of Xception, Inception-ResNet-V2, NasNet, Inception-V3 + Logistic Model Tree",n/r,n/r,n/r,n/r,external,Manual vertical CDR grading (CDR>0.5 = glaucoma suspect) by expert graders,vertical CDR > 0.5,image,fundus,ONH
Tabei (2025),2025,SVM with depth-mapped CDR (proposed method),Support Vector Machine (RBF/Gaussian kernel) on CDR + depth features from stereo disparity (SAD algorithm) in CIE LAB space,0,n/r,n/r,n/r,internal,"G1020 clinical labels (ONH appearance, RNFL, IOP, ISNT rule)",CDR > 0.5 (reference rule); SVM operating point n/r,image,fundus,ONH
Buisson (2021) SR,2021,Deep learning (pooled),"Pegasus, ResNet18/34/50, VGG-16, Inception-V3",n/r,n/r,n/r,n/r,internal,"mixed (glaucoma specialists, ORIGA, RIM-ONE, OCT + repeatable visual fields, Duke glaucoma repository)",n/r,image,fundus,ONH
Buisson (2021) SR,2021,Ophthalmologists (pooled),n/a,38,n/r,n/r,n/r,internal,"mixed (glaucoma specialists, ORIGA, RIM-ONE, OCT + repeatable visual fields, Duke glaucoma repository)",n/r,image,fundus,ONH
Thiry (2023),2023,PointNet (geometric deep learning),"PointNet (Qi et al. 2016) operating on 1000-point 3D point clouds, D=11 (3 coords + 8-class one-hot)",n/r,n/r,n/r,n/r,internal,Glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects,n/r,scan,OCT (Spectralis SD-OCT),ONH
Thiry (2023),2023,3D CNN (raw OCT),"3D CNN (Maetschke et al. 2019): 5 3D conv layers, ReLU, batch norm, filters 32-32-32-32-32, kernels 7-5-3-3-3, strides 2-1-1-1-1, global average pooling; input 128x128x128 voxels (raw OCT)",n/r,n/r,n/r,n/r,internal,Glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects,n/r,scan,OCT (Spectralis SD-OCT),ONH
Thiry (2023),2023,3D CNN (segmented OCT),3D CNN (Maetschke et al. 2019) trained on stacks of segmented B-scans (label images with pixel values 0-7 indicating tissue class); 128x128x128 voxel input,n/r,n/r,n/r,n/r,internal,Glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects,n/r,scan,OCT (Spectralis SD-OCT),ONH
Thiry (2023),2023,RNFL thickness (gold standard),Scalar RNFL thickness computed via REFLECTIVITY segmentation at 1.4x Bruch's membrane opening radius (no classifier; AUC over all thresholds),n/r,n/r,n/r,n/r,internal,Glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects,n/r,scan,OCT (Spectralis SD-OCT),RNFL
Cao (2023),2023,AI fundus screening system (referable glaucoma),Transfer learning-based deep learning classifier (Kangrui Intelligent Technology); specific architecture n/r,2,>20,n/r,n/r,external,"Consensus of two senior ophthalmic chief clinicians (>20 yrs experience) with third-clinician adjudication, per international glaucoma diagnostic guidelines",n/r,image,fundus,ONH
Chai (2018),2018,MB-NN (full model),Multi-branch CNN + FCN + Faster-RCNN with domain knowledge features,n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,ONH
Chai (2018),2018,MB-NN_0 (without entire image branch),Two-branch NN (disc region CNN + domain features FCN),n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,ONH
Chai (2018),2018,MB-NN_1 (without disc area branch),Two-branch NN (entire image CNN + domain features),n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,full retina
Chai (2018),2018,MB-NN_2 (without domain knowledge features),Two-branch CNN (entire image + disc region),n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,ONH
Chai (2018),2018,AlexNet,AlexNet CNN,n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,full retina
Chai (2018),2018,VGG16,VGG16 CNN,n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,full retina
Chai (2018),2018,Inception_v3,Inception v3 CNN,n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,full retina
Chai (2018),2018,Raghavendra CNN,18-layer CNN (Raghavendra et al.),n/r,n/r,n/r,n/r,internal,Clinical diagnosis from Tongren Hospital case reports,n/r,image,fundus,full retina
Chakrabarty (2016),2016,Automated CAD system,"Cascade-forward neural network (2 hidden layers, 2 and 5 nodes, tanh sigmoid)",n/r,n/r,n/r,n/r,external,Consensus clinical diagnosis by 2 glaucoma specialists,Operating point at sensitivity 0.716 / specificity 0.717 (average specialist sensitivity),eye,Color fundus photography (Topcon TRC50EX; Zeiss Visucam NM/FA; 30-degree FOV),ONH
Chakrabarty (2016),2016,Specialist-A (image-based grading),n/r,1,n/r,n/r,n/r,external,Consensus clinical diagnosis by 2 glaucoma specialists,n/r,eye,Color fundus photography,ONH
Chakrabarty (2016),2016,Specialist-B (image-based grading),n/r,1,n/r,n/r,n/r,external,Consensus clinical diagnosis by 2 glaucoma specialists,n/r,eye,Color fundus photography,ONH
Chakrabarty (2016),2016,Specialist-C (image-based grading),n/r,1,n/r,n/r,n/r,external,Consensus clinical diagnosis by 2 glaucoma specialists,n/r,eye,Color fundus photography,ONH
Chakrabarty (2016),2016,Specialist-D (image-based grading),n/r,1,n/r,n/r,n/r,external,Consensus clinical diagnosis by 2 glaucoma specialists,n/r,eye,Color fundus photography,ONH
Chang (2023),2023,Proposed transfer-learning classifier (GAN-generated OCT + real OCT),"VGG19 (pretrained on generated OCT, fine-tuned on real OCT)",n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,fundus (converted to OCT via GAN),ONH
Chang (2023),2023,VGG19 trained on real OCT only,VGG19,n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,OCT,ONH
Chang (2023),2023,VGG19 trained on generated OCT only,VGG19,n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,fundus (converted to OCT via GAN),ONH
Chang (2023),2023,ResNet-18,ResNet-18,n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,OCT,ONH
Chang (2023),2023,DenseNet-20,DenseNet-20,n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,OCT,ONH
Chang (2023),2023,Incremental-learning fine-tuned classifier (new-field deployment),"VGG19 with frozen feature extractor, retrained classifier head",n/r,n/r,n/r,n/r,internal,Two glaucoma physicians (Chang Gung Memorial Hospital),0.5,image,fundus (converted to OCT via GAN),ONH
Chen (2025),2025,TVGH-Original,"EfficientNetV2-M (transfer learning, Focal Loss, Softmax 2-class)",n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image,fundus,ONH + peripapillary RNFL
Chen (2025),2025,TVGH-Green Channel,EfficientNetV2-M fine-tuned on green-channel images,n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image,fundus,ONH + peripapillary RNFL
Chen (2025),2025,TVGH-Preprocessing,EfficientNetV2-M on green-channel + CLAHE + unsharp masking preprocessed images,n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image,fundus,ONH + peripapillary RNFL
Chen (2025),2025,TVGH-Segmentation,"DeepLabV3+ (MobileNet-V2 backbone, Dice Loss) for ROI segmentation + EfficientNetV2-M classifier trained on segmented ROI",n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image,fundus,ONH + peripapillary RNFL (macula excluded)
Chen (2025),2025,TVGH-Weighted,"DeepLabV3+ (MobileNet-V2) segmentation + EfficientNetV2-M classifier on weighted images (ROI pixels retained, non-ROI down-weighted by 50%)",n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image,fundus,ONH + peripapillary RNFL (macula excluded)
Cho (2024),2024,Proposed attention-based multi-input CNN,"Multi-input CNN with attention (ResU-Net for retinal vessel segmentation; Hough Circle Transform for optic disc; 4-layer CNN modules, filters 64/128/256/512 then 2048/4096/4096, ReLU + Softmax)",n/r,n/r,n/r,n/r,internal,ophthalmologist diagnostic labels from ODIR dataset,n/r,image,fundus,ONH
Thakoor (2021)a,2021,CNN A (RNFL map model),ResNet18 + Random Forest,1,n/r,n/r,n/r,external,RS1 RNFL-Map: full Hood report rated by single OCT expert (DCH),>50% glaucomatous probability,eye,OCT,"RNFL probability map (9×12 mm wide-field, includes fovea and optic disc)"
Thakoor (2021)a,2021,CNN A (RNFL map model) — consensus RS,ResNet18 + Random Forest,n/r,n/r,n/r,n/r,external,RS4 RNFL-Map: consensus of multiple experts using OCT + visual field,>50% glaucomatous probability,eye,OCT,RNFL probability map
Thakoor (2021)a,2021,"CNN B (b-scan model, trained from scratch)",Custom 3-convolutional-block CNN with 2 dense layers,1,n/r,n/r,n/r,external,RS1 B-Scan: cpRNFL report rated by single OCT expert (DCH),>50% glaucomatous probability,eye,OCT,ONH (3.5 mm circumpapillary disc b-scan)
Thakoor (2021)a,2021,"CNN C (b-scan model, pretrained)",ResNet50 + Random Forest,1,n/r,n/r,n/r,external,RS1 B-Scan: cpRNFL report rated by single OCT expert (DCH),>50% glaucomatous probability,eye,OCT,ONH (3.5 mm circumpapillary disc b-scan)
Thakoor (2021)a,2021,CNN C (b-scan model) — consensus RS,ResNet50 + Random Forest,n/r,n/r,n/r,n/r,external,RS4 B-Scan: consensus of multiple experts using OCT + visual field,>50% glaucomatous probability,eye,OCT,ONH (3.5 mm circumpapillary disc b-scan)
Christopher (2020),2020,UCSD Original,ResNet50 (ImageNet pretraining; trained on DIGS/ADAGES),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image,fundus,ONH
Christopher (2020),2020,UCSD Sequential,ResNet50 (ImageNet pretraining; trained on DIGS/ADAGES then weights updated on MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image,fundus,ONH
Christopher (2020),2020,UCSD Combined,ResNet50 (ImageNet pretraining; trained on pooled DIGS/ADAGES + MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image,fundus,ONH
Christopher (2020),2020,UTokyo Original,ResNet34 (ImageNet pretraining; trained on MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image,fundus,ONH
Christopher (2020),2020,UTokyo Sequential,ResNet34 (ImageNet pretraining; trained on MRCH then weights updated on DIGS/ADAGES),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image,fundus,ONH
