Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,MB-NN,945,78,139,1392,1023,1531,0.9238,0.9092,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,"Multi-branch neural network (CNN + CNN + FC, with domain knowledge features)",n/r,claude_pdf,0.9238,0.9059,0.9385,0.9092,0.8938,0.9226,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-LBP,638,385,608,923,1023,1531,0.6237,0.6029,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on rotation-invariant local binary pattern features,n/r,claude_pdf,0.6237,0.5936,0.6528,0.6029,0.5781,0.6271,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-HOS,597,426,627,904,1023,1531,0.5836,0.5905,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on higher order spectra features,n/r,claude_pdf,0.5836,0.5531,0.6134,0.5905,0.5656,0.6148,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-DWT,629,394,565,966,1023,1531,0.6149,0.631,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on discrete wavelet transform features,n/r,claude_pdf,0.6149,0.5847,0.6442,0.6310,0.6065,0.6548,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-SIFT,635,388,620,911,1023,1531,0.6207,0.595,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on scale-invariant feature transform features,n/r,claude_pdf,0.6207,0.5906,0.6500,0.5950,0.5702,0.6194,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,AlexNet,759,264,363,1168,1023,1531,0.7419,0.7629,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,AlexNet CNN,n/r,claude_pdf,0.7419,0.7143,0.7678,0.7629,0.7410,0.7835,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,VGG16,781,242,301,1230,1023,1531,0.7634,0.8034,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,VGG16 CNN,n/r,claude_pdf,0.7634,0.7364,0.7885,0.8034,0.7827,0.8225,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,Inception_v3,795,228,335,1196,1023,1531,0.7771,0.7812,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Inception v3 CNN,n/r,claude_pdf,0.7771,0.7506,0.8016,0.7812,0.7598,0.8012,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,CNN (Raghavendra et al.),729,294,458,1073,1023,1531,0.7126,0.7008,n/r,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Eighteen-layer CNN (Raghavendra 2018),n/r,claude_pdf,0.7126,0.6841,0.7395,0.7008,0.6774,0.7233,1023,1531,2015-19,large,Asia,internal,expert_clinical,unclear,deep learning
Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,Automated System (cascade-forward neural network),121,48,41,104,169,145,0.716,0.7172,0.792,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Cascade-forward neural network with topographic ONH features (CDR, cup/disc area ratio, PPA, RNFL defect, optic disc structural clustering, cup symmetry)",Selected to match average specialist sensitivity (0.716),claude_pdf,0.7160,0.6438,0.7786,0.7172,0.6391,0.7842,169,145,2015-19,medium,Asia,external,expert_clinical,unclear,deep learning
Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-A (glaucoma specialist, image-based grading)",117,52,22,123,169,145,0.6923,0.8483,n/r,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Specialist-A (glaucoma specialist, image-based grading)",n/r,claude_pdf,0.6923,0.6191,0.7570,0.8483,0.7810,0.8976,169,145,2015-19,medium,Asia,external,expert_clinical,unclear,human reader
Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-B (glaucoma specialist, image-based grading)",127,42,28,117,169,145,0.7515,0.8069,n/r,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Specialist-B (glaucoma specialist, image-based grading)",n/r,claude_pdf,0.7515,0.6812,0.8106,0.8069,0.7351,0.8629,169,145,2015-19,medium,Asia,external,expert_clinical,unclear,human reader
Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-C (glaucoma specialist, image-based grading)",118,51,21,124,169,145,0.6982,0.8552,n/r,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Specialist-C (glaucoma specialist, image-based grading)",n/r,claude_pdf,0.6982,0.6252,0.7624,0.8552,0.7887,0.9033,169,145,2015-19,medium,Asia,external,expert_clinical,unclear,human reader
Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-D (glaucoma specialist, image-based grading)",130,39,26,119,169,145,0.7692,0.8207,n/r,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Specialist-D (glaucoma specialist, image-based grading)",n/r,claude_pdf,0.7692,0.7002,0.8263,0.8207,0.7502,0.8746,169,145,2015-19,medium,Asia,external,expert_clinical,unclear,human reader
Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Original,92,16,17,214,108,231,0.8519,0.9264,0.960 (0.936-0.978),image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,"EfficientNetV2-M (baseline, no preprocessing)",Youden index (sens >=80% constraint),claude_pdf,0.8519,0.7728,0.9067,0.9264,0.8853,0.9535,108,231,2025+,medium,Asia,external,multimodal_objective,unclear,deep learning
Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Green Channel,86,22,15,216,108,231,0.7963,0.9351,0.968 (0.950-0.983),image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M with green-channel extraction,Youden index (sens >=80% constraint),claude_pdf,0.7963,0.7108,0.8615,0.9351,0.8956,0.9603,108,231,2025+,medium,Asia,external,multimodal_objective,unclear,deep learning
Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Preprocessing,102,6,39,192,108,231,0.9444,0.8312,0.959 (0.937-0.977),image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M with green-channel + CLAHE + unsharp masking,Youden index (sens >=80% constraint),claude_pdf,0.9444,0.8841,0.9743,0.8312,0.7775,0.8740,108,231,2025+,medium,Asia,external,multimodal_objective,unclear,deep learning
Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Segmentation,100,8,41,190,108,231,0.9259,0.8225,0.941 (0.911-0.967),image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M classifier + DeepLabV3+ (MobileNet-V2) ROI segmentation,Youden index (sens >=80% constraint),claude_pdf,0.9259,0.8606,0.9620,0.8225,0.7681,0.8664,108,231,2025+,medium,Asia,external,multimodal_objective,unclear,deep learning
Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Weighted,101,7,38,193,108,231,0.9352,0.8355,0.963 (0.942-0.980),image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M classifier + DeepLabV3+ weighted ROI (50% down-weight outside ROI),Youden index (sens >=80% constraint),claude_pdf,0.9352,0.8722,0.9683,0.8355,0.7823,0.8777,108,231,2025+,medium,Asia,external,multimodal_objective,unclear,deep learning
Cho (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Cho (2024).pdf,04_fulltext/pdfs/Cho (2024).pdf,Attention-based multi-input CNN (ResU-Net + Hough),70,2,10,62,72,72,0.9722,0.8611,0.91,image,fundus,expert ophthalmologist,Asia,internal,cross-sectional,no,confirmed,unspecified,n/r,0.5,CNN multi-input with attention (ResU-Net vessel + Hough optic disc + preprocessed fundus),n/r,claude_pdf,0.9722,0.9043,0.9923,0.8611,0.7629,0.9228,72,72,2020-24,small,Asia,internal,expert_clinical,unclear,deep learning
Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,3D CNN (Stanford test),390,63,53,188,453,241,0.8609,0.7801,0.91 (95% CI 0.90-0.92),image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),max F2 on validation set,claude_pdf,0.8609,0.8260,0.8898,0.7801,0.7236,0.8278,453,241,2020-24,medium,mixed,external,multimodal_objective,unclear,deep learning
Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,3D CNN (Hong Kong),700,259,180,486,959,666,0.7299,0.7297,0.80 (95% CI 0.78-0.82),image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),max F2 on validation set,claude_pdf,0.7299,0.7009,0.7571,0.7297,0.6948,0.7621,959,666,2020-24,large,mixed,external,multimodal_objective,unclear,deep learning
Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,3D CNN (India),429,32,61,150,461,211,0.9306,0.7109,0.94 (95% CI 0.93-0.96),image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),max F2 on validation set,claude_pdf,0.9306,0.9037,0.9504,0.7109,0.6464,0.7679,461,211,2020-24,medium,mixed,external,multimodal_objective,unclear,deep learning
Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,3D CNN (Nepal),175,47,33,125,222,158,0.7883,0.7911,0.87 (95% CI 0.85-0.90),image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),max F2 on validation set,claude_pdf,0.7883,0.7299,0.8369,0.7911,0.7212,0.8472,222,158,2020-24,medium,mixed,external,multimodal_objective,unclear,deep learning
Chuter (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Chuter (2026).pdf,04_fulltext/pdfs/Chuter (2026).pdf,RETFound CFP unimodal,1178,1328,81,1535,2506,1616,0.4701,0.9499,0.86 (0.81-0.89),image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,"RETFound (SSL foundation model, ViT) fine-tuned on CFP",95% specificity,claude_pdf,0.4701,0.4506,0.4896,0.9499,0.9381,0.9595,2506,1616,2025+,large,non-Asia,internal,expert_clinical,unclear,deep learning
