Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
An (2019),2019,"#8 Combination of #1, #2, and #4 (disc OCT data with fundus image)",VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,multimodal,ONH/RNFL
An (2019),2019,"#9 Combination of #1, #2, and #3",VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,multimodal,ONH/RNFL and macula/GCC
An (2019),2019,"#10 Combination of #2, #3, #4, and #5 (images from OCT data)",VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,OCT,ONH/RNFL and macula/GCC
An (2019),2019,#11 Combination of all images,VGG19 feature vectors combined by random forest,3,n/r,internal,Unanimous diagnosis by three ophthalmologists,n/r,eye,multimodal,ONH/RNFL and macula/GCC
Chai (2018),2018,MB-NN,Multi-branch neural network combining CNN branches for whole fundus image and optic disc region with fully connected domain-knowledge feature branch,n/r,n/r,internal,Hospital diagnosis result/case report,"sigmoid probability, cutoff n/r",image,fundus,ONH
Chakrabarty (2016),2016,Automated glaucoma classification system,"cascade-forward neural network using optic disc/cup segmentation, CDR, cup-to-disc area ratio, PPA, RNFL defect, optic disc changes, cup symmetry, and low-level structural features",n/r,n/r,internal,clinical reference standard based on consensus masked clinical examination by 2 independent glaucoma specialists,selected threshold; sensitivity 0.716 and specificity 0.717,eye,fundus,ONH
Cao (2023),2023,AI-based fundus screening system for referable glaucoma,transfer learning algorithm; architecture n/r,2,>20,external,Gold standard referral by ophthalmic chief clinicians using international diagnostic criteria,n/r,image,fundus,ONH
Buisson (2021) SR,2021,Deep learning pooled,Pegasus; ResNet50; Inception-V3; ResNet18/VGG-16; ResNet34,n/r,n/r,n/r,mixed: online datasets or clinician diagnosis; OCT plus repeatable abnormal visual field in one study,n/r,eye,fundus,ONH
Buisson (2021) SR,2021,Ophthalmologists pooled,n/r,38,n/r,n/r,mixed: online datasets or clinician diagnosis; OCT plus repeatable abnormal visual field in one study,n/r,eye,fundus,ONH
Chang (2023),2023,Proposed transfer learning model,VGG19-based classifier trained with generated OCT images then retrained with real OCT images,2,n/r,internal,two glaucoma physicians labeled OCT images as glaucoma or not,0.5,image,OCT generated from fundus plus real OCT,ONH
Chang (2023),2023,Trained by real OCT,VGG19-based classifier,2,n/r,internal,two glaucoma physicians labeled OCT images as glaucoma or not,0.5,image,OCT,ONH
Chang (2023),2023,Trained by generated OCT,VGG19-based classifier using GAN-generated OCT images,2,n/r,internal,two glaucoma physicians labeled OCT images as glaucoma or not,0.5,image,OCT generated from fundus,ONH
Chang (2023),2023,Initial model before incremental training,VGG19-based classifier,n/r,n/r,internal,fundus images labeled by glaucoma physicians,0.5,image,fundus-derived generated OCT,ONH
Chang (2023),2023,Incremental model,VGG19-based classifier with frozen feature extraction and incremental fine-tuning,n/r,n/r,internal,fundus images labeled by glaucoma physicians,0.5,image,fundus-derived generated OCT,ONH
Cho (2024),2024,Our Model,"multi-input CNN with attention using preprocessed fundus image, retinal vessel data, and optic disc data",n/r,n/r,internal,diagnoses made by ophthalmologists in the ODIR dataset,n/r,image,fundus,ONH
Christopher (2020),2020,UCSD original,ResNet50,n/r,n/r,internal,DIGS/ADAGES expert grading,n/r,image,fundus,ONH
Christopher (2020),2020,UCSD sequential,ResNet50,n/r,n/r,external,MRCH expert grading,n/r,image,fundus,ONH
Christopher (2020),2020,UCSD combined,ResNet50,n/r,n/r,internal,combined DIGS/ADAGES and MRCH expert grading,n/r,image,fundus,ONH
Christopher (2020),2020,UTokyo original,ResNet34,n/r,n/r,internal,MRCH expert grading,n/r,image,fundus,ONH
Christopher (2020),2020,UTokyo sequential,ResNet34,n/r,n/r,external,DIGS/ADAGES expert grading,n/r,image,fundus,ONH
Christopher (2020),2020,UTokyo combined,ResNet34,n/r,n/r,internal,combined MRCH and DIGS/ADAGES expert grading,n/r,image,fundus,ONH
Noury (2022),2022,Stanford test set,3D CNN with dense convolutional blocks,n/r,n/r,internal,glaucoma fellowship-trained ophthalmologist chart review with arbitration by senior glaucoma specialist when needed,validation-set threshold maximizing F2 score,eye,SD-OCT,ONH
Noury (2022),2022,Hong Kong external dataset,3D CNN with dense convolutional blocks,2,n/r,external,two glaucoma specialists graded SD-OCT scans with visual field results; glaucoma defined by RNFL defects correlating with VF defects,validation-set threshold maximizing F2 score,eye,SD-OCT,ONH
Noury (2022),2022,India external dataset,3D CNN with dense convolutional blocks,n/r,>10,external,glaucoma specialists labeled cases into glaucoma and normal using same criteria as Stanford training dataset,validation-set threshold maximizing F2 score,eye,SD-OCT,ONH
Noury (2022),2022,Nepal external dataset,3D CNN with dense convolutional blocks,n/r,>10,external,glaucoma specialists labeled cases into glaucoma and normal using same criteria as Stanford training dataset,validation-set threshold maximizing F2 score,eye,SD-OCT,ONH
Chen (2025),2025,TVGH-Original - internal TVGH test set,EfficientNetV2-M transfer learning classifier on original color fundus images,n/r,n/r,internal,"Glaucoma specialist diagnosis based on ONH changes, visual field, and RNFL OCT",Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Original - external datasets,EfficientNetV2-M transfer learning classifier on original color fundus images,n/r,n/r,external,Expert consensus or dataset labels; CHGH reviewed using clinical information,Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Green Channel - internal TVGH test set,EfficientNetV2-M transfer learning classifier on green-channel fundus images,n/r,n/r,internal,"Glaucoma specialist diagnosis based on ONH changes, visual field, and RNFL OCT",Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Green Channel - external datasets,EfficientNetV2-M transfer learning classifier on green-channel fundus images,n/r,n/r,external,Expert consensus or dataset labels; CHGH reviewed using clinical information,Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Preprocessing - internal TVGH test set,"EfficientNetV2-M transfer learning classifier after green-channel extraction, CLAHE, and unsharp masking preprocessing",n/r,n/r,internal,"Glaucoma specialist diagnosis based on ONH changes, visual field, and RNFL OCT",Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Preprocessing - external datasets,"EfficientNetV2-M transfer learning classifier after green-channel extraction, CLAHE, and unsharp masking preprocessing",n/r,n/r,external,Expert consensus or dataset labels; CHGH reviewed using clinical information,Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Segmentation - internal TVGH test set,DeepLabV3+ with MobileNetV2 backbone for ONH/RNFL ROI segmentation plus EfficientNetV2-M classifier,n/r,n/r,internal,"Glaucoma specialist diagnosis based on ONH changes, visual field, and RNFL OCT",Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Segmentation - external datasets,DeepLabV3+ with MobileNetV2 backbone for ONH/RNFL ROI segmentation plus EfficientNetV2-M classifier,n/r,n/r,external,Expert consensus or dataset labels; CHGH reviewed using clinical information,Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Weighted - internal TVGH test set,"DeepLabV3+ MobileNetV2 ROI segmentation with weighted image generation, followed by EfficientNetV2-M classifier",n/r,n/r,internal,"Glaucoma specialist diagnosis based on ONH changes, visual field, and RNFL OCT",Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chen (2025),2025,TVGH-Weighted - external datasets,"DeepLabV3+ MobileNetV2 ROI segmentation with weighted image generation, followed by EfficientNetV2-M classifier",n/r,n/r,external,Expert consensus or dataset labels; CHGH reviewed using clinical information,Youden index optimized threshold from validation set with sensitivity >=80%; exact cutoff n/r,image,fundus,ONH/RNFL
Chuter (2026),2026,Unimodal CFP RETFound,self-supervised RETFound foundation model with added fully connected sigmoid classification layer,n/r,n/r,internal,photograph-based glaucomatous optic neuropathy with or without repeatable glaucomatous visual field damage,"AUC; precision and recall at 80%, 90%, and 95% specificity",eye,fundus,ONH
Chuter (2026),2026,Unimodal OCT RETFound,self-supervised RETFound foundation model with added fully connected sigmoid classification layer,n/r,n/r,internal,photograph-based glaucomatous optic neuropathy with or without repeatable glaucomatous visual field damage,"AUC; precision and recall at 80%, 90%, and 95% specificity",eye,OCT,ONH/RNFL
Chuter (2026),2026,Multimodal CFP + OCT RETFound,two RETFound unimodal feature extractors with concatenated outputs and additional fully connected classification layers,n/r,n/r,internal,photograph-based glaucomatous optic neuropathy with or without repeatable glaucomatous visual field damage,"AUC; precision and recall at 80%, 90%, and 95% specificity",eye,multimodal,ONH/RNFL
Bowd (2023),2023,Texture-based en face image,Single-modal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,OCT,ONH/RNFL
Bowd (2023),2023,RNFL thickness map,Single-modal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,OCT,RNFL
Bowd (2023),2023,SLO image,Single-modal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,SLO,ONH
Bowd (2023),2023,Texture and RNFL thickness,Multimodal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,OCT,ONH/RNFL
Bowd (2023),2023,RNFL thickness and SLO images,Multimodal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,multimodal,ONH/RNFL
Bowd (2023),2023,Texture and SLO images,Multimodal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,multimodal,ONH/RNFL
Bowd (2023),2023,"Texture, RNFL thickness, and SLO images",Multimodal VGG-16 DL,n/r,n/r,internal,DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage,AUROC; sensitivities at 80% and 95% specificity,eye,multimodal,ONH/RNFL
Gomez-Valverde (2019),2019,VGG19 TL,VGG19 transfer learning with fine tuning,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,VGG19,VGG19 full training,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,RESNET TL,ResNet50 transfer learning with fine tuning,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,RESNET,ResNet50 full training,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,GOOGLENET TL,GoogLeNet transfer learning with fine tuning,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,GOOGLENET,GoogLeNet full training,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,DENET DISC TL,"Disc-aware ensemble network, optic-disc model, transfer learning",n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,DENET DISC,"Disc-aware ensemble network, optic-disc model, full training",n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Gomez-Valverde (2019),2019,STANDARD CNN,custom standard CNN,n/r,n/r,internal,specialist classification / consensus gold standard ophthalmologist evaluation,Youden index,image,fundus,ONH
Elangovan (2022),2022,En-ConvNet ensemble,"stacking ensemble of pre-trained CNNs with probability averaging and SVM classifier; candidate architectures included AlexNet, GoogLeNet, VGG-16, VGG-19, SqueezeNet, ResNet-18, ResNet-50, ResNet-101, EfficientNet-b0, MobileNet-v2, DenseNet-201, Inception-v3, Xception",n/r,n/r,internal,public retinal database labels,n/r,image,fundus,ONH
Sivakumar (2025),2025,ViT + ResNet50,Vision Transformer plus ResNet50 hybrid model,n/r,n/r,internal,dataset labels,0.5,image,fundus,ONH
Sivakumar (2025),2025,Fine-tuned OWL-ViT + ResNet50,Object-Window-Location Vision Transformer plus ResNet50 hybrid model,n/r,n/r,internal,dataset labels,0.5,image,fundus,ONH
Sivakumar (2025),2025,Fine-tuned Swin Transformer + ResNet50,Swin Transformer plus ResNet50 hybrid model with clinical biomarker fusion,n/r,n/r,internal,dataset labels,0.5,image,multimodal,ONH
Lin (2022)b,2022,DenseNet-201,DenseNet-201 CNN single-image model,n/r,n/r,internal,reading center grades,n/r,image,fundus,ONH
Lin (2022)b,2022,EfficientNetB0,EfficientNetB0 CNN single-image model,n/r,n/r,internal,reading center grades,n/r,image,fundus,ONH
Lin (2022)b,2022,MobileV2,MobileNetV2 CNN single-image model,n/r,n/r,internal,reading center grades,n/r,image,fundus,ONH
