Study,Claude_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
Mrad (2022),Mrad (2022),2022,Tunisia/France,mixed,research,retrospective,185,96,89,n/r,n/r,fundus,"SVM classifier with vessel-centroid NRR and ISNT features (RBF kernel, gamma=0.1, C=1)","ophthalmologist ground truth (RIAMP); public dataset labels (DRISHTI-DB, DRIONS-DB)",internal,no,any,n/r,,
Lee (2020),Lee (2020),2020,South Korea,Asia,hospital,retrospective,282,86,196,62.5,62.4,OCT,NASNet-based deep learning ensemble classifier (GCIPL thickness map + GCIPL deviation map + RNFL thickness map + RNFL deviation map bottleneck features),"Glaucoma specialist consensus (3 specialists) based on stereo disc photography and red-free RNFL photography, with SAP visual field criteria",internal,no,glaucomatous optic neuropathy,30.5,,
Singh (2021),Singh (2021),2021,India,Asia,research,retrospective,140,70,70,n/r,n/r,fundus,"SVM, KNN, Naive Bayes, ANN (MLP, 20 handcrafted features incl. CDR and ISNT)",DRIONS-DB ground truth labels,internal,no,any,50,,
Gonzalez-Hernandez (2021),Gonzalez-Hernandez (2021),2021,Spain,Europe,hospital,cross-sectional,810,333,477,n/r,n/r,multimodal,"Laguna ONhE (deep learning, ResNet50 + U-Net) GDF index","Composite clinical diagnosis: glaucomatous visual field loss on standard automated perimetry (PSD or MD <5%) plus signs of glaucomatous neuropathy (Laguna ONhE GDF or OCT rim area <5%); suspects defined by IOP >21 mmHg, family history, dubious optic disc, or borderline visual fields",internal,yes,other,41.1,,
Tabei (2025),Tabei (2025),2025,USA,North America,research,cross-sectional,1020,296,724,n/r,n/r,fundus,"SVM with CIE LAB color enhancement and stereo disparity depth mapping (RBF kernel, C=1.0, gamma=0.01)","Clinical diagnosis based on optic nerve head appearance, RNFL defects, IOP, and ISNT rule compliance (G1020 dataset labels)",internal,no,any,29.0,,
Bhuiyan (2021),Bhuiyan (2021),2021,mixed (USA/Singapore/Spain),mixed,research,retrospective,1546,489,1057,n/r,n/r,fundus,"Ensemble of 5 CNNs (Xception 71x71 LCA, Xception 250x250 RGB, Inception-Resnet-V2 200x200, NasNet 150x150, Inception-V3 299x299) + Logistic Model Tree",Manual vertical CDR grading by two trained graders with adjudication; CDR>0.5 = glaucoma suspect,both,yes,other,n/r,,
Thiry (2023),Thiry (2023),2023,Singapore,Asia,hospital,n/r,2773,477,2296,n/r,n/r,OCT,PointNet (geometric deep learning); 3D CNN (Maetschke et al.); RNFL thickness,glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects,internal,yes,glaucomatous optic neuropathy,17.2,,
Buisson (2021) SR,Buisson (2021),2021,France,Europe,mixed,mixed,1392,684,708,n/r,n/r,fundus,"Pegasus, ResNet50, ResNet18, ResNet34, VGG-16, Inception-V3",glaucoma specialists / ORIGA / RIM-ONE / OCT + repeatable visual fields / Duke glaucoma repository,n/r,unclear,glaucomatous optic neuropathy,48,,
Chai (2018),Chai (2018),2018,China,Asia,hospital,n/r,2554,1023,1531,n/r,n/r,fundus,"Multi-branch neural network (MB-NN) combining CNN on whole image, CNN on optic disc region, and FCN-derived domain knowledge features (cup-to-disc ratio, RNFLD, PPA size, disc/cup sizes, non-image clinical features)",Clinical diagnosis from hospital case reports (Beijing Tongren Hospital),internal,no,any,40.05,,
Cao (2023),Cao (2023),2023,China,Asia,hospital,cross-sectional,637,55,582,48.18,51.68,fundus,"Kangrui Intelligent Technology AI-based fundus screening system (transfer learning, RetiCam 3100)","Two ophthalmic chief clinicians (>20 years experience) per international diagnostic criteria, with third adjudicator if disagreement",external,yes,other,8.63,,
Chakrabarty (2016),Chakrabarty (2016),2016,India,Asia,hospital,cross-sectional,314,169,145,n/r,n/r,fundus,"Cascade-forward neural network using topographic ONH features (CDR, cup-to-disc area ratio, PPA, RNFL defect, optic disc changes, cup symmetry)","Consensus of 2 independent glaucoma specialists based on clinical examination (slit-lamp, IOP, gonioscopy, visual field, with OCT/HRT when needed)",external,no,glaucomatous optic neuropathy,53.8,,
Chang (2023),Chang (2023),2023,Taiwan,Asia,hospital,n/r,430,283,147,n/r,n/r,fundus,GAN (fundus-to-OCT generator) + VGG19 classifier with transfer/incremental learning,labeling by two glaucoma physicians at Chang Gung Memorial Hospital,internal,unclear,any,70.1,,
Chen (2025),Chen (2025),2025,Taiwan,Asia,hospital,retrospective,1696,621,1075,n/r,n/r,fundus,"TVGH model (DeepLabV3+ with MobileNet-V2 segmentation + EfficientNetV2-M classifier); variants: Original, Green Channel, Preprocessing, Segmentation, Weighted","Expert consensus based on characteristic ONH changes (elevated CDR, neuroretinal rim thinning/notches) with reproducible visual field defects (Humphrey 24-2 SITA) and RNFL Cirrus HD-OCT for TVGH/CHGH; majority expert opinion for open datasets",both,no,glaucomatous optic neuropathy,36.6,,
Cho (2024),Cho (2024),2024,China,Asia,hospital,retrospective,64,32,32,n/r,n/r,fundus,Attention mechanism-based multi-input CNN (ResU-Net for retinal vessel segmentation + Hough Circle Transform for optic disc extraction),ophthalmologist diagnosis (ODIR dataset labels),internal,no,any,50,,
Christopher (2020),Christopher (2020),2020,USA and Japan (with Spain external),mixed,mixed,mixed,579,211,368,n/r,n/r,fundus,"UCSD ResNet50 and UTokyo ResNet34 deep learning models (original, sequential, and combined training strategies)","Expert grader consensus on stereo fundus photographs (DIGS/ADAGES, two graders with adjudication); unanimous agreement of three glaucoma specialists on fundus plus OCT imaging using Japan Glaucoma Society Guidelines (MRCH, Iinan, Hiroshima); single experienced glaucoma expert review of fundus photographs (ACRIMA)",both,no,glaucomatous optic neuropathy,36.4,,
Thakoor (2021),Thakoor (2021),2021,USA,North America,hospital,n/r,135,57,78,53,n/r,OCT,CNN A (ResNet18 + Random Forest) for RNFL probability maps; CNN B (custom 3-conv-block CNN trained from scratch) and CNN C (ResNet50 + Random Forest) for circumpapillary b-scans,"Single OCT expert (DCH) rating based on full Hood report (RS1), RNFL+RGCP probability maps (RS2), RNFL probability map alone (RS3); or multi-expert consensus using OCT plus visual field information (RS4)",external,yes,glaucomatous optic neuropathy,42.2,,
Noury (2022),Noury (2022),2022,"USA, Hong Kong, India, Nepal",mixed,hospital,retrospective,3371,2095,1276,n/r,n/r,OCT,"3D convolutional neural network (DenseNet-like architecture, similar to De Fauw et al.)",Multimodal clinical diagnosis: glaucomatous disc changes on fundus exam + localized RNFL/GCIPL OCT defects correlating with VF defects meeting Hodapp-Anderson-Parrish criteria + IOP-lowering treatment,both,no,glaucomatous optic neuropathy,62.1,,
Chuter (2026),Chuter (2026),2026,USA,North America,research,retrospective,1098,668,430,60.3,58.8,multimodal,"RETFound (unimodal CFP, unimodal OCT, multimodal CFP+OCT)",CFP-based glaucomatous optic neuropathy by 2 expert graders with adjudication,internal,unclear,glaucomatous optic neuropathy,60.8,,
Gomez-Valverde (2019),Gómez-Valverde (2019),2019,Spain,Europe,mixed,cross-sectional,2313,494,1819,n/r,n/r,fundus,Standard CNN; VGG19 (full training and transfer learning); ResNet50 (full training and transfer learning); GoogLeNet (full training and transfer learning); DENet Disc (full training and transfer learning),Specialist consensus (ESPERANZA: double evaluation by expert ophthalmologists with consensus by two glaucoma experts in case of disagreement; RIM-ONE and DRISHTI-GS: clinical expert classification),internal,no,any,21.4,,
Bowd (2023),Bowd (2023),2023,USA,North America,research,cross-sectional,593,463,130,n/r,n/r,OCT,VGG-16 multimodal CNN (texture en face + RNFL thickness map + SLO),Stereo photograph-based glaucomatous optic disc damage plus standard automated perimetry (DIGS criteria),internal,unclear,POAG,78.1,,
Elangovan (2022),Elangovan (2022),2022,India,Asia,research,retrospective,23171,11753,11418,n/r,n/r,fundus,"En-ConvNet (stacking ensemble of top-3 from 13 pre-trained CNNs: Alexnet, Googlenet, VGG-16, VGG-19, Squeezenet, Resnet-18/50/101, Efficientnet-b0, Mobilenet-v2, Densenet-201, Inception-v3, Xception; SVM final classifier)",n/r,internal,no,glaucomatous optic neuropathy,n/r,,
Sivakumar (2025),Sivakumar (2025),2025,USA,North America,research,retrospective,2874,1120,1754,n/r,n/r,fundus,Swin Transformer + ResNet50 (also ViT+ResNet50 and OWL-ViT+ResNet50); clinical biomarkers via Random Forest fused at feature level,dataset-provided labels (SMDG-19 compiled public datasets; PAPILA clinical labels),internal,no,any,38.97,,
Eswari (2024),Eswari (2024),2024,India,Asia,research,retrospective,1465,296,724,n/r,n/r,fundus,TernausNet + FRCNN; AFRCNN (adaptive gradient optimizer FRCNN); AAASVM (artificial algae algorithm-optimized SVM replacing Softmax),n/r,both,no,n/r,29.0,,
Lin (2022)b,Lin (2022),2022,USA; China,mixed,research,retrospective,37304,2438,34866,n/r,n/r,fundus,POAGNet (Siamese DenseNet-201),"OHTS Optic Disc Reading Center grading by masked certified readers (test-retest k=0.70); SIG binary glaucoma labels based on retinal nerve fiber layer defect, rim loss, or optic disc hemorrhage",both,no,POAG,6.5,,
Camacho-Garcia-Forment (2025),Camacho-Garcia-Forment (2025),2025,Mexico,North America,hospital,prospective,245,46,199,59.1,66.0,fundus,retinIA v3.3.1 (Inception V3 multi-output classifier + U-Net optic disc/cup segmentation for CDR),Average CDR annotated by three ophthalmologists on LinkedAI platform; glaucoma suspect defined as CDR ≥ 0.6 or interocular CDR difference > 0.2 (Harizman criteria),external,yes,glaucomatous optic neuropathy,18.8,,
Fu (2018),Fu (2018),2018,Singapore,Asia,screening,cross-sectional,7459,159,7300,n/r,n/r,fundus,DENet (Disc-aware Ensemble Network),n/r,external,unclear,any,2.13,,
Gaddipati (2021),Gaddipati (2021),2022,India,Asia,research,retrospective,568,170,398,n/r,n/r,multimodal,Fefu model (Fundus-to-OCT feature space mapping; Capsule network + CGAN + fine-tuned VGG-19),"eye/image-level diagnosis from source datasets (Private-1, Drishti-GS1, RIM-ONE v3, REFUGE, sjchoi86-HRF, Private-2)",both,no,any,29.9,,
Garcia (2021),Garcia (2021),2021,Spain,Europe,hospital,n/r,320,144,176,50.13,55.50,OCT,RAGNet-VGG16 + LSTM + Sequential-Weighting Module (SWM),"Expert ophthalmologist diagnosis per European Glaucoma guideline (IOP, gonioscopy, optic nerve head assessment, Standard Automated Perimetry with Octopus, OCT+HRT RNFL/GCL thickness)",internal,no,any,45.0,,
Govindharaj (2025),Govindharaj (2025),2025,India,Asia,research,cross-sectional,650,168,482,n/r,n/r,fundus,GWOA-optimized U-Net++ with CapsNet,n/r,internal,no,any,25.8,,
Sharma (2025),Sharma (2025),2025,Japan,Asia,mixed,retrospective,11296,529,10767,n/r,n/r,fundus,AI-GS network (multi-model: MTL_LWBNA-unet + LWBNA-unet segmentation + DH classifier + RNFLD classifier + cupping FFCN),"Clinical diagnosis by ophthalmologists using OCT, fundus photography, visual field, and IOP measurements (Tohoku University Hospital); screening ophthalmologist labeling for Miyagi dataset",both,yes,any,4.68,,
Sangeethaa (2023),Sangeethaa (2023),2023,India,Asia,mixed,cross-sectional,2937,897,2040,n/r,n/r,fundus,Hybrid PolyNet (with U-Net for blood vessel segmentation),ophthalmologist labels (dataset ground truth),external,no,any,30.5,,
Guo (2022),Guo (2022),2022,China,Asia,research,retrospective,9043,4211,4071,n/r,n/r,fundus,DSLN (Dual-tutor student learning network) with modified ResNet50 backbone and Faster R-CNN optic disc localization,image-level glaucoma labels from public datasets (ophthalmologist annotations),external,no,any,n/r,,
Haider (2022),Haider (2022),2022,South Korea,Asia,research,retrospective,n/r,n/r,n/r,n/r,n/r,fundus,SLSR-Net (separable linked segmentation residual network); SLS-Net; ResNet-18; ResNet-50,"expert annotations from public dataset ground truth (Drishti-GS, REFUGE, Rim-One-r3, Drions-DB)",internal,no,glaucomatous optic neuropathy,n/r,,
Juneja (2022),Juneja (2022),2022,India,Asia,research,n/r,1110,847,263,n/r,n/r,OCT,Fused framework (k-NN + SVM + RF + 3D-CNN) with Major Voting and Weighted Decision Fusion,n/r,internal,no,POAG,76.3,,
Bajwa (2019),Bajwa (2019),2019,Germany,Europe,research,retrospective,650,168,482,n/r,n/r,fundus,Two-stage faster RCNN (optic disc localization) + Deep CNN (4 conv + 3 FC layers) for glaucoma classification,ORIGA dataset labels (manual annotation by experts),internal,no,any,25.85,,
Hassan (2019),Hassan (2019),2019,South Korea,Asia,hospital,retrospective,220,165,55,n/r,n/r,fundus,"VGG-16, ResNet-152, Inception-v4 (CNN; ResNet-152-M best)",ophthalmologist labeling at Samsung Medical Center,both,no,glaucomatous optic neuropathy,75.0,,
Hemelings (2020),Hemelings (2020),2020,Belgium,Europe,mixed,retrospective,354,254,100,n/r,n/r,fundus,ResNet-50 CNN with transfer learning and active learning (uncertainty sampling),"Full ophthalmologic examination including OCT (Spectralis) or confocal scanning laser ophthalmoscopy (HRT), Goldmann applanation tonometry, and visual field testing (Humphrey/Octopus); ICD-standard glaucoma diagnosis by glaucoma experts at UZ Leuven",internal,no,any,71.75,,
Hung (2022),Hung (2022),2022,Taiwan,Asia,hospital,cross-sectional,421,131,290,n/r,50,fundus,CNN with EfficientNet-b0 pre-trained on ImageNet (via MAIA AutoDL API),"Anderson's visual field criteria (cupping, RNFL defect on colour/red-free fundus or OCT, and glaucomatous VF defect)",internal,yes,glaucomatous optic neuropathy,31.1,,
Pascal (2022),Pascal (2022),2022,France,Europe,research,retrospective,1200,n/r,n/r,n/r,n/r,fundus,"MTL-IO (multi-task U-Net with VGG-16 backbone and independent optimizers); baselines STL, Vanilla MTL, GradNorm, PCGrad, Res34-Unet",human expert binary glaucoma annotation (REFUGE ground truth),internal,unclear,any,10,,
Singh (2023),Singh (2023),2023,India,Asia,research,retrospective,1850,n/r,n/r,n/r,n/r,fundus,"PSO, ABC, BCS, and 2-layered PSO-ABC feature selection combined with RF, SVM, and Ensemble classifiers",n/r,internal,no,any,n/r,,
Hwang (2023),Hwang (2023),2023,mixed,mixed,research,retrospective,3142,988,2154,n/r,n/r,fundus,Vision Transformer (ViT) and ResNet-50 CNN,"Expert labeling / clinical annotations (varies by dataset; ORIGA algorithm-based, sjchoi86-HRF unknown)",internal,yes,glaucomatous optic neuropathy,31.4,,
Al-Aswad (2019),Al-Aswad (2019),2019,Singapore,Asia,research,retrospective,100,50,50,58,n/r,fundus,Pegasus (Visulytix),"SiMES clinical diagnosis (Goldmann applanation tonometry, visual field, slit lamp biomicroscopy, optic disc imaging, digital lens photography)",external,yes,glaucomatous optic neuropathy,50,,
Akter (2022),Akter (2022),2022,Australia,Oceania,research,retrospective,255,125,130,55.3,41,OCT,"Custom deep learning (4-layer sequential NN on 4 features: MD, PSD, RNFL, CDR); Logistic regression; Proposed CNN (24-layer) on segmented ONH cup B-scans; ResNet18; VGG16",Clinical diagnosis with glaucoma staging per Mills et al. criteria,internal,no,POAG,49,,
Jan (2025),Jan (2025),2025,Australia,Oceania,community,prospective,277,15,257,64.8,44.4,fundus,"Deep learning glaucoma algorithm (Inception-v3, Li et al. 2018; Eyetelligence)",Manual grading by two AHPRA-registered optometrists with ophthalmologist adjudication,external,yes,glaucomatous optic neuropathy,5.42,,
Jan (2024),Jan (2024),2024,UK,Europe,research,retrospective,900,294,606,n/r,n/r,fundus,Inception-v3 CNN (Li et al. 2018),"Consensus grade by 2 board-certified glaucoma specialists, 3rd specialist adjudicator for discrepancies",external,yes,glaucomatous optic neuropathy,32.7,,
Sun (2021),Sun (2021),2021,Japan,Asia,hospital,retrospective,954,798,156,n/r,n/r,OCT,"VGG-16 CNN with hierarchical classification and hierarchy transfer learning (HC & HTL), stacking ensemble of projection, en face, disc H B-scan, disc V B-scan inputs",labels by two glaucoma specialists (discordant cases excluded); Nicolela classification for sub-types,internal,yes,glaucomatous optic neuropathy,83.6,,
Hernandez (2026),Hernández (2026),2026,Spain,Europe,mixed,n/r,739,n/r,n/r,n/r,n/r,fundus,SpxViT_fix; SpxViT_var; ViT-B/16; SPiT,"Ophthalmologist diagnosis using cup-to-disc ratio >0.7, intraocular pressure >22 mmHg, reproducible focal defects on white-on-white perimetry, and structural optic nerve head abnormalities (neuroretinal rim thinning/notching)",internal,no,glaucomatous optic neuropathy,49.3,,
Kanwar (2026),Kanwar (2026),2026,India,Asia,research,retrospective,212,80,132,n/r,n/r,fundus,Energy Mask R-CNN + Cyclic Code-based LSTM (CC-LSTM),"Expert annotations from benchmark datasets (ORIGA, REFUGE, G1020)",both,no,any,37.7,,
Sanghavi (2024),Sanghavi (2024),2024,India,Asia,research,cross-sectional,3115,1151,1964,n/r,n/r,fundus,Proposed 13-layer CNN (SLIC + normalized graph cut segmentation); VGG19; InceptionV3; ResNet50V2,n/r,internal,no,any,36.95,,
Kim (2020),Kim (2020),2020,South Korea,Asia,hospital,retrospective,2602,2058,544,n/r,n/r,OCT,VGG-19 deep CNN (custom; also compared with ResNet-34),Consensus diagnosis by two glaucoma specialists based on disc/RNFL photographs and visual fields,both,no,POAG,79.1,,
Zheng (2020),Zheng (2020),2019,China,Asia,hospital,prospective,102,50,52,50.70 (glaucoma) / 53.57 (normal),39.2,OCT,Inception-V3 CNN (deep learning with ImageNet transfer learning); comparator hand-crafted pRNFL thickness features extracted by ASAP/ImageJ software,"Clinical diagnosis: glaucomatous optic nerve head appearance on color fundus photographs (cupping, peripapillary atrophy, neuroretinal rim notching, RNFL wedge defects, disc hemorrhage), regardless of presence or absence of glaucomatous visual field defects",internal,unclear,glaucomatous optic neuropathy,49.0,,
Chaurasia (2025),Chaurasia (2025),2025,multinational,mixed,mixed,retrospective,18468,7568,10900,n/r,n/r,fundus,vgg19_bn (VGG19 with batch normalisation; selected from 20 pre-trained CNN architectures),"heterogeneous dataset labels (5 datasets — ACRIMA, REFUGE1, LAG, KEH, PAPILA — based on comprehensive clinical examination; remaining datasets used fundus image-based labels or unspecified criteria)",both,no,glaucomatous optic neuropathy,41.0,,
Kulkarni (2025),Kulkarni (2025),2025,India,Asia,research,cross-sectional,20000,n/r,n/r,n/r,n/r,fundus,OGFA+CNN (Optimized Graph Filter Augmentation + Hierarchical CNN),n/r,internal,no,other,n/r,,
Ko (2022),Ko (2022),2022,Taiwan,mixed,hospital,retrospective,1658,827,831,n/r,n/r,fundus,"EfficientNet B3 CNN (TVGH core model; DRISHTI-GS1-, RIM-ONE r2-, CHGH-specific fine-tuned models; integrated model)",TVGH/CHGH: expert consensus with visual field (Humphrey 24-2) and Cirrus OCT plus ONH evaluation; DRISHTI-GS1/RIM-ONE r2: majority opinion of experts (dataset-provided ground truth),both,no,POAG,49.9,,
Lau (2025),Lau (2025),2025,USA,North America,mixed,n/r,629,233,396,n/r,n/r,OCT,"ResNet-50 (ImageNet-pretrained, fine-tuned on Hood OCT wide-field reports); DLM Index","OCT reading center (Hood report) labels by OCT experts for Pattern ON-G; clinical diagnosis by clinicians using OCT, 24-2 visual fields, fundus photos, and clinical exam for Clear-G; commercial normative RDB (visual fields, fundus photos, history, clinical exam) for H-test",internal,yes,glaucomatous optic neuropathy,37.0,,
Qiu (2025),Qiu (2025),2025,China,Asia,hospital,retrospective,1054,n/r,n/r,n/r,n/r,multimodal,"Multidimensional imaging CNN ensemble (Swin_base_patch4_window7_224_in22k, Inception ResNet V2, Inception V3, Xception) combining fundus photographs, RNFL/GCIPL deviation maps and RNFL/GCIPL thickness maps with back-end mean fusion","Clinical POAG diagnosis based on fundus photography, OCT, standard automated perimetry (Humphrey visual field) and medical history per POAG criteria (structural optic nerve/RNFL damage plus reproducible visual field defects, open angles, adult onset)",internal,no,POAG,n/r,,
El-Nimri (2023),El-Nimri (2023),2023,USA,North America,research,cross-sectional,476,382,94,n/r,56.7,OCT,Spectralis OCT (Heidelberg) Glaucoma Module Premium Edition reference-database percentile criteria for RNFLT and BMO-MRW,Glaucomatous VF damage on Humphrey 24-2 SITA (≥2 consecutive reliable abnormal tests with PSD outside 95% limits or GHT outside 99% limits),none,yes,glaucomatous optic neuropathy,80.3,,
Rogers (2019),Rogers (2019),2019,Netherlands,Europe,hospital,retrospective,94,48,46,n/r,n/r,fundus,Pegasus v1.0 (Visulytix Ltd.),"Clinical diagnosis by glaucoma specialists based on optic disc appearance and reproducible visual field defects matching the disc appearance, with additional clinical information (IOP, family history)",external,yes,glaucomatous optic neuropathy,51.06,,
Shibata (2018),Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,61,49,n/r,58.2,fundus,"ResNet (18-layer deep residual learning); comparators: VGG16-like CNN, Support Vector Machine, Random Forest","Consensus diagnosis by three glaucoma-specialist ophthalmologists based on fundus photographs and spectral-domain OCT (cpRNFLT, mIRT, vC/D) findings",both,yes,POAG,55.5,,
Wang (2020),Wang (2020),2020,China; USA,mixed,hospital,retrospective,967,600,367,n/r,n/r,OCT,"2D-ResNet-SEMT (semi-supervised multi-task learning network, ResNet18 backbone)",consensus diagnosis by two glaucoma specialists (>10y experience) using VF test results and clinical records; senior expert adjudicated disagreements,both,unclear,glaucomatous optic neuropathy,62.0,,
Li (2021),Li (2021),2021,China; Japan,Asia,mixed,retrospective,17699,3553,14146,55.8,48.5,fundus,InceptionResNetV2 deep learning CNN (ultra-widefield fundus),"Consensus label by three board-certified glaucoma specialists (5/7/8 years experience); disputed images arbitrated by a senior glaucoma specialist with >20 years experience. Referable GON defined by VCDR >=0.7, rim width <=0.1 disc diameter, RNFL defect/localised notches, or disc splinter haemorrhages.",both,yes,glaucomatous optic neuropathy,20.1,,
Li (2022),Li (2022),2022,China,Asia,hospital,prospective,1585,368,1217,53.19,43.22,fundus,Baidu automated fundus screening algorithm (DenseNet-121 + bilinear pooling),"Two certified ophthalmologists (6 and 10 years) independently grading fundus images, arbitrated by senior ophthalmologist with 19 years when disagreement",both,yes,glaucomatous optic neuropathy,23.2,,
Wei (2025),Wei (2025),2025,China,Asia,hospital,retrospective,6152,296,5856,n/r,50.4,fundus,Comprehensive AI Retinal Expert (CARE) system; Airdoc AI-FD16aF non-mydriatic fundus camera,Double-blind reading by two associate chief ophthalmologists specializing in retinal diseases; disagreements adjudicated by a third chief ophthalmologist,external,unclear,other,4.81,,
Liao (2020),Liao (2020),2020,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,EAMNet,manual labels / clinical glaucoma diagnoses (ORIGA ground truth),internal,no,glaucomatous optic neuropathy,25.85,,
Hemelings (2023),Hemelings (2023),2023,"mixed (Australia, Germany, USA, Singapore, China, Spain)",mixed,mixed,retrospective,149455,n/r,n/r,n/r,n/r,fundus,G-RISK (custom ResNet-50 regression CNN estimating VCDR),"varies by dataset; multimodal clinical assessment incl. perimetry/IOP/OCT/fundoscopy (BMES, GHS, REFUGE, GAMMA), expert grading of fundus images (LAG, RIM-ONE, ACRIMA, AIROGS, PAPILA), or unspecified (ORIGA)",external,yes,any,varies (1.08-56.17),,
Lin (2022),Lin (2022),2022,"mixed (USA, China)",mixed,mixed,mixed,42194,4032,38162,n/r,n/r,fundus,GlaucomaNet (DenseNet-201 + ResNet-152 joint-fusion CNN),Expert reading center / glaucoma specialist consensus using optic disc and visual field assessment,internal,no,POAG,9.6,,
Shibata (2018),Shibata (2018),2018,China,Asia,mixed,retrospective,8000,1967,6033,n/r,n/r,fundus,Inception-v3 deep learning algorithm (model version 20170811),Consensus of 3 trained ophthalmologists (from pool of 21),internal,yes,glaucomatous optic neuropathy,24.6,,
Xu (2021)b,Xu (2021)b,2021,China,Asia,hospital,retrospective,10056,4378,5678,n/r,n/r,fundus,Hierarchical Deep Learning System (HDLS); pre-diagnosis Inception-v3 + U-Net segmentation (OD/OC/RNFLD) + SVM/decision-tree final diagnosis using MCDR and ISNT score,"Two senior glaucoma specialists (>10 years experience) graded fundus images for referable glaucomatous optic neuropathy using a 2-tier grading system (definite/probable/unlikely GON); initial label based on clinical diagnosis combining fundus, visual field, and IOP",both,yes,glaucomatous optic neuropathy,n/r,,
MacCormick (2019),MacCormick (2019),2019,Singapore; Spain,mixed,mixed,retrospective,809,188,586,n/r,n/r,fundus,Spatial probabilistic hierarchical model of 24-direction cup/disc ratio profile (pCDR); DenseNet-based FCN for automated segmentation,Clinical glaucoma diagnosis (dataset labels from ORIGA and RIM-ONE),both,no,glaucomatous optic neuropathy,22.9,,
