Study,Codex_Study_Label,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct,Scan_target,Glaucoma_definition
Juneja (2022),Juneja (2022),2022,India,Asia,research,retrospective,1110,847,263,n/r,n/r,OCT,"Fused framework using k-NN, SVM, Random Forest, 3D-CNN, major voting and weighted decision fusion",public OCT dataset labels for normal vs POAG; specific clinical reference standard n/r,internal,no,POAG,76.3,,
Hassan (2019),Zheng (2020),2019,South Korea; external RIM-ONE r3 public dataset,mixed,hospital,retrospective,379,239,140,n/r,n/r,fundus,"Medinoid; VGG-16, ResNet-152, and Inception-v4 CNN models with Grad-CAM localization",ophthalmologist labels/clinical diagnosis at Samsung Medical Center; external RIM-ONE r3 dataset labels,both,no,any,63.1,,
Bajwa (2019),Bajwa (2019),2019,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,Two-stage faster R-CNN optic disc localization plus deep CNN glaucoma classifier,ORIGA dataset glaucoma/healthy labels with manual optic disc/cup segmentation and CDR annotations,internal,no,any,25.8,,
Hemelings (2020),Hemelings (2020),2020,Belgium,Europe,mixed,retrospective,1775 patients / 7038 images,1353 patients / 6651 images before QC; test set 252 patients,491 individuals / 1782 images before QC; test set 102 patients,n/r,n/r,fundus,ResNet-50 CNN with transfer learning and active learning uncertainty sampling,"Clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts, including neuroretinal rim/RNFL assessment with OCT or confocal scanning laser ophthalmoscopy, tonometry, and visual field testing when available",internal,no,any,71.2% patient-level in test set; 71.1% image-level in test set,,
Pascal (2022),Pascal (2022),2022,n/r,n/r,research,retrospective,1200,n/r,n/r,n/r,n/r,fundus,MTL-IO multi-task U-Net / VGG-16-based deep learning model,"REFUGE Challenge expert annotations for glaucoma diagnosis, optic disc/cup segmentation, and fovea localization",internal,no,any,n/r,,
Hung (2022),Hung (2022),2022,Taiwan,Asia,hospital,retrospective cross-sectional,1851,644,1207,Healthy 48.33; GON binary 61.22; NTG 60.1; HTG 61.87,Healthy 50.9%; NTG 50.0%; HTG 44.2%,fundus,EfficientNet-b0 CNN via AutoDL API / MAIA software,Anderson visual field criteria plus documented glaucomatous optic nerve/RNFL/OCT/fundus findings by clinical diagnosis,internal,yes,glaucomatous optic neuropathy,34.8,,
Hwang (2023),Hwang (2023),2023,India; Spain; Singapore; China; unknown,mixed,mixed,cross-sectional,3142,988,2154,n/r,n/r,fundus,Vision Transformer (ViT); ResNet-50 CNN,"Dataset-provided ground truth labels for glaucomatous optic neuropathy/control; expert labeling/clinical annotations for most datasets, ORIGA algorithm-based, sjchoi86-HRF unknown",internal,no,glaucomatous optic neuropathy,31.4,,
Akter (2022),Akter (2022),2022,Australia,Oceania,research,retrospective,255,125,130,normal 55.11; glaucoma 55.42,normal 51%; glaucoma 31%; overall 43.2%,multimodal,"Logistic regression, custom deep learning model, ResNet18, VGG16","clinical glaucoma diagnosis/stage labeling according to Mills et al. criteria using standard clinical tests including tonometry, fundoscopy, perimetry/visual fields, pachymetry and OCT scans",internal,no,POAG,49.0,,
Guo (2022),Guo (2022),2022,China; Singapore; India; Spain; multi-source RIGA,mixed,research,retrospective,9043,4211,4071,n/r,n/r,fundus,"DSLN dual-tutor student learning network (CycleGAN inter-image tutor, EMA intra-image tutor, modified ResNet50 backbone with Faster R-CNN optic disc localization)",Public dataset glaucoma labels/gold standards from ophthalmologists or qualified glaucoma experts,external,no,any,50.85 among labeled normal/glaucoma images; RIGA unlabeled excluded,,
Jan (2024),Jan (2024),2024,United Kingdom,Europe,research,retrospective,900 images,294,606,n/r,n/r,fundus,Convolutional neural network based on Inception-v3 architecture,"Consensus grading by a panel of two glaucoma specialists, with third specialist adjudication for discrepancies",external,no,glaucomatous optic neuropathy,32.7,,
Sharma (2025),Sharma (2025),2025,Japan plus mixed public datasets (AIROGS/REFUGE/ODIR/Chaksu),mixed,mixed,retrospective,8370,4185,4185,Miyagi cohort: normal 54.08 +/- 15.06; glaucoma 61.87 +/- 10.36; other cohorts n/r,Miyagi cohort: normal 44.4; glaucoma 47.8; other cohorts n/r,fundus,AI-GS network; MTL_LWBNA-unet; cupping parameter FFCN; DH and RNFLD LWBNA classifiers; DH mask-assisted classifier,"Dataset labels and ophthalmologist diagnosis; THU glaucoma/normal labels used OCT, fundus photography, visual field and IOP specialist assessment; Miyagi labels by screening ophthalmologist",both,yes,any,50.0,,
Sun (2021),Sun (2021),2021,Japan,Asia,hospital,retrospective,954 eyes,798 eyes,156 eyes,n/r,n/r,OCT,"VGG-16 CNN with flat classification, hierarchical classification, hierarchy transfer learning, multiple-input CNN, and stacking ensemble/SVM metamodels",Images reviewed and labelled by two glaucoma specialists; glaucomatous eyes classified by optic disc morphology according to Nicolela classification,internal,yes,glaucomatous optic neuropathy,83.6,,
Jan (2025),Jan (2025),2025,Australia,Oceania,screening,prospective,277,20,257,64.8,44.4,fundus,AI Workstation using automated non-mydriatic fundus photography and Inception-v3 deep learning glaucoma algorithm,"Independent manual grading of fundus photographs by two AHPRA-registered optometrists, with disagreements adjudicated by a licensed ophthalmologist; referable glaucoma/ung radable referral outcome treated as positive",external,yes,glaucomatous optic neuropathy,7.2,,
Hernandez (2026),Hernandez (2026),2026,Spain,Europe,hospital,retrospective,739,n/r,n/r,n/r,n/r,fundus,ViT-B/16; SPiT; SpxViT_fix; SpxViT_var,"Ophthalmology specialist diagnosis using clinical criteria, primarily cup-to-disc ratio >0.7 plus findings including elevated intraocular pressure, visual field defects, and structural optic nerve head abnormalities; disc/cup segmentations by glaucoma specialists for explainability analysis",internal,no,any,n/r,,
Sanghavi (2024),Sanghavi (2024),2024,mixed,mixed,research,retrospective,3115,1151,1964,n/r,n/r,fundus,"SLIC + normalized graph cut optic disc segmentation with 13-layer CNN classifier; comparison models VGG19, InceptionV3, ResNet50V2",public dataset ground-truth labels for normal vs glaucomatous images,internal,no,any,36.95,,
Zheng (2020),Zheng (2019),2019,China,Asia,hospital,prospective,1603 images,740 images,863 images,"Testing: normal 53.57, glaucoma 50.70; training: normal 41.84, glaucoma 49.54",Testing: 39.2%; training: 45.7%,OCT,Inception-V3 CNN transfer learning model,Glaucoma defined by glaucomatous optic nerve head appearance on color fundus photographs regardless of visual field defects; visual field criteria also described,internal,no,glaucomatous optic neuropathy,49.0,,
Singh (2023),Singh (2023),2023,n/r,Asia,research,retrospective,1850,n/r,n/r,n/r,n/r,fundus,"Handcrafted structural and non-structural fundus features with PSO, ABC, BCS, or PSO-ABC feature selection and RF/SVM/ensemble classifiers",ORIGA and REFUGE benchmark dataset labels; exact diagnostic adjudication not reported,internal,no,any,n/r,,
Kanwar (2026),Kanwar (2026),2026,n/r,mixed,research,retrospective,212,80,132,n/r,n/r,fundus,Refined blur map with Energy Mask R-CNN optic disc/cup segmentation and cyclic code-based LSTM classification,public dataset labels/expert optic disc and cup annotations; exact clinical diagnostic reference standard n/r,both,no,other,37.7,,
Chaurasia (2025),Chaurasia (2025),2025,mixed,mixed,mixed,retrospective,18468,7568,10900,n/r,n/r,fundus,vgg19_bn convolutional neural network,public dataset labels; Drishti-GS ground truth constructed by four experts with 3-20 years clinical experience for external validation,both,no,any,40.98,,
Al-Aswad (2019),Al-Aswad (2019),2019,Singapore,Asia,research,retrospective,100,50,50,58 +/- 11,n/r,fundus,Pegasus (Visulytix Ltd; ResNet-50 CNN optic disc abnormality classifier),"Original SiMES clinical diagnosis using Goldmann applanation tonometry, visual field tests, slit-lamp biomicroscopy, optic disc imaging, and digital lens photography; glaucoma defined as VCDR >=0.7 with associated functional visual loss or VCDR >=0.6 with disc notch",external,yes,glaucomatous optic neuropathy,50,,
Ko (2022),Ko (2022),2022,Taiwan; India; Spain,mixed,mixed,retrospective,1658,827,831,n/r,n/r,fundus,EfficientNet B3 convolutional neural network,"Expert-labelled glaucoma/normal status; TVGH POAG based on optic nerve head changes, reproducible visual field defects, normal open angle on gonioscopy, and RNFL/clinical assessment; DRISHTI-GS1 and RIM-ONE r2 by majority expert opinion; CHGH and TVGH by consensus of two experts with clinical information",both,no,glaucomatous optic neuropathy,49.9,,
Kulkarni (2025),Kulkarni (2025),2025,n/r,n/r,research,retrospective,20000,n/r,n/r,n/r,n/r,fundus,"OGFA+CNN (Optimized Graph Filter Augmentation plus CNN/HCNN); comparator CNN, LSTM, Ensemble CNN, OGFA, and Proposed+OGFA models",dataset ground-truth labels for 11 fundus/DR disease classes; glaucoma-specific clinical reference standard n/r,internal,no,other,n/r,,
El-Nimri (2023),El-Nimri (2023),2023,United States,North America,research,cross-sectional,476,382,94,70.8 (calculated from stratified participant means),56.7,OCT,Spectralis OCT Glaucoma Module Premium Edition reference-database diagnostic classification for RNFLT and BMO-MRW (not an AI/ML model),"Glaucoma: glaucomatous visual field damage on at least 2 consecutive reliable abnormal Humphrey 24-2 VF tests with PSD outside 95% normal limits or GHT outside 99% normal limit. Controls: normal-appearing optic discs/rims, IOP <=21 mm Hg, no elevated IOP history, and at least 2 reliable normal 24-2 VF results.",external,yes,POAG,80.3,,
Lau (2025),Lau (2025),2025,USA,North America,mixed,retrospective,629,233,396,Clear G 59.8; Pattern ON-G 68.5; H-test 46.2,Clear G 54; Pattern ON-G 57; H-test 57,OCT,ImageNet-pretrained ResNet-50 DLM using OCT Hood reports; DLM Index averaged over five model runs,"Clear G: clinician diagnosis using OCT, visual fields, fundus photos, and clinical examination plus OCT expert review; Pattern ON-G: two OCT experts using reading-center OCT report method; healthy controls: commercial normative reference database based on visual fields, fundus photos, history, and clinical examination",both,yes,glaucomatous optic neuropathy,37.0,,
Rogers (2019),Rogers (2019),2019,Netherlands,Europe,research,retrospective,94,48,46,n/r,n/r,fundus,"Pegasus v1.0, Visulytix Ltd.; CNN-based system including ResNet-50 classifier","Glaucoma specialist diagnosis based on optic disc appearance and reproducible visual field defects, with clinical information including intraocular pressure and family history; healthy controls and ocular hypertension classified as non-glaucoma",external,yes,glaucomatous optic neuropathy,51.1,,
Shibata (2018),Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,61,49,60.8,58.2,fundus,"ResNet deep residual learning algorithm; comparison models included CNN-16/VGG16-like CNN, random forest, and support vector machine",Independent diagnosis by three glaucoma specialists using fundus photographs and OCT images; cases excluded if specialists did not agree,both,yes,glaucomatous optic neuropathy,55.5,,
Kim (2020),Kim (2020),2020,South Korea,Asia,hospital,retrospective,2602,2058,544,58.0,n/r,OCT,VGG-19 CNN deep learning system using SD-OCT RNFL/GCIPL thickness and deviation maps; ResNet-34 comparator reported for RNFL thickness map AUC only,"Two glaucoma specialists diagnosed glaucoma/control from optic disc photographs, red-free RNFL photographs, and visual fields; discrepancies resolved by consensus. POAG required open angle, glaucomatous optic nerve/RNFL changes, and glaucomatous visual field defect confirmed on at least two consecutive visual field tests.",both,no,POAG,79.1,,
