Study,Year,Country,Continent,Setting,Design,N_total,N_glaucoma,N_nonglaucoma,Age_mean,Sex_female_pct,Imaging_modality,AI_system,Reference_standard,Validation_type,Vendor_involvement,Glaucoma_target,Prevalence_pct
Gonzalez-Hernandez (2021),2021,Spain,Europe,hospital,cross-sectional,810,333,477,normal 44.56; glaucoma 63.63 years,normal 65.0%; glaucoma 47.1%,multimodal,Laguna ONhE,"clinical diagnosis using glaucomatous visual field loss and/or glaucomatous neuropathy; suspected glaucoma based on elevated IOP, borderline visual fields, or suspicious optic disc",internal,yes,POAG,41.1%
Singh (2024),2024,Singapore,Asia,research,retrospective,646,166,480,n/r,n/r,fundus,"GWO-MLC, WOA-MLC, hGWWOA-MLC with Logistic Regression, XgBoost, Random Forest, CatBoost, SVM, and Ensemble",ORIGA dataset ground-truth labels,internal,no,any,25.7
Singh (2021),2021,India,Asia,research,cross-sectional,140,70,70,n/r,n/r,fundus,feature-based machine learning model using 20 retinal fundus image features,DRIONS-DB ground truth optic disc labels,internal,no,any,50%
Tabei (2025),2025,USA,North America,research,retrospective,1020,296,724,n/r,n/r,fundus,Proposed smartphone-based 2D-to-3D CIE LAB/disparity mapping SVM glaucoma detection system,"G1020 labels clinically verified using optic nerve head appearance, RNFL defects, intraocular pressure measurements, and ISNT rule compliance",internal,unclear,any,29.0%
Thiry (2023),2023,Singapore,Asia,hospital,cross-sectional,2773,477,2296,n/r,41.1%,OCT,PointNet,"glaucomatous optic neuropathy and/or neuroretinal rim narrowing with repeatable glaucomatous visual field defects; nonglaucoma defined by IOP <21 mmHg, healthy optic discs, and normal visual fields",internal,yes,GON,17.2%
Bhuiyan (2021),2021,United States; Singapore; Spain,North America; Asia; Europe,mixed,retrospective,2184,675,1509,n/r,n/r,fundus,iPredict-glaucoma cup-to-disc model,manual vertical cup-to-disc ratio grading with CDR annotator; CDR >0.5 glaucoma suspect,both,yes,other,30.9
An (2019),2019,Japan,Asia,hospital,cross-sectional,357,208,149,healthy 49.8 ± 15.9; glaucoma 51.6 ± 11.9,overall 49.6%; healthy 46.3%; glaucoma 51.9%,multimodal,VGG19 transfer-learning CNN with random forest ensemble,"Unanimous diagnosis by three ophthalmologists using glaucomatous optic neuropathy with corresponding visual field defects, abnormally reduced cpRNFLT, and open angle on gonioscopy",internal,yes,POAG,58.3%
Chai (2018),2018,China,Asia,hospital,n/r,2554,1023,1531,n/r,n/r,fundus,Multi-branch neural network model (MB-NN),Hospital diagnosis result/case report,internal,no,any,40.1
Chakrabarty (2016),2016,India,Asia,hospital,cross-sectional,314,169,145,n/r,n/r,fundus,automated CAD system for glaucoma detection from color fundus photographs,clinical reference standard based on consensus masked clinical examination by 2 independent glaucoma specialists,internal,no,any,53.8
Cao (2023),2023,China,Asia,hospital,cross-sectional,637,55,582,48.18 ± 18.83,51.68%,fundus,Kangrui Intelligent Technology AI-based fundus screening software,Gold standard referral by two ophthalmic chief clinicians with >20 years experience using international diagnostic criteria; disagreements adjudicated by a third chief clinician,external,yes,any,8.63%
Buisson (2021) SR,2021,USA; Australia; Japan,North America; Oceania; Asia,mixed,mixed,1392,684,708,65.6 glaucoma; 60.5 nonglaucoma,48 glaucoma; 55 nonglaucoma,fundus,multiple: Pegasus; ResNet50; Inception-V3; ResNet18/VGG-16; ResNet34,mixed: online datasets or clinician diagnosis from complete medical record; one study used OCT plus repeatable abnormal visual field,both,unclear,GON,48
Chang (2023),2023,Taiwan,Asia,hospital,n/r,430,283,147,n/r,n/r,multimodal,fundus-to-OCT GAN plus VGG19 glaucoma classifier,two glaucoma physicians labeled OCT images as glaucoma or not,internal,no,any,65.8%
Cho (2024),2024,China,Asia,mixed,retrospective,64,32,32,n/r,n/r,fundus,Attention mechanism-based glaucoma classification model,diagnoses made by ophthalmologists in the ODIR dataset,internal,no,any,50
Christopher (2020),2020,United States; Japan; Spain,North America; Asia; Europe,mixed,mixed,3949,1862,2087,n/r,n/r,fundus,UCSD deep learning model; UTokyo deep learning model,"expert-labelled glaucoma/normal classification from fundus photographs, with dataset-specific confirmation using OCT and/or visual field data where available",both,no,GON,47.2%
Noury (2022),2022,United States; Hong Kong; India; Nepal,North America; Asia,hospital,retrospective,1012,520,492,n/r,n/r,OCT,DiagFind,"multimodal glaucoma specialist/chart-review diagnosis using fundus examination, visual fields, OCT RNFL/GCIPL maps, IOP, treatment and clinical history",both,yes,GON,51.4%
Chen (2025),2025,Taiwan; India; China; Austria,Asia; Europe,mixed,retrospective,2634,852,1782,n/r,n/r,fundus,TVGH-Weighted model,Glaucoma specialist diagnosis based on glaucomatous optic nerve head changes with visual field and RNFL OCT confirmation for TVGH/CHGH; expert consensus or dataset labels for external public datasets,both,no,any,32.3%
Chuter (2026),2026,United States,North America,research,retrospective,1948,1163,785,60.3,58.8%,multimodal,RETFound,photograph-based glaucomatous optic neuropathy with or without repeatable glaucomatous visual field damage,internal,no,GON,59.7%
Bowd (2023),2023,United States,North America,research,cross-sectional,593,463,130,n/r,n/r,multimodal,Multimodal VGG-16 DL classifier,"DIGS conventional standard of glaucomatous visual field loss and/or stereophotograph-based glaucomatous optic disc/parapapillary damage; healthy eyes required normal optic discs, neuroretinal rims/RNFLs and reliable normal visual fields",internal,no,POAG,78.1
Gomez-Valverde (2019),2019,Spain; India,Europe; Asia,mixed,mixed,2313,494,1819,n/r,n/r,fundus,VGG19 transfer learning,specialist classification / consensus gold standard ophthalmologist evaluation,internal,no,any,21.36%
Elangovan (2022),2022,mixed,Asia; Europe,mixed,retrospective,19151,11753,7398,n/r,n/r,fundus,En-ConvNet,public retinal database labels,internal,no,GON,61.37
Sivakumar (2025),2025,USA,North America,research,retrospective,12316,4817,7499,n/r,n/r,multimodal,Fine-tuned Swin Transformer + ResNet50 with Random Forest clinical biomarker fusion,dataset labels from SMDG-19 fundus datasets and PAPILA clinical biomarker dataset,internal,no,any,39.11
Lin (2022)b,2022,United States; China,North America; Asia,mixed,mixed,41023,3972,37051,n/r,n/r,fundus,POAGNet,"reading center grading of optic disc photographs; visual field reading center interpretation for OHTS; SIG binary glaucoma annotations based on retinal nerve fiber layer defect, rim loss, and optic disc hemorrhage",both,no,POAG,9.68
Eswari (2024),2024,Germany for G1020; HRF/DRIVE country n/r,Europe for G1020; HRF/DRIVE continent n/r,research,retrospective,1465 images; 432 patients reported for G1020 only,296 in G1020; HRF/DRIVE n/r,724 normal in G1020; HRF/DRIVE n/r,n/r,n/r,fundus,"AAASVM hybrid pipeline: TernausNet segmentation, FRCNN feature extraction/classification, SVM optimized by artificial algae algorithm",public dataset labels; diagnostic reference standard not described,both,no,any,29.0% in G1020; overall n/r
Camacho-Garcia-Forment (2025),2025,Mexico,North America,hospital,prospective,245,46,199,59.1,66.0%,fundus,retinIA v3.3.1,mean CDR from three ophthalmologists' optic disc/cup annotations; glaucoma suspect if CDR >=0.6 or inter-eye CDR difference >0.2,external,yes,GON,18.8%
Fu (2018),2018,Singapore,Asia,community,cross-sectional,7459,159,7300,n/r,n/r,fundus,Disc-aware Ensemble Network (DENet),glaucoma ground truth label; optic disc boundary manually labelled for ORIGA training,external,unclear,any,2.1
Thakoor (2021)a,2021,USA,North America,mixed,cross-sectional,1770,602,1168,53 ± 16 years (generalizability sets); 57 ± 13 years (development sets),n/r,OCT,"CNN A (ResNet18 + Random Forest), CNN B (custom convolutional+dense CNN), CNN C (ResNet50 + Random Forest)",RS1 for development sets; RS1 and RS4 for generalizability sets. RS1 used single OCT expert report review; RS4 used expert consensus with OCT + visual field information. Glaucomatous label >50%.,both,yes,any,34.0
Gaddipati (2021),2021,India,Asia,mixed,cross-sectional,2168,927,1241,n/r,n/r,fundus,Fefu model,eye/image level diagnosis; REFUGE labeled as challenge data,both,no,any,42.8
Govindharaj (2025),2025,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,Grey Wolf Optimized U-Net++ with Capsule Network,ORIGA dataset labels/ground-truth annotations; clinical reference standard n/r,internal,no,any,25.8
Garcia (2021),2021,Spain,Europe,hospital,cross-sectional,320,144,176,50.13±15.54,55.50%,OCT,RAGNet + LSTM + sequential-weighting module (SWM),"Expert ophthalmologist diagnosis/volume-level annotation using European glaucoma diagnostic guidelines; clinical workup included IOP, central corneal thickness, gonioscopy, optic nerve head assessment, standard automated perimetry, and OCT/HRT RNFL and ganglion cell layer assessment; repeatable glaucomatous visual field defect criteria were used.",internal,yes,POAG,45.00%
Sangeethaa (2023),2023,India,Asia,mixed,mixed,2937,897,2040,n/r,n/r,fundus,hybrid PolyNet,ophthalmologist-labelled glaucoma severity/classes and optic disc/optic cup masks,both,no,any,30.54%
Sharma (2025),2025,Japan; mixed public datasets,Asia; mixed,mixed,retrospective,19666,4714,14952,Miyagi screening only: normal 54.08 +/- 15.06; glaucoma 61.87 +/- 10.36,n/r,fundus,AI-GS network,"ophthalmologist/expert labels; Tohoku hospital glaucoma diagnosis used fundus photography, OCT, visual field and IOP; Miyagi screening labels by ophthalmologist",both,unclear,any,24.0 overall across held-out testing plus Miyagi screening; 4.68 in Miyagi screening
Guo (2022)a,2022,China; Singapore; India; Spain; multi-source,Asia; Europe; mixed,research,retrospective,9043,4211,4071,n/r,n/r,fundus,DSLN,public dataset clinical glaucoma labels/manual annotations by ophthalmologists or glaucoma experts,both,no,any,50.8% among labeled healthy/glaucoma images
Juneja (2022),2022,India,Asia,research,retrospective,1110,847,263,n/r,n/r,OCT,Fused Network,n/r,internal,no,POAG,76.3
Hassan (2019),2019,Korea,Asia,hospital,retrospective,220,165,55,n/r,n/r,fundus,Medinoid,ophthalmologist-labelled fundus images from Samsung Medical Center glaucoma clinic,both,no,any,75%
Bajwa (2019),2019,Singapore,Asia,research,retrospective,650,168,482,n/r,n/r,fundus,Two-stage optic disc localization and glaucoma classification framework,ORIGA dataset glaucoma labels and optic disc/cup annotations,internal,no,any,25.85
Pascal (2022),2022,n/r,n/r,research,retrospective,1200,120,1080,n/r,n/r,fundus,MTL-IO,"human expert annotations for glaucoma diagnosis, optic disc segmentation, optic cup segmentation, and fovea localization in REFUGE challenge dataset",internal,no,any,10
Hemelings (2020),2020,Belgium,Europe,mixed,retrospective,1775,1353,422,n/r,n/r,fundus,ResNet-50 CNN with transfer learning and active learning,clinical glaucoma diagnosis from full ophthalmologic examination by glaucoma experts; non-glaucoma labels from screening expert grading or health records,internal,no,any,76.2
Haider (2022),2022,Republic of Korea,Asia,research,retrospective,1570,n/r,n/r,n/r,n/r,fundus,SLS-Net; SLSR-Net,expert-annotated optic disc/optic cup ground truth segmentation masks from public datasets,internal,unclear,any,n/r
Hung (2022),2022,Taiwan,Asia,hospital,retrospective cross-sectional,222,57,165,48.33 non-GON; 60.10 NTG; 61.87 HTG,50.9 non-GON; 50.0 NTG; 44.2 HTG,fundus,AutoDL API (MAIA software) deep learning system,Anderson visual field criteria plus documented glaucomatous optic neuropathy/RNFL defects on fundus images or OCT,internal,yes,GON,25.7
Hwang (2023),2023,mixed,mixed,mixed,retrospective,3142,988,2154,n/r,n/r,fundus,Vision Transformer and ResNet-50 CNN,dataset-provided ground truth labels from expert labeling/clinical annotation; ORIGA algorithm-based; sjchoi86-HRF unknown,internal,no,GON,31.4
Akter (2022),2022,Australia,Oceania,research,cross-sectional,255,125,130,normal 55.11; glaucoma 55.42,32.2%,multimodal,proposed deep learning model using optimized clinical features and segmented OCT ONH cup area,clinical glaucoma diagnosis/staging according to Mills et al. criteria using standard ophthalmic tests,both,no,any,49.0%
Jan (2025),2025,Australia,Oceania,community,prospective,277,15,257,64.8,44.4,fundus,AI Workstation,"manual grading of fundus photographs by two AHPRA-registered optometrists, with disagreements adjudicated by a licensed ophthalmologist",external,yes,GON,5.4
Jan (2024),2024,United Kingdom (image cohort); Australia (readers),Europe; Oceania,research,retrospective,900,294,606,n/r,n/r,fundus,Li et al. Inception-v3 convolutional neural network,"Consensus grading by two Australian fellowship-trained glaucoma specialists, with third specialist adjudication for discrepancies",external,no,GON,32.7
Al-Aswad (2019),2019,Singapore,Asia,community,retrospective,110,55,55,58 ± 11,n/r,fundus,Pegasus,SiMES original clinical diagnosis; glaucoma defined by VCDR >=0.7 with associated perimetry loss or VCDR >=0.6 with disc notch,external,yes,GON,50%
Hernandez (2026),2026,Spain,Europe,mixed,retrospective,739,n/r,n/r,n/r,n/r,fundus,SpxViT,"ophthalmology specialist diagnosis using standard clinical criteria including cup-to-disc ratio greater than 0.7, elevated intraocular pressure, visual field defects, and optic nerve head abnormalities",internal,no,any,n/r
Kanwar (2026),2026,India,Asia,research,retrospective,2870,n/r,n/r,n/r,n/r,fundus,Refined blur map + Energy Mask R-CNN + Cyclic Code-LSTM,expert-labelled benchmark dataset ground truth with optic disc/cup annotations and glaucoma labels,external,no,any,n/r
Zheng (2020),2020,China,Asia,hospital,mixed,102,50,52,52.15,39.2,OCT,Inception-V3 CNN,glaucomatous optic nerve head appearance on color fundus photographs and/or glaucomatous visual field defects; normal controls required normal visual field and no glaucoma history,external,no,GON,49.0
Sanghavi (2024),2024,India,Asia,research,retrospective,3115,1151,1964,n/r,n/r,fundus,SLIC and normalized graph cut optic disk segmentation with proposed 13-layer CNN classifier,public dataset labels,internal,no,any,36.95
Ko (2022),2022,Taiwan; India; Spain,Asia; Europe,mixed,retrospective,1658,827,831,n/r,n/r,fundus,EfficientNet B3 CNN classifier,"Expert diagnosis/consensus using clinical glaucoma evaluation where available; TVGH/CHGH included clinical assessments such as ONH changes, visual field defects, gonioscopy and OCT/RNFL; DRISHTI-GS1 and RIM-ONE r2 used expert majority opinion",both,no,GON,49.9%
Chaurasia (2025),2025,multiple countries,multiple,mixed,retrospective,18468,7568,10900,n/r,n/r,fundus,vgg19_bn,public dataset labels/ground truth; Drishti-GS external validation ground truth constructed by four experts,both,no,any,40.98
Kim (2020),2020,Korea,Asia,hospital,retrospective,2602,2058,544,58.6,39.8%,OCT,VGG-19 CNN deep learning system,Diagnosis by glaucoma specialists based on disc and RNFL photographs and visual fields; discrepancies resolved by consensus,both,no,POAG,79.1%
Kulkarni (2025),2025,n/r,n/r,research,retrospective,20000,n/r,n/r,n/r,n/r,fundus,OGFA+CNN,labeled fundus image dataset,internal,unclear,other,n/r
Qiu (2025),2025,China,Asia,hospital,retrospective,1054,509,545,n/r,n/r,multimodal,multidimensional imaging model,"POAG diagnosis based on fundus photography, OCT, standard automated perimetry and medical history; required glaucomatous optic nerve damage and/or reproducible visual field loss, adult onset, open angles, and no other cause",internal,no,POAG,48.3%
El-Nimri (2023),2023,USA,North America,research,cross-sectional,476,382,94,"Glaucoma: AD 69.6, ED 74.5; Healthy: AD 63.0, ED 58.0","Glaucoma: AD 51.8%, ED 53.5%; Healthy: AD 75.0%, ED 76.7%",OCT,Spectralis OCT Glaucoma Module Premium Edition reference database classification,"Glaucomatous visual field damage on reliable Humphrey visual field tests; healthy controls had normal optic discs/rims, IOP <=21 mmHg, and normal 24-2 visual fields",internal,yes,POAG,80.3%
Lau (2025),2025,USA,North America,mixed,retrospective,629,233,396,53.8,56.8%,OCT,DLM Index,"OCT expert reading center labels for ON-G cohorts; Clear-G and healthy cohorts defined using OCT, visual fields, fundus photos, history, and clinical examinations",both,yes,GON,37.0%
Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,61,49,60.3,56.4%,fundus,Deep Residual Learning for Image Recognition (ResNet),independent diagnosis by three ophthalmologists based on fundus photographs and OCT images,both,yes,any,55.5%
Rogers (2019),2019,United Kingdom,Europe,research,retrospective,94,48,46,n/r,n/r,fundus,Pegasus v1.0,"Diagnosis by glaucoma specialists based on optic disc appearance, reproducible visual field defects, elevated intraocular pressure, and family history",external,yes,GON,51.1%
Li (2021),2021,China/Japan,Asia,mixed,retrospective,22972,4408,17771,n/r,49.6%,fundus,deep learning system for GON detection from UWF images,consensus grading by three board-certified glaucoma specialists; arbitration by senior glaucoma specialist for disagreements,both,no,GON,19.9%
Li (2022),2022,China,Asia,hospital,prospective,1585,368,1217,53.19 ± 15.59,43.22%,fundus,automated fundus screening algorithm,IRC grading by two certified ophthalmologists with adjudication by senior ophthalmologist using fundus-image glaucoma suspect criteria,external,yes,GON,23.2%
Wei (2025),2025,China,Asia,hospital,retrospective,6152,296,5856,n/r,50.4%,fundus,Comprehensive AI Retinal Expert (CARE),"double-blind review by two associate chief ophthalmologists, with third chief ophthalmologist adjudication for disagreement",internal,unclear,any,4.8%
Liao (2020),2020,Singapore,Asia,research,cross-sectional,650,168,482,n/r,n/r,fundus,EAMNet,clinical glaucoma diagnosis with manual optic disc mask labels for segmentation evidence,internal,no,any,25.8
Xu (2021)b,2021,China,Asia,hospital,retrospective,8265,3503,4762,"52.6, 53.8","49.7, 51.9",fundus,HDLS,2 senior glaucoma specialists using fundus photographs; glaucomatous optic neuropathy grading,both,unclear,GON,42.4
Wang (2020),2020,China; USA,Asia; North America,hospital,retrospective,6108,3732,2376,n/r,n/r,OCT,2D-ResNet-SEMT,glaucoma specialists labeled OCT images as glaucoma or normal using visual field test results and clinical records; senior expert adjudicated disagreements,both,no,any,61.1%
Shibata (2018),2018,Japan,Asia,hospital,retrospective,110,61,49,60.5,61.8%,fundus,Deep Residual Learning for Image Recognition (ResNet),independent diagnosis by three ophthalmologists specializing in glaucoma using fundus photographs and OCT images,both,yes,any,55.5%
Hemelings (2023),2023,Belgium; Australia; Germany; United States; Singapore; China; Spain,Europe; North America; Asia; Oceania,mixed,retrospective,149455,n/r,n/r,n/r,n/r,fundus,G-RISK,"Varied by dataset; dataset-owner glaucoma ground truth labels including expert/multimodal clinical assessment, ISGEO or open-angle glaucoma cohort definitions, and public dataset labels",external,yes,any,1.08-56.17
Lin (2022)a,2022,United States; China,North America; Asia,mixed,mixed,42254,4032,38162,n/r,n/r,fundus,GlaucomaNet,"OHTS: visual field and optic disc reading center assessment with certified readers and masked adjudication; LAG: qualified glaucoma specialists using intraocular pressure, visual field loss, and manual optic disc assessment",internal,no,POAG,9.5%
Maetschke (2021),2021,Spain,Europe,hospital,cross-sectional,320,144,176,50.13,55.50,OCT,RAGNet + LSTM + sequential-weighting module,"Expert ophthalmologist diagnosis using European guideline for glaucoma diagnosis, including IOP, corneal thickness, gonioscopy, optic nerve head assessment, standard automated perimetry, RNFL and ganglion cell layer thickness",both,no,POAG,45.00
Bisneto (2020),2020,India; Spain,Asia; Europe,research,retrospective,556,270,286,n/r,n/r,fundus,cGAN OD segmentation with taxonomic diversity/distinction texture indices,specialist-labeled glaucomatous/non-glaucomatous public dataset labels and specialist OD masks,internal,no,any,48.6
MacCormick (2019),2019,Singapore; Spain,Asia; Europe,mixed,retrospective,774,207,567,n/r,n/r,fundus,spatial probabilistic glaucoma detection algorithm using whole cup-to-disc ratio profile,clinical glaucoma diagnosis labels in ORIGA and RIM-ONE datasets,both,no,GON,26.7
Bisneto (2020),2020,India; Spain,Asia; Europe,research,retrospective,556,270,286,n/r,n/r,fundus,cGAN optic disc segmentation with taxonomic diversity/distinction texture features,specialist image analysis/manual optic disc/cup markings and dataset glaucoma labels,internal,no,any,48.6
Muhammad (2017),2017,USA,North America,hospital,cross-sectional,102,57,45,n/r,n/r,OCT,Hybrid deep learning method (HDLM),"Two glaucoma specialists classified eyes as glaucomatous or healthy/probably healthy using 24-2 and 10-2 visual fields, fundus photographs, chart information, and single-page OCT report",internal,yes,POAG,55.9%
Vali (2023),2023,Iran; Thailand; USA,Asia; North America,hospital,cross-sectional,2183,828,823,n/r,n/r,fundus,OD-SEG plus transfer-learning classification network,clinical diagnosis from medical records by neuro-ophthalmologists and glaucoma specialists; external specialist review comparator,both,no,GON,37.93%
Nakahara (2022),2022,Japan,Asia,hospital,cross-sectional,162,73,89,62.7 glaucoma; 69.2 normal,45% glaucoma; 42% normal,fundus,ResNet-34 deep learning glaucoma classifier,"Japan Glaucoma Society Guidelines; diagnosis judged independently by 3 glaucoma-specialist ophthalmologists using fundus photographs, with visual field results not considered",external,unclear,GON,45.1%
Mariottoni (2021),2021,USA,North America,hospital,retrospective,2118,1061,1057,58.1,59.0,fundus,ResNet50-based deep learning algorithm,Objective GON definition using corresponding SDOCT RNFL structural abnormality and SAP functional abnormality,internal,unclear,GON,50.1
Shi (2024),2024,China,Asia,hospital,retrospective,1338,761,577,n/r,n/r,fundus,ARIA,OCT optic disc and macular scans with ophthalmologist grading for GON,internal,no,GON,56.9%
Bouris (2026),2026,United States; Spain,North America; Europe,mixed,retrospective,2081,1432,649,66.8 (glaucoma-only),55.7% (glaucoma-only),fundus,Vision Transformer (ViT; vit-base-patch16-224-in21k),"Independent grading of optic disc photographs by two glaucoma specialists, with disagreements adjudicated by a third expert grader; labels based on optic nerve appearance",internal,no,POAG,68.8%
Oh (2021),2021,Korea,Asia,hospital,retrospective,1624,975,649,56.9,42.9,multimodal,Magellan,diagnosis by three glaucoma specialists based on characteristic glaucomatous structural change of optic disc accompanied by glaucomatous visual field defects,internal,no,POAG,60.0
Sujithra (2024),2024,India; Singapore,Asia,mixed,retrospective,8346,n/r,n/r,n/r,n/r,fundus,Gray Wolf Optimization with deep convolutional neural network-based ResNet50 transfer learning classifier,n/r,internal,no,any,n/r
Omar (2021),2021,n/r,n/r,research,retrospective,499,297,202,n/r,n/r,multimodal,GLAUDIA,dataset label from Kim et al. 2018,internal,no,POAG,59.6
Juneja (2020),2020,India; n/r,Asia; n/r,research,retrospective,267,145,122,n/r,n/r,fundus,GC-NET,ground truth labels from DRISHTI-GS and RIM-One datasets,internal,no,any,54.31%
Orlando (2020),2020,China,Asia,mixed,retrospective,1200,120,1080,n/r,n/r,fundus,REFUGE challenge algorithms,"clinical diagnosis from comprehensive evaluation of clinical records including follow-up fundus images, IOP, OCT and visual fields; OD/OC masks by glaucoma specialists",external,unclear,any,10%
Pandey (2024),2024,mixed public datasets,mixed,research,retrospective,100,25,75,n/r,n/r,fundus,Deep convolutional ensemble (DCE),original disease labels from each source dataset/institution; images were not reclassified,internal,no,any,25%
Thakoor (2021)b,2021,USA,North America,mixed,retrospective,872,n/r,n/r,n/r,n/r,OCT,"Hybrid DL/ML models (Conv+FC, Conv+RF, VGG-16+RF, ResNet-18+RF, InceptionV3+RF); end-to-end CNNs (DenseNet-121+FC, VGG-16+FC, ResNet-18+FC, InceptionV3+FC); CNN Ensemble","Single OCT expert (D.C.H.) grading full OCT reports on a 0-100 scale, binarized at <50 non-glaucomatous and >50 glaucomatous",both,no,GON,n/r
Hemelings (2023),2023,Belgium; Australia; Germany; United States; Singapore; China; Spain; Portugal,Europe; North America; Asia; Oceania,mixed,retrospective,149455,n/r,n/r,n/r,n/r,fundus,G-RISK,"Dataset-specific glaucoma ground truth labels; definitions varied by cohort/dataset and included clinical examination, epidemiologic criteria, challenge labels, and expert grading",external,yes,any,1.08-56.17
Yang (2020),2020,South Korea,Asia,hospital,retrospective,3815,486,3329,n/r,n/r,fundus,ResNet-50 CNN,Diagnosis by 2 expert neuro-ophthalmologists with corroborating visual field testing and OCT,internal,no,GON,12.7
Jammal (2020),2020,USA,North America,hospital,cross-sectional,490,210,280,60.5,52.7,fundus,M2M DL algorithm,repeatable glaucomatous visual field loss on standard automated perimetry,internal,no,GON,42.9
Phene (2019),2019,United States; India; United Kingdom,North America; Asia; Europe,mixed,retrospective,11193,1391,9802,n/r,n/r,fundus,Deep learning algorithm for referable glaucomatous optic neuropathy,glaucoma specialist adjudication for dataset A; health factors/ICD codes for dataset B; full glaucoma workup including visual field and OCT for dataset C,both,yes,GON,12.4
Ramzan (2019),2019,Pakistan,Asia,hospital,cross-sectional,25,14,11,n/r,n/r,OCT,automated glaucoma detection using ILM/RPE segmentation and optic cup-to-disc ratio,CDR annotations by four expert ophthalmologists; senior ophthalmologist used as main comparator,internal,no,any,56
Rasel (2024),2024,USA/UK,North America/Europe,research,retrospective,1020,255,765,n/r,n/r,OCT,2D-ResNet18; 3D-ResNet18; 3D-DenseNet121; 3D-CNN-Encoder,ICD-10 code H40.1 for POAG in UK Biobank; published ONH-OCT dataset labels,internal,no,POAG,25.0%
Garcia-Lopez (2026),2026,Mexico; Pakistan,North America; Asia,mixed,retrospective,163,31,132,n/r,n/r,multimodal,CNN ensemble using CFP and OCT modules; final selected fusion was MBWVe weighted voting,4 ophthalmologists' image labels; majority agreement used where reported; suspicious cases excluded,both,unclear,any,19.0%
Civit-Masot (2020),2020,Spain; India,Europe; Asia,research,retrospective,250,n/r,n/r,n/r,n/r,fundus,dual machine-learning system using disc/cup segmentation and MobileNetV2 direct classification,professional/supervised dataset labels; manual disc and cup segmentation ground truth,internal,no,any,n/r
Rodriguez-Robles (2023),2023,Spain,Europe,hospital,cross-sectional,208,47,161,61.61 +/- 12.85,64.9%,multimodal,Decision trees and support vector machines using inter-eye asymmetry features from retinography and OCT,ophthalmologist classification,internal,no,any,22.6%
