study_id,title,patient_selection_judgment,patient_selection_support,index_test_judgment,index_test_support,reference_standard_judgment,reference_standard_support,flow_timing_judgment,flow_timing_support,analysis_data_handling_judgment,analysis_data_handling_support,applicability_patients,applicability_index_test,applicability_reference_standard,overall_bias,overall_applicability,reviewer,assessment_date,notes
ST001,3D augmented fundus images for identifying glaucoma via transferred convolutional neural networks,High,"Retrospective evaluation on public (DRIONS-DB, HRF, RIM-ONE, Drishti-GS) within a public dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"The paper relies on dataset-provided expert labels from multiple public fundus datasets, without a single standardized clinical glaucoma reference standard.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST069,Accurate prediction of glaucoma from colour fundus images with CNN,High,"Class imbalance >70% glaucomatous images, far from real-life prevalence. Hospital glaucoma clinic predominant source. Intermediate/late stage overrepresented. 16.5% images excluded for quality.",Low,Fully automated ResNet-50 CNN. Patient-level split ensures no data leakage. Active learning and test-time augmentation clearly described.,Low,"Comprehensive clinical exam including tonometry, OCT/HRT, VF at specialized glaucoma clinic. Screening images independently assessed by 2 glaucoma experts.",Low,Retrospective - all patients received both fundus imaging and clinical assessment. Patient-level allocation to train/val/test sets.,Low,Patient-based splitting prevents leakage. Test set fully independent. Active learning subset selection clearly described. 16.5% exclusion transparent.,High,Low,Low,High,High,AI-draft (Claude),2026-04-15,"ResNet-50 with active learning. AUC=0.995 patient-level. Mainly Caucasian, single-vendor camera, Belgium. 1775 patients."
ST014,"Accurate, fast, data efficient and interpretable glaucoma diagnosis with automated spatial analysis of the whole cup to disc profile",High,"Retrospective evaluation on public (ORIGA, RIM-ONE) within a multi-center (Liverpool + Ireland) design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis (vf + optic nerve), which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,The paper reports internal and external validation on separate ORIGA and RIM-ONE image datasets rather than only an internal resubstitution analysis.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST100,Automated glaucoma detection using retinal layers segmentation and CDR in OCT,High,Retrospective single-center (Armed Forces Institute of Ophthalmology) study using OCT images; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to OCT images/scans. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on senior ophthalmologist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,The OCT scans used for automated CDR extraction were compared against the same dataset's clinical annotations and ophthalmologist assessments.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST084,Automated Detection of Glaucoma From Topographic Features of ONH in Fundus,High,"Case-control design from hospital eye clinics. Subjects with ONH anomalies, major tilt, advanced retinopathy, poor image quality excluded. Not representative of screening population.",Low,Fully automated cascade-forward neural network; features extracted computationally without human intervention. System output produced independently of reference standard.,Low,"Consensus of 2 masked glaucoma specialists using comprehensive clinical exam (slit-lamp, IOP Goldmann, gonioscopy, VF HFA 24-2/10-2, OCT/HRT). Disagreement cases excluded.",Low,"All 314 eyes in reference test set received both index test and reference standard. 13 subjects excluded (7 poor quality, 6 disagreement) - minor proportion (7.6%).",High,Glaucoma suspects merged with confirmed glaucoma for binary evaluation. Training labels based on majority consensus of 5 graders on images alone. Threshold optimized post-hoc.,High,Low,Low,High,High,AI-draft (Claude),2026-04-15,"Cross-site validation (trained Site-B Madurai, tested Site-A Coimbatore). AUC=0.792. Hospital-based South India population only."
ST110,Advanced glaucoma detection in obscured retinal images via refined blur map and optic disc/cup segmentation,High,"Retrospective evaluation on ORIGA→G1020 cross-dataset within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from ORIGA→G1020 cross-dataset rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST111,Advanced glaucoma disease segmentation and classification with grey wolf optimized U-Net++ and capsule networks,High,"Retrospective evaluation on ACRIMA, REFUGE within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from ACRIMA, REFUGE rather than a participant-level clinical glaucoma workup using structure and function.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST112,Artificial Intelligence-based computer-aided diagnosis of glaucoma using retinal fundus images,High,"Retrospective evaluation on Drishti-GS, REFUGE, RIM-ONE within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from Drishti-GS, REFUGE, RIM-ONE rather than a participant-level clinical glaucoma workup using structure and function.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST113,An Artificial-Intelligence- and Telemedicine-Based Screening Tool to Identify Glaucoma Suspects from Color Fundus Imaging,High,"Retrospective evaluation on AREDS + ORIGA (external) within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard was based on expert CDR grading and a threshold definition rather than a full clinical glaucoma diagnosis using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST114,Assessing the efficacy of 2D and 3D CNN algorithms in OCT-based glaucoma detection,High,"Retrospective evaluation on UK Biobank (255 glaucoma, 2812 healthy) within a UK Biobank design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to OCT images/scans. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard appears to rely on diagnostic coding rather than adjudicated glaucoma assessment with a clearly reported ophthalmic workup.,Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST115,Automated diagnosing primary open-angle glaucoma from fundus image by simulating human's grading with deep learning,Low,Retrospective multi-center dataset (OHTS (22 centers US) + LAG) with real-world or geographically diverse evaluation. Consecutive enrollment is not fully detailed in the abstract.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",Low,"The paper evaluates GlaucomaNet on OHTS and the separate LAG dataset from different populations and settings, reducing internal-only optimism.",Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST116,Automated Early-Stage Glaucoma Detection Using a Robust Concatenated AI Model,High,Retrospective single-center study using Taipei Veterans General Hospital; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis (vf-md), which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST117,Automated Tool Support for Glaucoma Identification With Explainability Using Fundus Images,High,"Retrospective evaluation on RIM-ONE, ACRIMA within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from RIM-ONE, ACRIMA rather than a participant-level clinical glaucoma workup using structure and function.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST118,Automatic Diagnosis and Classification of Glaucoma Using Fundus Images,High,Retrospective single-center study using Private dataset; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST119,Automated Early-Stage Glaucoma Detection with High Accuracy Using Deep Learning,High,"Retrospective evaluation on Public datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,High,Reference standard relied on dataset label from Public datasets rather than a participant-level clinical glaucoma workup using structure and function.,Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST120,Deep Learning and Glaucoma Specialists: The Relative Importance of Optic Disc Features to Predict Glaucoma Referral in Fundus Photographs,Low,Retrospective multi-center dataset (EyePACS + glaucoma clinic (Google)) with real-world or geographically diverse evaluation. Consecutive enrollment is not fully detailed in the abstract.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",Low,"The algorithm was validated on 3 distinct datasets spanning adjudicated, screening, and glaucoma-clinic images rather than a single internal split.",Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST121,Automatic glaucoma classification using color fundus images based on convolutional neural networks and transfer learning,High,"Retrospective evaluation on RIM-ONE r3, Drishti-GS1, ACRIMA within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,High,"Reference standard relied on dataset label from RIM-ONE r3, Drishti-GS1, ACRIMA rather than a participant-level clinical glaucoma workup using structure and function.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,High,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST122,Automatic glaucoma detection based on transfer induced attention network,High,"Retrospective evaluation on Two clinical datasets within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST123,Automatic retinal image analysis methods using colour fundus images for screening glaucomatous optic neuropathy,Low,"Prospective screening cohort using Screening cohort. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,All analyzed retinal images had paired OCT labels within the screening dataset and were evaluated under 10-fold validation.,Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST124,An auxiliary diagnostic tool for common fundus diseases based on fundus color photography and light-weight classification models,High,Retrospective single-center study using 16000 fundus photos (2000 per disease); the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,High,Model performance appears to rely on retrospective internal dataset splitting without a clearly independent external validation cohort.,High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST125,Deep learning for automated glaucomatous optic neuropathy detection from ultra-widefield fundus images,Low,Retrospective multi-center dataset (Ultra-widefield fundus) with real-world or geographically diverse evaluation. Consecutive enrollment is not fully detailed in the abstract.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,"All analyzed eyes or images appear to have both index-test output and a reference label, and no major timing issue is described in the abstract.",Low,"The deep learning system was trained, validated, and externally evaluated on four independent institutional datasets.",Low,Low,Low,Low,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST126,Deep Learning for Glaucoma Detection and Identification of Novel Diagnostic Areas in Diverse Real-World Datasets,High,Retrospective multi-center (4 countries) study using Stanford+HongKong+India+Nepal; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to OCT images/scans. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on clinical diagnosis, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST127,Development and Validation of a Deep Learning System for Diagnosing Glaucoma Using Optical Coherence Tomography,High,Retrospective multi-center study using Samsung Medical Center + external; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST128,Diagnostic Performance of the Offline Medios Artificial Intelligence for Glaucoma Detection in a Rural Tele-Ophthalmology Setting,Low,"Prospective rural tele-ophthalmology cohort using Vision Centers India. Population is closer to intended clinical or screening use, although abstract-level reporting of consecutive sampling is limited.",Low,Automated AI model applied to fundus photographs and/or OCT images. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on glaucoma specialist, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",High,This rural tele-ophthalmology study is subject to partial-verification concern because full glaucoma workup was not clearly applied to all screened participants.,Low,Performance was evaluated within a reported clinical or screening workflow rather than only through internal benchmark splits.,Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft refined with PDF-grounded study-specific override on 2026-04-16.
ST129,Differentiating Glaucomatous Optic Neuropathy From Non-glaucomatous Optic Neuropathies Using Deep Learning Algorithms,High,Retrospective multi-center study using Duke + Ramathibodi; the paper describes selected normal-versus-glaucoma groups or internal train/test splits rather than a consecutive clinical series.,Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Analyzed eyes or images appear to have paired index-test outputs and reference labels within the retrospective dataset split used for model development and testing.,Low,"Independent validation or geographically separate test data were reported, which reduces analysis-related optimism.",Low,Low,Low,High,Low,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
ST130,Disc-Aware Ensemble Network for Glaucoma Screening from Fundus Image,High,"Retrospective evaluation on SCES, SINDI, SiMES, ORIGA within a multi-dataset design, using preselected benchmark datasets rather than consecutively recruited clinical patients.",Low,Automated AI model applied to color fundus photographs. The index test was algorithmic rather than manually interpreted at the point of classification.,Low,"Reference standard based on expert adjudication, which is closer to a clinical glaucoma diagnosis than benchmark labels alone.",Low,Curated retrospective datasets provided paired images and reference labels for analysis; no separate timing concern was reported.,High,"Model development and testing relied mainly on retrospective benchmark datasets with experimental internal or cross-dataset evaluation, limiting confidence in real-world generalizability.",High,Low,Low,High,High,AI-draft (Codex),2026-04-16,QUADAS-3 draft populated from 03_Studies metadata and matched abstract/full-text evidence on 2026-04-16.
