record_id,study_id,year,design,population_status,include_tier,endpoint_definition,timepoint_type,followup_summary,arm_id,analysis_node,node_5,node_3,treatment_label,total,local_control_events,local_failure_events,local_control_pct,source_page_or_table,source_evidence,notes
SCR00414,Schmelter 2023,2023,Retrospective cohort focused on local recurrence after CyberKnife,choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Overall cohort mean 43 months; recurrence cohort mean 61.0 months, range 13.3-153.6",arm_cyberknife,Photon_SRS_FSRT,Photon SRS/FSRT,,Photon SRS/FSRT,594,520,74,87.54,Results page 3,74 of 594 patients (12.4%) showed local recurrence after 42.1 months post CyberKnife treatment,"Crude recurrence over variable follow-up, not 5-year KM/actuarial local control."
SCR00555,Cennamo 2021,2021,Retrospective cohort,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Mean 4 years, range 3 months to 9 years",arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,350,347,3,99.14,Results and Table 1,Tumor recurrence was found in three patients at 3 years after the treatment; Table 1: Tumor recurrence 3 (1),"Reported as 3 recurrences at 3 years, not 5-year KM/actuarial local recurrence."
SCR00581,Guleser 2022,2022,Retrospective comparative cohort,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"GKRS median 56 months, range 30-90; IBT median 45 months, range 30-73",arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,,Photon SRS/FSRT,52,45,7,86.54,Results and Table 2,Local recurrence developed in 7 patients (13.4%) in the GKRS group; Table 2: 7 (13%),"Crude endpoint, not 5-year KM/actuarial local recurrence."
SCR00581,Guleser 2022,2022,Retrospective comparative cohort,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"GKRS median 56 months, range 30-90; IBT median 45 months, range 30-73",arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,201,187,14,93.03,Results and Table 2,Local recurrence developed ... in 14 patients (7%) in the IBT group,"Crude endpoint, not 5-year KM/actuarial local recurrence."
SCR00780,Espensen 2020,2020,Retrospective cohort dose-response analysis,choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 5.0 years,arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,226,176,50,77.88,"Page 4, Table 1",Fifty (22%) experienced local recurrence.,"Crude recurrence count over variable follow-up, not 5-year KM local recurrence."
SCR00886,Toutee 2019,2019,Retrospective cohort from prospective institutional database,choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local control,crude_at_followup,"Median follow-up 10.2 years, range 5.1-23",arm_pbt,PBT,Proton beam,Proton,Proton beam,424,424,0,100.0,Pages 3-4,All T1UM patients with at least 5 years of follow-up were included; no ocular recurrence was observed.,
SCR00929,Fili 2020,2020,Retrospective comparative registry cohort,choroidal-only,proxy_not_core,crude local recurrence converted to local control,crude_at_followup,Mean follow-up 8.0 years for Ru-106 and 7.9 years for I-125 arms,arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,254,251,3,98.82,Page 3,3 out of 254 patients (1%) that had undergone primary brachytherapy with 125I underwent a second round.,"Retreatment proxy over variable follow-up, not 5-year local recurrence/control."
SCR00929,Fili 2020,2020,Retrospective comparative registry cohort,choroidal-only,proxy_not_core,crude local recurrence converted to local control,crude_at_followup,Mean follow-up 8.0 years for Ru-106 and 7.9 years for I-125 arms,arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,181,167,14,92.27,Page 3,14 of 181 patients (8%) that had undergone primary brachytherapy with 106Ru underwent a second round.,"Retreatment proxy over variable follow-up, not 5-year local recurrence/control."
SCR01115,Meeralakshmi 2017,2017,Retrospective case series,Choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local control,crude_at_followup,"Mean follow-up 39 months, range 6-86; median 30 months",arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,22,20,2,90.91,Page 2,Tumor control rate was 91% (20/22 eyes),"Crude tumor-control rate at mean follow-up, not 5-year actuarial local control."
SCR01605,Rice 2014,2014,Retrospective comparative cohort,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 62.4 months endoresection and 55.4 months brachytherapy,arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,148,126,22,85.14,Page 3 Table 2,Recurrence 22 (14.9%),"Crude event rate at median 55.4 months, not 5-year KM/actuarial endpoint"
SCR01654,Quinlan-Davidson 2013,2013,Retrospective case series,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median 48 months, range 3-102",arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,28,27,1,96.43,Page 3 results,One patient had a tumor recurrence 6 years after treatment.,"Single recurrence occurred 6 years after treatment, not a 5-year KM/actuarial endpoint."
SCR01706,Perri 2012,2012,Retrospective mono-institutional case series,Mixed uveal with no choroidal-only count reported,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Mean 9.8 years; median 9.8 years, range 9.8-232.8 months; 133 assessed after losses",arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,133,110,23,82.71,Page 2 results,Twenty-three patients (17.3%) experienced local tumor progression.,Crude follow-up recurrence count; 5-year recurrence-free survival extracted separately.
SCR01969,Saconn 2010,2010,Retrospective cohort,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median 58.2 months,arm_i125_low_dose,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,62,55,7,88.71,Page 1,"Overall, there were 7 local failures",Crude count without a 5-year KM percentage.
SCR02476,Bartlema 2003,2003,Consecutive case series,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Follow-up examinations for at least 5 years; five patients died before 5 years,arm_ru106_ttt,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,50,49,1,98.0,Pages 1-2,Tumour recurrence was observed in one patient,Combined Ru-106 plus TTT arm and crude case count rather than 5-year actuarial endpoint
SCR02479,Kivela 2003,2003,Matched case-control comparative study,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 4.6 years TSR and 5.6 years IBT,arm_i125,I125_plaque,I-125 plaque,Brachytherapy,I-125 plaque,49,46,3,93.88,Page 5 results,Three patients developed a local tumor recurrence after IBT.,Crude recurrence count at median 5.6-year follow-up; no absolute 5-year KM percentage reported in text.
SCR06272,Naumenko 2021,2021,Retrospective cohort,Choroidal-only small melanoma cohort,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median follow-up: BT 154 months, TTT 128 months, PDT 72 months",arm_bt,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,58,56,2,96.55,Page 5,After BT local recurrences were recorded in 2 patients (3.4% in the BT group),"Crude follow-up local recurrence, not 5-year actuarial local control/local recurrence."
SCR07650,Wang 2025,2025,Retrospective cohort,Choroidal-only with some ciliary-body extension,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Average follow-up 8.6 +/- 3.4 years,arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,117,78,39,66.67,Page 14,"Brachytherapy failure in 39 eyes (33.3%) within five years, with a mean time to failure of 1.06 +/- 1.49 years.",
SCR09003,Rahmi 2014,2014,Retrospective case series,Iris melanoma; uveal-relaxed population,core_crude_uveal_relaxed,crude local control,crude_at_followup,Median 50 months; mean 60.5 months; range 15-136,arm_pbt,PBT,Proton beam,Proton,Proton beam,36,36,0,100.0,Abstract,"None of the patients showed tumor progression, local recurrence, or metastasis.",
SCR09005,AlMahmoud 2018,2018,Retrospective case series,Choroidal-only,core_crude_choroidal,crude local control,crude_at_followup,Median 31.2 months,arm_ru106,Ru106_plaque,Ru-106 plaque,Brachytherapy,Ru-106 plaque,28,28,0,100.0,Results,"None of the patients had local recurrence of tumor, and there were no enucleations reported at the last follow-up visit.",
