record_id,year,title,prior_reason_code,prior_reason,relaxed_population_decision,local_control_status,reason
SCR00597,2022,Fractionated stereotactic radiotherapy for uveal melanoma: Long-term outcome and control rates.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Study includes choroidal and/or ciliary body uveal melanomas without a clear >=85% choroidal breakdown.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00654,2021,Regression of posterior uveal melanoma following iodine-125 plaque radiotherapy based on pre-treatment tumor apical height.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma I-125 cohort excludes iris cases but does not clearly establish at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00667,2021,Regression patterns of uveal melanoma after iodine-125 plaque brachytherapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00682,2021,Long-term results of visual function in posterior uveal melanoma patients treated with I125 episcleral brachytherapy in a Spanish referral Ocular Oncology Unit.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort includes ciliary body or choroid without clear >=85% choroidal composition.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00684,2021,Local tumour control and radiation side effects for fractionated stereotactic photon beam radiotherapy compared to proton beam radiotherapy in uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Comparative radiotherapy cohort is mixed choroidal and/or ciliary body uveal melanoma without a clearly documented >=85% choroidal proportion.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00697,2022,"Proton beam irradiation of uveal melanoma involving the iris, ciliary body and anterior choroid without surgical localisation (light field).",P2_MIXED_UVEAL_NOT_85_CHOROIDAL,"Cohort intentionally includes iris, ciliary body, and mixed anterior uveal tumors rather than an at least 85% choroidal population.","potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00733,2020,Enucleation after Stereotactic Radiosurgery in Patients with Uveal Melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed choroidal/ciliary body melanoma cohort without clear >=85% choroidal composition.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00748,2020,<sup>106</sup>Ruthenium eye plaque brachytherapy in the management of medium sized uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Cohort is described as medium-sized uveal melanoma without clear evidence that at least 85% were choroidal melanomas.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00754,2020,Forty-year prognosis after plaque brachytherapy of uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Long-term plaque survival cohort is uveal melanoma without clear evidence that at least 85% were choroidal cases.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00788,2020,Impact of uveal melanoma thickness on post-plaque radiotherapy outcomes in the prophylactic anti-vascular endothelial growth factor era in 1131 patients.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Plaque radiotherapy cohort is described as uveal melanoma without clear >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00849,2020,Glaucoma After Iodine-125 Brachytherapy for Uveal Melanoma: Incidence and Risk Factors.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,I-125 glaucoma complication cohort is uveal melanoma without clear evidence of at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00865,2019,Iodine-125 Episcleral Plaque Brachytherapy for AJCC T4 Posterior Uveal Melanoma: Clinical Outcomes in 158 Patients.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort does not clearly establish the required choroidal proportion.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR00974,2020,20-year assessment of metastatic latency and subsequent time to death after proton therapy for uveal melanomas.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Population combines choroidal and ciliary body melanoma without clear evidence that at least 85 percent were choroidal.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01004,2018,Linear accelerator-based stereotactic fractionated photon radiotherapy as an eye-conserving treatment for uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Primary uveal melanoma photon FSRT cohort does not clearly establish at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01021,2018,Neoadjuvant proton beam irradiation vs. adjuvant ruthenium brachytherapy in transscleral resection of uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,excluded by primary-radiotherapy intent/timing criterion,not eligible for crude local-control sensitivity,"Radiotherapy was neoadjuvant/adjuvant/recurrent-treatment/salvage, or the report only supplied >=15-year statistics."
SCR01110,2017,Cataract Avoidance With Proton Therapy in Ocular Melanomas.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01317,2016,Cataract development in patients treated with proton beam therapy for uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Uveal melanoma proton cohort does not clearly establish the required choroidal proportion.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01381,2016,Robotic radiosurgery for the treatment of medium and large uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal melanoma cohort without clear at least 85 percent choroidal disease; median follow-up also only 26.4 months,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01428,2015,Ruthenium-106 plaque brachytherapy for uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal melanoma cohort excludes isolated iris melanoma but does not clearly establish that at least 85% were choroidal.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01431,2015,Long-term Risk of Melanoma-Related Mortality for Patients With Uveal Melanoma Treated With Proton Beam Therapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large proton mortality cohort is uveal melanoma without clear evidence that at least 85% were choroidal cases.,not included in current local-control network,no usable local-control endpoint identified from corrected screening evidence,"Population would be relaxed, but endpoint or treatment-arm data remain insufficient for this network question."
SCR01432,2015,Risk factors associated with secondary enucleation after fractionated stereotactic radiotherapy in uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed choroidal/ciliary body melanoma cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01537,2014,High dose rate and low dose rate ruthenium brachytherapy for uveal melanoma. No association with ocular outcome.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,National ruthenium brachytherapy cohort is described as uveal melanoma without clear >=85% choroidal composition.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01542,2014,Outcomes and control rates for I-125 plaque brachytherapy for uveal melanoma: a community-based institutional experience.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Plaque cohort is described as uveal melanoma without clear documentation that >=85% were choroidal.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01551,2014,Local control and results of Leksell Gamma Knife therapy for the treatment of uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Gamma Knife series is uveal melanoma without clear evidence of at least 85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01739,2013,Gamma-knife-based stereotactic radiosurgery for medium- and large-sized posterior uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort does not meet the >=85 percent choroidal threshold,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01807,2012,Survival and complications following γ knife radiosurgery or enucleation for ocular melanoma: a 20-year experience.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Ocular/uveal melanoma Gamma Knife cohort does not clearly establish at least 85% choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR01942,2011,Uveal melanoma recurrence after fractionated proton beam therapy: comparison of survival in patients treated with reirradiation or with enucleation.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that >=85 percent were choroidal melanoma,excluded by primary-radiotherapy intent/timing criterion,not eligible for crude local-control sensitivity,"Radiotherapy was neoadjuvant/adjuvant/recurrent-treatment/salvage, or the report only supplied >=15-year statistics."
SCR01990,2010,Proton beam radiotherapy for uveal melanomas at nice teaching hospital: 16 years' experience.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Nice proton series is uveal melanoma without clear evidence that at least 85% were choroidal cases.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02010,2009,Proton beam radiotherapy in the management of uveal melanoma: Clinical experience in Scotland.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Uveal melanoma proton cohort does not establish that at least 85 percent of patients had choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02020,2009,Ruthenium-106 plaque brachytherapy for thick posterior uveal melanomas.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02076,2008,Assessment of central vision and macular structure in patients undergoing iodine-125 brachytherapy for ciliochoroidal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Ciliochoroidal melanoma cohort is mixed and does not establish >=85 percent choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02156,2007,Impact of dose rate on clinical course in uveal melanoma after brachytherapy with ruthenium-106.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal cohort without clear documentation that at least 85 percent were choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02184,2008,Posterior uveal melanoma treated with I-125 brachytherapy or primary enucleation.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02270,2006,Proton beam radiotherapy for uveal melanoma: results of Curie Institut-Orsay proton therapy center (ICPO).,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large PBT cohort is uveal melanoma without clear documentation of >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02455,2004,125I plaque brachytherapy for anterior uveal melanomas.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Anterior uveal melanoma cohort is not clearly >=85% choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02545,2003,Eye retention after proton beam radiotherapy for uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large uveal melanoma proton cohort without clear >=85% choroidal composition in the shard.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02564,2002,Plaque radiotherapy for large posterior uveal melanomas (> or =8-mm thick) in 354 consecutive patients.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort is not clearly >=85% choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02649,2001,Maximizing local tumor control and survival after proton beam radiotherapy of uveal melanoma.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Large proton uveal melanoma cohort has no clear evidence that at least 85 percent were choroidal melanomas,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02712,2000,Plaque radiotherapy for uveal melanoma: long-term visual outcome in 1106 consecutive patients.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Plaque visual outcome cohort is uveal melanoma without clear evidence that at least 85% were choroidal cases.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR02714,2000,Tumour location affects the incidence of cataract and retinopathy after ophthalmic plaque radiation therapy.,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Mixed uveal plaque cohort is below the required choroidal threshold.,not included in current local-control network,no usable local-control endpoint identified from corrected screening evidence,"Population would be relaxed, but endpoint or treatment-arm data remain insufficient for this network question."
SCR05921,2024,Survival of patients with recurrent uveal melanoma after treatment with radiation therapy,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Recurrent uveal melanoma cohort includes choroidal or ciliary body melanomas without clear >=85% choroidal composition.,excluded by primary-radiotherapy intent/timing criterion,not eligible for crude local-control sensitivity,"Radiotherapy was neoadjuvant/adjuvant/recurrent-treatment/salvage, or the report only supplied >=15-year statistics."
SCR06249,2021,Eighteen-year results of treatment of uveal melanoma using Ruthenium-106 + Rhodium-106 brachytherapy,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Uveal melanoma cohort does not clearly establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR06356,2024,"Incidence, risk factors and outcomes of cataract surgery after plaque brachytherapy for posterior uveal melanoma",P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Posterior uveal melanoma cohort includes choroid and/or ciliary body disease but does not clearly establish at least 85% choroidal melanoma.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR06359,2023,Pregnancy and Plaque Brachytherapy Treatment of Uveal Melanoma：A Retrospective Study,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,Pregnancy-focused uveal melanoma plaque cohort does not establish >=85% choroidal disease.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
SCR06367,2020,106Ruthenium eye plaque brachytherapy in the management of medium sized uveal melanoma,P2_MIXED_UVEAL_NOT_85_CHOROIDAL,The cohort is described as uveal melanoma without clear evidence that at least 85 percent were choroidal.,"potentially relevant under uveal-relaxed population, but not analysis-ready",requires source-level extraction before quantitative use,"Screening evidence mentions recurrence/control, but no vetted treatment-arm crude local-control row exists in the corrected extraction table."
