record_id,study_id,year,three_node,three_node_label,analysis_measure,outcome_family,quantitative_outcome_slot,source_analysis_nodes,source_analysis_node_labels,source_arm_ids,total,events_analysis,analysis_pct,source_page_or_table,source_evidence,studlab
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,719,661,91.93324061196105,Pages 3 and 5,"In the complete cohort, the 5-year local failure rate was 8%; discussion states local control (92%).",Pors 2025 | Brachytherapy
SCR07650,Wang 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,Ru106_plaque,Ru-106 plaque,arm_ru106,117,78,66.66666666666667,Page 14,"Brachytherapy failure in 39 eyes (33.3%) within five years, with a mean time to failure of 1.06 +/- 1.49 years.",Wang 2025 | Brachytherapy
SCR02551,Gragoudas 2002,2002,Proton,Proton beam therapy,5y_local_control_success,local_recurrence,primary_5y_local_recurrence,PBT,Proton beam,arm_pbt,1922,1860,96.7741935483871,Page 3 Table I,"Year 5 cumulative rates 3.24%, 95% CI 2.47-4.24",Gragoudas 2002 | Proton
SCR02350,Damato 2005,2005,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbt,349,337,96.56160458452722,Page 1 Abstract,5-year actuarial rates were 3.5% for local tumor recurrence,Damato 2005 | Proton
SCR01310,Weber 2015,2015,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbt,77,66,85.71428571428571,Page 3 Table 2,Ocular control all patients: 85.1% at 5 years,Weber 2015 | Proton
SCR01111,Papakostas 2017,2017,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbt,336,310,92.26190476190476,Page 3,Tumors recurred locally in 7.8% (95% CI 4.8-12.6%) at 5 years,Papakostas 2017 | Proton
SCR00886,Toutee 2019,2019,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbt,424,424,100,Pages 3-4,All T1UM patients with at least 5 years of follow-up were included; no ocular recurrence was observed.,Toutee 2019 | Proton
SCR00119,Zako 2025,2025,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbrt,240,230,95.83333333333333,Page 5 and Figure 1,The PBRT cohort had 5-year LC of 96% (92-98%).,Zako 2025 | Proton
SCR00224,Aoki 2025,2025,Carbon_ion,Carbon ion therapy,5y_local_control_success,local_control,primary_5y_local_control,CIRT,Carbon ion,arm_cirt,250,236,94.4,Page 4,LC rates at 5-year and 8-year were 94.4% and 92.9%,Aoki 2025 | Carbon_ion
SCR00062,Kim 2025,2025,Carbon_ion,Carbon ion therapy,5y_local_control_success,local_recurrence,primary_5y_local_recurrence,CIRT,Carbon ion,arm_cirt,192,181,94.27083333333333,Page 3 and Figure 1,"The 5-year local failure rate was 5.6% (95% CI, 2.0%-9.3%) for the CIRT group.",Kim 2025 | Carbon_ion
