record_id,study_id,year,arm_id,analysis_node,analysis_node_label,total,events_analysis,analysis_pct,outcome_family,quantitative_outcome_slot,derivation_note,source_page_or_table,source_evidence
SCR00882,Espensen 2019,2019,arm_ru106,Ru106_plaque,Ru-106 plaque,226,176,78.0,local_control,primary_5y_local_control,reported_local_control,"Page 5, Table 2","50 recurrences were observed, and the overall five-year local control estimate was 78%."
SCR00886,Toutee 2019,2019,arm_pbt,PBT,Proton beam,424,424,100.0,local_control,primary_5y_local_control,reported_local_control,Pages 3-4,All T1UM patients with at least 5 years of follow-up were included; no ocular recurrence was observed.
SCR00987,Miguel 2018a,2018,arm_i125,I125_plaque,I-125 plaque,243,228,94.0,local_control,primary_5y_local_control,reported_local_control,Page 4 Figure 1 and Table 4,5-year probability for no local recurrence 94% (95% CI 91-97%)
SCR01073,Rospond-Kubiak 2017,2017,arm_ru106,Ru106_plaque,Ru-106 plaque,126,105,83.3,local_control,primary_5y_local_control,reported_local_control,Page 3,Local tumor control was 83.3% at 5 years
SCR01111,Papakostas 2017,2017,arm_pbt,PBT,Proton beam,336,310,92.2,local_control,primary_5y_local_control,reported_local_control,Page 3,Tumors recurred locally in 7.8% (95% CI 4.8-12.6%) at 5 years
SCR01310,Weber 2015,2015,arm_pbt,PBT,Proton beam,77,66,85.1,local_control,primary_5y_local_control,reported_local_control,Page 3 Table 2,Ocular control all patients: 85.1% at 5 years
SCR01330,Jancar 2016,2016,arm_ru106,Ru106_plaque,Ru-106 plaque,127,99,78.0,local_control,primary_5y_local_control,reported_local_control,Page 4 Table 3,Ruthenium LRC 5 yrs 78
SCR01598,Wackernagel 2014,2014,arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,177,167,94.2,local_control,primary_5y_local_control,reported_local_control,Page 1 Abstract,tumour control rates were 94.2% at 5 years
SCR01628,Berry 2013,2013,arm_eye_physics,I125_plaque,I-125 plaque,82,80,97.0,local_control,primary_5y_local_control,reported_local_control,Pages 4-5 Figure 2,local tumor control at 5 years was 97% (95% CI 89-99)
SCR01927,Dunavoelgyi 2011,2011,arm_hypofractionated_srt,Photon_SRS_FSRT,Photon SRS/FSRT,212,203,95.9,local_control,primary_5y_local_control,reported_local_control,Page 1,Local tumor control was 95.9% after 5 years
SCR02231,Puusaari 2007,2007,arm_i125,I125_plaque,I-125 plaque,54,50,93.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 7,"5-year cumulative incidences of local recurrence were 41% (95% CI, 17-63) and 7% (95% CI, 2-17), respectively"
SCR02271,Isager 2006,2006,arm_ru106,Ru106_plaque,Ru-106 plaque,55,40,73.0,local_control,primary_5y_local_control,reported_local_control,Pages 1 and 3,5-year probability for no local recurrence was 73% (n=55)
SCR02344,Jensen 2005,2005,arm_i125,I125_plaque,I-125 plaque,156,144,92.0,local_control,primary_5y_local_control,reported_local_control,Page 1 Abstract,Initial local control at 5 years was 92%
SCR02350,Damato 2005,2005,arm_pbt,PBT,Proton beam,349,337,96.5,local_control,primary_5y_local_control,reported_local_control,Page 1 Abstract,5-year actuarial rates were 3.5% for local tumor recurrence
SCR02551,Gragoudas 2002,2002,arm_pbt,PBT,Proton beam,1922,1860,96.76,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 3 Table I,"Year 5 cumulative rates 3.24%, 95% CI 2.47-4.24"
SCR02685,Sia 2000,2000,arm_i125,I125_plaque,I-125 plaque,49,39,80.0,local_control,primary_5y_local_control,reported_local_control,Page 3 Figure 1,Kaplan-Meier estimate of local control with EPT at 5 years is 80%
SCR07650,Wang 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,117,78,66.7,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Page 14,"Brachytherapy failure in 39 eyes (33.3%) within five years, with a mean time to failure of 1.06 +/- 1.49 years."
SCR00797,Jampol 2020,2020,arm_i125,I125_plaque,I-125 plaque,650,583,89.7,local_control,primary_5y_local_control,reported_local_control,Page 1 abstract and Table 4,"Risk of treatment failure was 10.3% (95% CI, 8.0%-13.2%); treatment failure was reported for 57 eyes."
SCR01706,Perri 2012,2012,arm_ru106,Ru106_plaque,Ru-106 plaque,133,113,85.0,local_control,primary_5y_local_control,reported_local_control,Page 2 results and Figure 3,"Local recurrence free survival at 5, 10 and 15 years was 85%, 79%, 76%."
SCR09002,Papageorgiou 2011,2011,arm_ru106,Ru106_plaque,Ru-106 plaque,189,163,86.0,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Discussion / Kaplan-Meier curve,The study reports a 5-year melanoma recurrence rate of 14% for 106Ru plaque brachytherapy.
SCR09004,Marinkovic 2016,2016,arm_ru106,Ru106_plaque,Ru-106 plaque,253,240,94.8,local_recurrence,primary_5y_local_recurrence,converted_from_local_recurrence,Abstract,Five-year cumulative incidence of local failure was 5.2% for Ru106.
SCR09008,Meidenbauer 2021,2021,arm_i125,I125_plaque,I-125 plaque,339,332,98.0,local_control,primary_5y_local_control,reported_local_control,Abstract and Results,"Only 3 events of local recurrence were observed, yielding 5-year local control and ocular survival rate of 98%."
