record_id,study_id,year,design,population_status,include_tier,endpoint_definition,timepoint_type,followup_summary,arm_id,analysis_node,node_5,node_3,treatment_label,total,local_control_events,local_failure_events,local_control_pct,source_page_or_table,source_evidence,notes
SCR01115,Meeralakshmi 2017,2017,Retrospective case series,Choroidal-dominant mixed uveal above 85 percent threshold,core_crude_choroidal,crude local control,crude_at_followup,"Mean follow-up 39 months, range 6-86; median 30 months",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,22,20,2,90.91,Page 2,Tumor control rate was 91% (20/22 eyes),"Crude tumor-control rate at mean follow-up, not 5-year actuarial local control."
SCR01605,Rice 2014,2014,Retrospective comparative cohort,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 62.4 months endoresection and 55.4 months brachytherapy,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,148,126,22,85.14,Page 3 Table 2,Recurrence 22 (14.9%),"Crude event rate at median 55.4 months, not 5-year KM/actuarial endpoint"
SCR01654,Quinlan-Davidson 2013,2013,Retrospective case series,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median 48 months, range 3-102",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,28,27,1,96.43,Page 3 results,One patient had a tumor recurrence 6 years after treatment.,"Single recurrence occurred 6 years after treatment, not a 5-year KM/actuarial endpoint."
SCR01706,Perri 2012,2012,Retrospective mono-institutional case series,Mixed uveal with no choroidal-only count reported,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Mean 9.8 years; median 9.8 years, range 9.8-232.8 months; 133 assessed after losses",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,133,110,23,82.71,Page 2 results,Twenty-three patients (17.3%) experienced local tumor progression.,Crude follow-up recurrence count; 5-year recurrence-free survival extracted separately.
SCR01969,Saconn 2010,2010,Retrospective cohort,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median 58.2 months,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,62,55,7,88.71,Page 1,"Overall, there were 7 local failures",Crude count without a 5-year KM percentage.
SCR02476,Bartlema 2003,2003,Consecutive case series,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Follow-up examinations for at least 5 years; five patients died before 5 years,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,50,49,1,98.0,Pages 1-2,Tumour recurrence was observed in one patient,Combined Ru-106 plus TTT arm and crude case count rather than 5-year actuarial endpoint
SCR02479,Kivela 2003,2003,Matched case-control comparative study,Choroidal-only,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Median follow-up 4.6 years TSR and 5.6 years IBT,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,49,46,3,93.88,Page 5 results,Three patients developed a local tumor recurrence after IBT.,Crude recurrence count at median 5.6-year follow-up; no absolute 5-year KM percentage reported in text.
SCR06272,Naumenko 2021,2021,Retrospective cohort,Choroidal-only small melanoma cohort,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,"Median follow-up: BT 154 months, TTT 128 months, PDT 72 months",brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,58,56,2,96.55,Page 5,After BT local recurrences were recorded in 2 patients (3.4% in the BT group),"Crude follow-up local recurrence, not 5-year actuarial local control/local recurrence."
SCR07650,Wang 2025,2025,Retrospective cohort,Choroidal-only with some ciliary-body extension,core_crude_choroidal,crude local recurrence converted to local control,crude_at_followup,Average follow-up 8.6 +/- 3.4 years,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,117,78,39,66.67,Page 14,"Brachytherapy failure in 39 eyes (33.3%) within five years, with a mean time to failure of 1.06 +/- 1.49 years.",
SCR09003,Rahmi 2014,2014,Retrospective case series,Iris melanoma; uveal-relaxed population,core_crude_uveal_relaxed,crude local control,crude_at_followup,Median 50 months; mean 60.5 months; range 15-136,proton,Proton,,Proton,Proton,36,36,0,100.0,Abstract,"None of the patients showed tumor progression, local recurrence, or metastasis.",
SCR09005,AlMahmoud 2018,2018,Retrospective case series,Choroidal-only,core_crude_choroidal,crude local control,crude_at_followup,Median 31.2 months,brachytherapy,Brachytherapy,,Brachytherapy,Brachytherapy,28,28,0,100.0,Results,"None of the patients had local recurrence of tumor, and there were no enucleations reported at the last follow-up visit.",
