record_id,study_id,year,three_node,three_node_label,analysis_measure,outcome_family,quantitative_outcome_slot,source_analysis_nodes,source_analysis_node_labels,source_arm_ids,total,events_analysis,analysis_pct,source_page_or_table,source_evidence,studlab
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_overall_survival,overall_survival,secondary_5y_overall_survival,Ru106_plaque,Ru-106 plaque,arm_ru106,719,597,83.03198887343532,Page 3,5-year overall survival was 83% (95% C.I. 80%-85%).,Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,Ru106_plaque,Ru-106 plaque,arm_ru106,719,230,31.98887343532684,Page 3,The 5-year actuarial estimate of lasting VA below 0.1 was 32% (95% C.I. 28%-36%).,Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_cataract_surgery,cataract_surgery,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,606,122,20.13201320132013,Page 3 and Table 3,"Cataract before treatment increased during follow-up, leading to cataract surgery in 122 (20%) patients.",Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,719,254,35.32684283727399,Page 3 and Table 3,"Maculopathy occurred in 46 patients at baseline, and in 254 (35%) patients during follow-up.",Pors 2025 | Brachytherapy
SCR00170,Pors 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,719,80,11.126564673157162,Page 3 and Table 3,Optic nerve disorder was reported in 80 (11%) patients.,Pors 2025 | Brachytherapy
SCR00193,Gallo 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,Ru106_plaque,Ru-106 plaque,arm_ru106,310,41,13.225806451612904,Page 2 and Table 3,Kaplan-Meier estimates of poor final VA (>=1.0 logMAR) were 13.2% at 5 years.,Gallo 2025 | Brachytherapy
SCR00193,Gallo 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,310,0,0,Page 4,There were no cases of neovascular glaucoma and scleral necrosis.,Gallo 2025 | Brachytherapy
SCR00193,Gallo 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_other,other,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,310,61,19.677419354838708,Table 3,Non-proliferative radiation retinopathy at 5 years 19.6% (95% CI 14.9 to 25.6).,Gallo 2025 | Brachytherapy
SCR00193,Gallo 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,310,98,31.612903225806452,Table 3,Radiation maculopathy 77/103 at 5 years: 31.7% (95% CI 26.1 to 38.2).,Gallo 2025 | Brachytherapy
SCR00193,Gallo 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,310,26,8.387096774193548,Table 3,Radiation optic neuropathy at 5 years 8.5% (95% CI 5.5 to 13).,Gallo 2025 | Brachytherapy
SCR00201,Grajewski 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_other,other,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,56,7,12.5,Page 5,Radiation retinopathy was detected in 7 eyes.,Grajewski 2025 | Brachytherapy
SCR00201,Grajewski 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,56,10,17.857142857142858,Page 5,Radiation maculopathy in 10 patients (17.9%).,Grajewski 2025 | Brachytherapy
SCR00201,Grajewski 2025,2025,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,56,7,12.5,Page 5,Radiation optic neuropathy in 7 patients.,Grajewski 2025 | Brachytherapy
SCR00224,Aoki 2025,2025,Carbon_ion,Carbon ion therapy,5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,CIRT,Carbon ion,arm_cirt,250,233,93.2,Page 6/Table 3,Current CIRT row lists 5y-EPR 93.2,Aoki 2025 | Carbon_ion
SCR00224,Aoki 2025,2025,Carbon_ion,Carbon ion therapy,5y_local_control_success,local_control,primary_5y_local_control,CIRT,Carbon ion,arm_cirt,250,236,94.4,Page 4,LC rates at 5-year and 8-year were 94.4% and 92.9%,Aoki 2025 | Carbon_ion
SCR00224,Aoki 2025,2025,Carbon_ion,Carbon ion therapy,5y_metastasis_free_survival,metastasis_free_survival,secondary_5y_metastasis_free_survival,CIRT,Carbon ion,arm_cirt,250,200,80,Page 4,5-year and 8-year distant metastasis-free rates were 79.8% and 72.9%,Aoki 2025 | Carbon_ion
SCR00224,Aoki 2025,2025,Carbon_ion,Carbon ion therapy,5y_overall_survival,overall_survival,secondary_5y_overall_survival,CIRT,Carbon ion,arm_cirt,250,219,87.6,Page 3,5-year and 8-year overall survival rates were 87.5% and 84.2%,Aoki 2025 | Carbon_ion
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_enucleation,secondary_enucleation,secondary_5y_secondary_enucleation,Ru106_plaque,Ru-106 plaque,arm_ru106,310,6,1.935483870967742,Pages 3 and 5/Table 3,5-year and 10-year secondary enucleation rates were 2% and 11%,Gallo 2024 | Brachytherapy
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,Ru106_plaque,Ru-106 plaque,arm_ru106,310,257,82.90322580645162,Pages 3 and 5/Table 3,Kaplan-Meier estimates of tumour recurrence were 17% at 5 years,Gallo 2024 | Brachytherapy
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_melanoma_specific_survival,melanoma_specific_survival,secondary_5y_melanoma_specific_survival,Ru106_plaque,Ru-106 plaque,arm_ru106,310,304,98.06451612903226,Page 5/Table 3,Melanoma-related death 5 years 2%,Gallo 2024 | Brachytherapy
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_metastasis,metastasis,secondary_5y_metastasis,Ru106_plaque,Ru-106 plaque,arm_ru106,310,15,4.838709677419355,Page 5/Table 3,Melanoma-related metastasis 5 years 4.8%,Gallo 2024 | Brachytherapy
SCR00250,Gallo 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_overall_survival,overall_survival,secondary_5y_overall_survival,Ru106_plaque,Ru-106 plaque,arm_ru106,310,304,98.06451612903226,Pages 1 and 5/Table 3,survival was 98% at 5 years,Gallo 2024 | Brachytherapy
SCR00328,Wu 2023,2023,Proton,Proton beam therapy,5y_melanoma_specific_survival,melanoma_specific_survival,secondary_5y_melanoma_specific_survival,PBT,Proton beam,arm_pbt,222,221,99.54954954954955,Page 3,melanoma-related mortality rate was 0.5% at 5 years,Wu 2023 | Proton
SCR00328,Wu 2023,2023,Proton,Proton beam therapy,5y_overall_survival,overall_survival,secondary_5y_overall_survival,PBT,Proton beam,arm_pbt,222,209,94.14414414414415,Page 3,all-cause mortality rate was 5.8% at 5 years,Wu 2023 | Proton
SCR00328,Wu 2023,2023,Proton,Proton beam therapy,complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,PBT,Proton beam,arm_pbt,222,10,4.504504504504505,Page 3,NVG was present in 10 patients (4.5%),Wu 2023 | Proton
SCR00338,Miguel 2023,2023,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,I125_plaque,I-125 plaque,arm_i125,305,79,25.901639344262296,Page 4 and Figure 2 | Page 5 and Figure 2,Blind subgroup 5 years 2% (95% CI 0-5%) | Low-medium subgroup 5 years 17% (95% CI 7-27%) | Medium-high subgroup 5 years 29% (95% CI 15-42%) | Very-high subgroup 5 years 48% (95% CI 35-61%),Miguel 2023 | Brachytherapy
SCR00341,Shah 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,I125_plaque,I-125 plaque,arm_i125,85,28,32.94117647058823,Page 11/Table 5,Visual acuity <=20/200 at 60 months: lowest CST 12% | Visual acuity <=20/200 at 60 months: middle CST 25% | Visual acuity <=20/200 at 60 months: highest CST 72%,Shah 2024 | Brachytherapy
SCR00341,Shah 2024,2024,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,I125_plaque,I-125 plaque,arm_i125,40,29,72.5,Page 10/Table 4,Post-operative 60 months CME on OCT 29/40 (72.5%),Shah 2024 | Brachytherapy
SCR00368,Stalhammar 2023,2023,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_recurrence,Ru106_plaque,Ru-106 plaque,arm_ru106_cca;arm_ru106_ccb,1387,1172,84.49891852919971,Page 4,"5-, 10-, and 15-year incidence rates ... 21%, 26%, and 28% after CCA plaques | 13%, 15%, and 15% after treatment with CCB plaques",Stalhammar 2023 | Brachytherapy
SCR00551,Sobti 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_recurrence,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106_notched,40,28,70,Results page 4 / Fig. 2,"The risk of local recurrence within 5 years was 31% (95% CI: 14.1%, 47.8%)",Sobti 2021 | Brachytherapy
SCR00551,Sobti 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106_notched,40,1,2.5,Results page 4,Complications included ... neovascular glaucoma in 1 (2.5%),Sobti 2021 | Brachytherapy
SCR00551,Sobti 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106_notched,40,4,10,Results page 4,Complications included maculopathy in 4 patients (10%),Sobti 2021 | Brachytherapy
SCR00555,Cennamo 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,350,133,38,Results and Table 1,"5 years after treatment, 135 patients (38%) showed radiation maculopathy",Cennamo 2021 | Brachytherapy
SCR00555,Cennamo 2021,2021,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,350,38,10.857142857142858,Results and Table 1,"5 years after treatment, 40 patients (11%) had optic neuropathy",Cennamo 2021 | Brachytherapy
SCR00581,Guleser 2022,2022,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,I125_plaque,I-125 plaque,arm_i125,201,14,6.965174129353234,Table 2,"Neovascular glaucoma (NVG), n (%): 14 (7%)",Guleser 2022 | Brachytherapy
SCR00581,Guleser 2022,2022,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,I125_plaque,I-125 plaque,arm_i125,201,47,23.383084577114428,Table 2,"Radiation maculopathy (RM), n (%): 47 (23.4%)",Guleser 2022 | Brachytherapy
SCR00581,Guleser 2022,2022,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,I125_plaque,I-125 plaque,arm_i125,201,20,9.950248756218905,Table 2,"Radiation optic neuropathy (RON), n (%): 20 (10%)",Guleser 2022 | Brachytherapy
SCR00727,Pica 2021,2021,Proton,Proton beam therapy,5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,PBT,Proton beam,arm_pbt,310,177,57.096774193548384,Abstract and Table 1,Table 1 reports low visual outcome 176 (57%) of 310 patients,Pica 2021 | Proton
SCR00727,Pica 2021,2021,Proton,Proton beam therapy,complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,PBT,Proton beam,arm_pbt,310,12,3.870967741935484,Table 2,"Neovascular glaucoma: 0 in GVO and 11 (4%) in PVO, total 11 (4%)",Pica 2021 | Proton
SCR00727,Pica 2021,2021,Proton,Proton beam therapy,complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,PBT,Proton beam,arm_pbt,310,180,58.064516129032256,Table 2,Radiation-induced maculopathy: total 180 (58%),Pica 2021 | Proton
SCR00727,Pica 2021,2021,Proton,Proton beam therapy,complication_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_complications,PBT,Proton beam,arm_pbt,310,133,42.903225806451616,Table 2,Radiation-induced optic neuropathy: total 133 (43%),Pica 2021 | Proton
SCR00765,Riechardt 2020,2020,Proton,Proton beam therapy,5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,PBT,Proton beam,arm_pbt,1129,1087,96.27989371124889,Results page 3,"Enucleation-free survival was 96.3% after 5 years; in total, 36 enucleations had to be performed",Riechardt 2020 | Proton
SCR00797,Jampol 2020,2020,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,I125_plaque,I-125 plaque,arm_i125,650,569,87.53846153846153,Page 1 abstract and Table 4,"Kaplan-Meier estimate of enucleation by 5 years was 12.5% (95% CI, 10.0%-15.6%); 69 eyes were enucleated.",Jampol 2020 | Brachytherapy
SCR00797,Jampol 2020,2020,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,650,583,89.6923076923077,Page 1 abstract and Table 4,"Risk of treatment failure was 10.3% (95% CI, 8.0%-13.2%); treatment failure was reported for 57 eyes.",Jampol 2020 | Brachytherapy
SCR00827,Pagliara 2020,2020,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,Ru106_plaque,Ru-106 plaque,arm_ru106,152,119,78.28947368421052,"Page 3, Table III","VA >=20/200: 100% baseline, 93% at 1 year, 84% at 3 years, 78% at 5 years.",Pagliara 2020 | Brachytherapy
SCR00882,Espensen 2019,2019,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,226,176,77.87610619469027,"Page 5, Table 2","50 recurrences were observed, and the overall five-year local control estimate was 78%.",Espensen 2019 | Brachytherapy
SCR00882,Espensen 2019,2019,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_radiation_maculopathy,radiation_maculopathy,secondary_5y_radiation_maculopathy,Ru106_plaque,Ru-106 plaque,arm_ru106,226,124,54.86725663716814,"Page 5, Table 2",Maculopathy: 64 (29%); 5-year probability of freedom from toxicity 45%.,Espensen 2019 | Brachytherapy
SCR00882,Espensen 2019,2019,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_5y_radiation_optic_neuropathy,Ru106_plaque,Ru-106 plaque,arm_ru106,226,72,31.858407079646017,"Page 5, Table 2",Optic neuropathy: 62 (28%); 5-year probability of freedom from toxicity 68%.,Espensen 2019 | Brachytherapy
SCR00886,Toutee 2019,2019,Proton,Proton beam therapy,5y_local_control_success,local_control,primary_5y_local_control,PBT,Proton beam,arm_pbt,424,424,100,Pages 3-4,All T1UM patients with at least 5 years of follow-up were included; no ocular recurrence was observed.,Toutee 2019 | Proton
SCR00886,Toutee 2019,2019,Proton,Proton beam therapy,5y_metastasis,metastasis,secondary_5y_metastasis,PBT,Proton beam,arm_pbt,424,12,2.830188679245283,"Page 4, Table 2 and page 8",Patients with UM metastases during 5-year follow-up: 12; T1UM can be life-threatening with 2.8% of metastases at 5 years.,Toutee 2019 | Proton
SCR00886,Toutee 2019,2019,Proton,Proton beam therapy,5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,PBT,Proton beam,arm_pbt,424,279,65.80188679245283,Page 6,The probability of patients retaining vision of 20/200 or better was 65.9% (CI95%: 61.5-70.7) at 5 years.,Toutee 2019 | Proton
SCR00986,Miguel 2018 Part II,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_neovascular_glaucoma,neovascular_glaucoma,secondary_5y_neovascular_glaucoma,I125_plaque,I-125 plaque,arm_i125,243,27,11.11111111111111,"Pages 1 and 3, Table 1",Neovascular glaucoma: 5-year survival probability 89%; crude events 29 of 243.,Miguel 2018 Part II | Brachytherapy
SCR00986,Miguel 2018 Part II,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_radiation_optic_neuropathy,radiation_optic_neuropathy,secondary_5y_radiation_optic_neuropathy,I125_plaque,I-125 plaque,arm_i125,243,51,20.987654320987655,"Pages 1 and 3, Table 1",Neuropathy: 5-year survival probability 79%; crude events 53 of 243.,Miguel 2018 Part II | Brachytherapy
SCR00987,Miguel 2018a,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_disease_specific_survival,disease_specific_survival,secondary_5y_disease_specific_survival,I125_plaque,I-125 plaque,arm_i125,243,233,95.88477366255144,Pages 5-6 Figure 1 and Table 4,5-year melanoma-specific survival rates were 96% (95% CI 93-99%),Miguel 2018a | Brachytherapy
SCR00987,Miguel 2018a,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,I125_plaque,I-125 plaque,arm_i125,243,214,88.06584362139918,Page 4 Figure 1 and Table 4,5-year actuarial enucleation-free rate 88% (95% CI 84-92%),Miguel 2018a | Brachytherapy
SCR00987,Miguel 2018a,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,I125_plaque,I-125 plaque,arm_i125,243,228,93.82716049382717,Page 4 Figure 1 and Table 4,5-year probability for no local recurrence 94% (95% CI 91-97%),Miguel 2018a | Brachytherapy
SCR00987,Miguel 2018a,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_overall_survival,overall_survival,secondary_5y_overall_survival,I125_plaque,I-125 plaque,arm_i125,243,226,93.00411522633745,Page 5 Figure 1 and Table 4,5-year melanoma overall survival rate 93% (95% CI 90-96%),Miguel 2018a | Brachytherapy
SCR01026,Miguel 2018b,2018,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_visual_acuity_20_200,visual_acuity,secondary_5y_visual_acuity_20_200,I125_plaque,I-125 plaque,arm_i125_visual_subset,185,107,57.83783783783784,Page 4 Figure 2,VA preservation rates at 5 years were 42% (95% CI 33-51%),Miguel 2018b | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_eye_retention_success,eye_retention,secondary_5y_eye_retention,Ru106_plaque,Ru-106 plaque,arm_ru106,126,117,92.85714285714286,Page 3 Figure 2,The eye retention rate was 92.7% at 5 years,Rospond-Kubiak 2017 | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_local_control_success,local_control,primary_5y_local_control,Ru106_plaque,Ru-106 plaque,arm_ru106,126,105,83.33333333333333,Page 3,Local tumor control was 83.3% at 5 years,Rospond-Kubiak 2017 | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),5y_metastasis_free_survival,metastasis_free_survival,secondary_5y_metastasis_free_survival,Ru106_plaque,Ru-106 plaque,arm_ru106,126,107,84.92063492063492,Page 3 Figure 3,5-year cancer-free survival reached 84.6%,Rospond-Kubiak 2017 | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_neovascular_glaucoma,neovascular_glaucoma,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,126,6,4.761904761904762,Page 4 Table 2,Radiation side effects: Neovascular glaucoma 6,Rospond-Kubiak 2017 | Brachytherapy
SCR01073,Rospond-Kubiak 2017,2017,Brachytherapy,Brachytherapy (I-125 or Ru-106 plaque),complication_radiation_maculopathy,radiation_maculopathy,secondary_complications,Ru106_plaque,Ru-106 plaque,arm_ru106,126,50,39.682539682539684,Page 4 Table 2,Radiation side effects: Maculopathy 50,Rospond-Kubiak 2017 | Brachytherapy
